@relation  sonar
@attribute Band1 numeric
@attribute Band2 numeric
@attribute Band3 numeric
@attribute Band4 numeric
@attribute Band5 numeric
@attribute Band6 numeric
@attribute Band7 numeric
@attribute Band8 numeric
@attribute Band9 numeric
@attribute Band10 numeric
@attribute Band11 numeric
@attribute Band12 numeric
@attribute Band13 numeric
@attribute Band14 numeric
@attribute Band15 numeric
@attribute Band16 numeric
@attribute Band17 numeric
@attribute Band18 numeric
@attribute Band19 numeric
@attribute Band20 numeric
@attribute Band21 numeric
@attribute Band22 numeric
@attribute Band23 numeric
@attribute Band24 numeric
@attribute Band25 numeric
@attribute Band26 numeric
@attribute Band27 numeric
@attribute Band28 numeric
@attribute Band29 numeric
@attribute Band30 numeric
@attribute Band31 numeric
@attribute Band32 numeric
@attribute Band33 numeric
@attribute Band34 numeric
@attribute Band35 numeric
@attribute Band36 numeric
@attribute Band37 numeric
@attribute Band38 numeric
@attribute Band39 numeric
@attribute Band40 numeric
@attribute Band41 numeric
@attribute Band42 numeric
@attribute Band43 numeric
@attribute Band44 numeric
@attribute Band45 numeric
@attribute Band46 numeric
@attribute Band47 numeric
@attribute Band48 numeric
@attribute Band49 numeric
@attribute Band50 numeric
@attribute Band51 numeric
@attribute Band52 numeric
@attribute Band53 numeric
@attribute Band54 numeric
@attribute Band55 numeric
@attribute Band56 numeric
@attribute Band57 numeric
@attribute Band58 numeric
@attribute Band59 numeric
@attribute Band60 numeric
@attribute Type {R,M}


@data
0.016, 0.063, 0.074, 0.061, 0.023, 0.105, 0.134, 0.064, 0.152, 0.078, 0.179, 0.268, 0.179, 0.104, 0.198, 0.323, 0.375, 0.259, 0.368, 0.351, 0.561, 0.523, 0.547, 0.695, 0.635, 0.676, 0.85, 0.802, 0.656, 0.859, 0.666, 0.537, 0.312, 0.376, 0.28, 0.088, 0.332, 0.424, 0.18, 0.374, 0.463, 0.161, 0.249, 0.32, 0.226, 0.115, 0.048, 0.094, 0.082, 0.017, 0.024, 0.026, 0.014, 0.023, 0.019, 0.018, 0.011, 0.0090, 0.0080, 0.011, M
0.108, 0.107, 0.026, 0.084, 0.075, 0.112, 0.332, 0.459, 0.553, 0.597, 0.53, 0.225, 0.24, 0.269, 0.665, 0.663, 0.167, 0.084, 0.433, 0.872, 0.799, 0.371, 0.17, 0.161, 0.209, 0.285, 0.221, 0.613, 0.581, 0.692, 0.382, 0.43, 0.779, 0.87, 1.0, 0.921, 0.939, 0.93, 0.731, 0.479, 0.209, 0.202, 0.167, 0.287, 0.437, 0.31, 0.158, 0.055, 0.033, 0.021, 0.017, 0.018, 0.011, 0.023, 0.028, 0.0030, 0.0080, 0.012, 0.0080, 0.014, M
0.037, 0.042, 0.05, 0.025, 0.06, 0.025, 0.096, 0.099, 0.142, 0.185, 0.222, 0.265, 0.251, 0.229, 0.156, 0.186, 0.239, 0.334, 0.523, 0.668, 0.777, 0.793, 0.794, 0.913, 0.95, 0.984, 1.0, 0.947, 0.824, 0.625, 0.418, 0.321, 0.266, 0.22, 0.159, 0.056, 0.095, 0.17, 0.122, 0.128, 0.039, 0.133, 0.233, 0.247, 0.196, 0.198, 0.157, 0.092, 0.055, 0.019, 0.017, 0.013, 0.0030, 0.0020, 0.0060, 0.0020, 0.0020, 0.0020, 0.0030, 0.0030, M
0.072, 0.085, 0.059, 0.022, 0.086, 0.18, 0.192, 0.19, 0.296, 0.419, 0.487, 0.525, 0.596, 0.686, 0.857, 0.972, 0.869, 0.871, 0.895, 0.992, 0.898, 0.816, 0.837, 0.754, 0.589, 0.549, 0.564, 0.541, 0.478, 0.444, 0.37, 0.257, 0.148, 0.174, 0.123, 0.159, 0.18, 0.144, 0.167, 0.263, 0.223, 0.124, 0.087, 0.209, 0.15, 0.068, 0.09, 0.093, 0.066, 0.0090, 0.022, 0.015, 0.012, 0.01, 0.02, 0.0040, 0.0070, 0.01, 0.0080, 0.012, M
0.031, 0.052, 0.065, 0.052, 0.061, 0.058, 0.066, 0.066, 0.146, 0.279, 0.388, 0.499, 0.498, 0.497, 0.561, 0.734, 0.823, 0.917, 0.998, 0.991, 0.824, 0.65, 0.598, 0.486, 0.315, 0.154, 0.099, 0.028, 0.101, 0.264, 0.269, 0.293, 0.292, 0.4, 0.366, 0.317, 0.461, 0.437, 0.182, 0.338, 0.62, 0.445, 0.186, 0.142, 0.059, 0.058, 0.067, 0.027, 0.024, 0.019, 0.0060, 0.032, 0.019, 0.014, 0.028, 0.015, 0.0050, 0.012, 0.012, 0.0060, M
0.035, 0.051, 0.0080, 0.024, 0.043, 0.074, 0.094, 0.113, 0.123, 0.151, 0.181, 0.239, 0.295, 0.287, 0.401, 0.532, 0.549, 0.582, 0.604, 0.675, 0.708, 0.789, 0.928, 0.978, 0.974, 1.0, 0.97, 0.996, 0.824, 0.602, 0.534, 0.487, 0.353, 0.157, 0.095, 0.161, 0.282, 0.339, 0.302, 0.294, 0.298, 0.268, 0.206, 0.207, 0.162, 0.122, 0.101, 0.074, 0.039, 0.0050, 0.015, 0.0040, 0.012, 0.011, 0.011, 0.01, 0.0050, 0.0020, 0.0080, 0.0030, M
0.032, 0.01, 0.03, 0.056, 0.076, 0.096, 0.099, 0.102, 0.103, 0.215, 0.308, 0.342, 0.299, 0.14, 0.124, 0.153, 0.19, 0.243, 0.212, 0.24, 0.327, 0.595, 0.83, 0.904, 0.989, 0.991, 0.945, 1.0, 0.909, 0.741, 0.769, 0.712, 0.53, 0.213, 0.093, 0.13, 0.116, 0.123, 0.177, 0.034, 0.156, 0.082, 0.115, 0.169, 0.095, 0.0080, 0.079, 0.126, 0.065, 0.018, 0.0050, 0.0060, 0.0090, 0.014, 0.0060, 0.0060, 0.0030, 0.0030, 0.0060, 0.0070, M
0.102, 0.083, 0.058, 0.063, 0.064, 0.133, 0.099, 0.179, 0.12, 0.137, 0.251, 0.263, 0.28, 0.298, 0.382, 0.313, 0.396, 0.209, 0.322, 0.334, 0.318, 0.289, 0.361, 0.257, 0.411, 0.459, 0.472, 0.728, 0.759, 0.658, 0.751, 0.667, 0.49, 0.596, 0.655, 0.401, 0.119, 0.324, 0.311, 0.135, 0.511, 0.799, 0.752, 0.551, 0.586, 0.729, 0.552, 0.334, 0.161, 0.048, 0.1, 0.071, 0.032, 0.031, 0.025, 0.0090, 0.018, 0.021, 0.023, 0.011, M
0.034, 0.013, 0.07, 0.118, 0.035, 0.118, 0.195, 0.161, 0.304, 0.437, 0.553, 0.577, 0.702, 0.707, 0.737, 0.739, 0.862, 0.946, 0.878, 0.791, 0.576, 0.306, 0.056, 0.024, 0.255, 0.486, 0.503, 0.44, 0.285, 0.18, 0.356, 0.352, 0.332, 0.311, 0.364, 0.075, 0.183, 0.182, 0.182, 0.159, 0.058, 0.095, 0.109, 0.081, 0.078, 0.049, 0.044, 0.059, 0.037, 0.018, 0.03, 0.024, 0.023, 0.0090, 0.016, 0.019, 0.0030, 0.038, 0.013, 0.016, M
0.072, 0.157, 0.111, 0.108, 0.067, 0.18, 0.111, 0.279, 0.141, 0.08, 0.253, 0.392, 0.338, 0.161, 0.189, 0.331, 0.228, 0.218, 0.185, 0.517, 0.534, 0.63, 0.844, 0.676, 0.582, 0.614, 0.881, 0.838, 0.387, 0.505, 0.546, 0.424, 0.153, 0.495, 0.698, 0.711, 0.565, 0.487, 0.552, 0.443, 0.525, 0.608, 0.525, 0.136, 0.427, 0.444, 0.219, 0.09, 0.12, 0.063, 0.023, 0.031, 0.013, 0.0080, 0.028, 0.012, 0.0090, 0.015, 0.016, 0.013, M
0.011, 0.045, 0.029, 0.071, 0.108, 0.102, 0.161, 0.212, 0.306, 0.294, 0.31, 0.343, 0.246, 0.189, 0.118, 0.208, 0.274, 0.327, 0.234, 0.126, 0.058, 0.124, 0.324, 0.436, 0.573, 0.782, 0.925, 0.935, 0.935, 1.0, 0.931, 0.848, 0.76, 0.704, 0.754, 0.799, 0.767, 0.596, 0.473, 0.484, 0.434, 0.395, 0.484, 0.538, 0.448, 0.267, 0.154, 0.136, 0.094, 0.026, 0.0080, 0.016, 0.012, 0.011, 0.0020, 0.01, 0.0070, 0.0060, 0.0020, 0.0040, M
0.053, 0.088, 0.2, 0.26, 0.322, 0.225, 0.062, 0.229, 0.095, 0.074, 0.161, 0.223, 0.27, 0.336, 0.427, 0.414, 0.566, 0.692, 0.855, 0.923, 0.917, 1.0, 0.953, 0.91, 0.834, 0.705, 0.653, 0.448, 0.246, 0.202, 0.145, 0.099, 0.151, 0.239, 0.443, 0.502, 0.444, 0.457, 0.393, 0.29, 0.341, 0.499, 0.363, 0.139, 0.18, 0.13, 0.052, 0.082, 0.047, 0.011, 0.03, 0.024, 0.02, 0.026, 0.0080, 0.015, 0.017, 0.015, 0.013, 0.0060, M
