@relation  sonar
@attribute Band1 real[0.0020,0.137]
@attribute Band2 real[0.0010,0.234]
@attribute Band3 real[0.0020,0.306]
@attribute Band4 real[0.0060,0.426]
@attribute Band5 real[0.0070,0.401]
@attribute Band6 real[0.01,0.382]
@attribute Band7 real[0.0030,0.373]
@attribute Band8 real[0.0060,0.459]
@attribute Band9 real[0.0080,0.683]
@attribute Band10 real[0.011,0.711]
@attribute Band11 real[0.029,0.734]
@attribute Band12 real[0.024,0.706]
@attribute Band13 real[0.018,0.713]
@attribute Band14 real[0.027,0.997]
@attribute Band15 real[0.0030,1.0]
@attribute Band16 real[0.016,0.999]
@attribute Band17 real[0.035,1.0]
@attribute Band18 real[0.038,1.0]
@attribute Band19 real[0.049,1.0]
@attribute Band20 real[0.066,1.0]
@attribute Band21 real[0.051,1.0]
@attribute Band22 real[0.022,1.0]
@attribute Band23 real[0.056,1.0]
@attribute Band24 real[0.024,1.0]
@attribute Band25 real[0.024,1.0]
@attribute Band26 real[0.092,1.0]
@attribute Band27 real[0.048,1.0]
@attribute Band28 real[0.028,1.0]
@attribute Band29 real[0.014,1.0]
@attribute Band30 real[0.061,1.0]
@attribute Band31 real[0.048,0.966]
@attribute Band32 real[0.04,0.931]
@attribute Band33 real[0.048,1.0]
@attribute Band34 real[0.021,0.965]
@attribute Band35 real[0.022,1.0]
@attribute Band36 real[0.0080,1.0]
@attribute Band37 real[0.035,0.95]
@attribute Band38 real[0.038,1.0]
@attribute Band39 real[0.037,0.986]
@attribute Band40 real[0.012,0.93]
@attribute Band41 real[0.036,0.9]
@attribute Band42 real[0.0060,0.825]
@attribute Band43 real[0.0,0.773]
@attribute Band44 real[0.0,0.776]
@attribute Band45 real[0.0,0.703]
@attribute Band46 real[0.0,0.729]
@attribute Band47 real[0.0,0.552]
@attribute Band48 real[0.0,0.334]
@attribute Band49 real[0.0,0.198]
@attribute Band50 real[0.0,0.082]
@attribute Band51 real[0.0,0.1]
@attribute Band52 real[0.0010,0.071]
@attribute Band53 real[0.0,0.039]
@attribute Band54 real[0.0010,0.035]
@attribute Band55 real[0.0010,0.045]
@attribute Band56 real[0.0,0.039]
@attribute Band57 real[0.0,0.036]
@attribute Band58 real[0.0,0.044]
@attribute Band59 real[0.0,0.036]
@attribute Band60 real[0.0010,0.044]
@attribute Type{R,M}
@inputs Band1,Band2,Band3,Band4,Band5,Band6,Band7,Band8,Band9,Band10,Band11,Band12,Band13,Band14,Band15,Band16,Band17,Band18,Band19,Band20,Band21,Band22,Band23,Band24,Band25,Band26,Band27,Band28,Band29,Band30,Band31,Band32,Band33,Band34,Band35,Band36,Band37,Band38,Band39,Band40,Band41,Band42,Band43,Band44,Band45,Band46,Band47,Band48,Band49,Band50,Band51,Band52,Band53,Band54,Band55,Band56,Band57,Band58,Band59,Band60
@outputs Type
@data
0.02, 0.039, 0.038, 0.0080, 0.025, 0.063, 0.075, 0.058, 0.136, 0.17, 0.173, 0.247, 0.314, 0.33, 0.276, 0.206, 0.116, 0.188, 0.339, 0.393, 0.428, 0.542, 0.645, 0.722, 0.785, 0.798, 0.885, 0.958, 0.899, 0.683, 0.611, 0.548, 0.506, 0.448, 0.24, 0.14, 0.177, 0.174, 0.333, 0.402, 0.301, 0.208, 0.121, 0.026, 0.03, 0.069, 0.078, 0.078, 0.037, 0.0060, 0.0090, 0.013, 0.01, 0.0040, 0.0060, 0.0070, 0.0040, 0.0040, 0.0050, 0.0050, M
0.109, 0.128, 0.093, 0.123, 0.128, 0.173, 0.195, 0.426, 0.683, 0.576, 0.473, 0.236, 0.102, 0.29, 0.471, 0.466, 0.142, 0.085, 0.326, 0.901, 0.931, 0.486, 0.135, 0.16, 0.274, 0.561, 0.365, 0.614, 0.547, 0.847, 0.564, 0.544, 0.509, 0.625, 0.85, 0.841, 0.842, 0.914, 0.771, 0.488, 0.372, 0.447, 0.459, 0.449, 0.562, 0.43, 0.094, 0.079, 0.027, 0.015, 0.014, 0.046, 0.021, 0.0080, 0.012, 0.017, 0.01, 0.02, 0.018, 0.019, M
0.012, 0.074, 0.037, 0.022, 0.0080, 0.054, 0.111, 0.107, 0.171, 0.227, 0.317, 0.288, 0.266, 0.231, 0.189, 0.179, 0.23, 0.372, 0.622, 0.726, 0.793, 0.804, 0.807, 0.917, 0.933, 0.956, 1.0, 0.982, 0.868, 0.638, 0.4, 0.324, 0.284, 0.241, 0.232, 0.126, 0.069, 0.07, 0.144, 0.148, 0.044, 0.047, 0.148, 0.174, 0.156, 0.165, 0.118, 0.072, 0.032, 0.0060, 0.02, 0.014, 0.01, 0.01, 0.0030, 0.0030, 0.0040, 0.0040, 0.0060, 0.0040, M
0.137, 0.123, 0.138, 0.148, 0.178, 0.143, 0.177, 0.216, 0.163, 0.207, 0.426, 0.548, 0.713, 0.7, 0.678, 0.794, 0.938, 0.892, 0.915, 0.783, 0.796, 0.798, 0.772, 0.662, 0.486, 0.557, 0.47, 0.564, 0.452, 0.337, 0.268, 0.234, 0.305, 0.302, 0.275, 0.104, 0.176, 0.316, 0.36, 0.274, 0.13, 0.246, 0.34, 0.175, 0.068, 0.106, 0.064, 0.053, 0.053, 0.027, 0.017, 0.012, 0.013, 0.034, 0.0060, 0.0070, 0.0020, 0.0080, 0.015, 0.0050, M
0.059, 0.121, 0.127, 0.15, 0.144, 0.056, 0.083, 0.067, 0.137, 0.235, 0.321, 0.426, 0.52, 0.491, 0.595, 0.722, 0.904, 0.911, 0.872, 0.769, 0.733, 0.522, 0.31, 0.317, 0.227, 0.164, 0.175, 0.184, 0.205, 0.167, 0.277, 0.31, 0.34, 0.444, 0.505, 0.281, 0.168, 0.263, 0.32, 0.193, 0.093, 0.044, 0.078, 0.072, 0.04, 0.055, 0.108, 0.114, 0.077, 0.026, 0.022, 0.033, 0.011, 0.0090, 0.016, 0.012, 0.0040, 0.01, 0.023, 0.012, M
0.016, 0.0040, 0.024, 0.044, 0.063, 0.092, 0.137, 0.108, 0.155, 0.178, 0.216, 0.257, 0.309, 0.383, 0.439, 0.534, 0.6, 0.673, 0.731, 0.809, 0.894, 0.967, 1.0, 0.989, 0.938, 0.899, 0.918, 0.913, 0.781, 0.602, 0.376, 0.33, 0.228, 0.021, 0.112, 0.179, 0.237, 0.284, 0.224, 0.272, 0.336, 0.255, 0.187, 0.216, 0.128, 0.077, 0.107, 0.095, 0.064, 0.023, 0.013, 0.017, 0.014, 0.011, 0.0060, 0.016, 0.0090, 0.0040, 0.0050, 0.0030, M
0.027, 0.038, 0.049, 0.085, 0.113, 0.11, 0.135, 0.234, 0.311, 0.4, 0.394, 0.331, 0.293, 0.176, 0.174, 0.204, 0.209, 0.268, 0.243, 0.184, 0.28, 0.617, 0.802, 0.831, 0.844, 0.849, 0.917, 1.0, 0.79, 0.537, 0.647, 0.65, 0.496, 0.218, 0.099, 0.043, 0.171, 0.198, 0.188, 0.111, 0.17, 0.058, 0.064, 0.139, 0.064, 0.058, 0.064, 0.104, 0.073, 0.028, 0.015, 0.0090, 0.0040, 0.0040, 0.0040, 0.01, 0.0050, 0.0050, 0.0060, 0.01, M
0.041, 0.114, 0.052, 0.023, 0.065, 0.112, 0.179, 0.241, 0.268, 0.206, 0.155, 0.267, 0.314, 0.29, 0.353, 0.508, 0.464, 0.186, 0.447, 0.408, 0.54, 0.479, 0.433, 0.611, 0.509, 0.461, 0.724, 0.899, 0.883, 0.92, 0.8, 0.603, 0.212, 0.287, 0.403, 0.28, 0.309, 0.355, 0.254, 0.143, 0.587, 0.643, 0.583, 0.429, 0.489, 0.578, 0.432, 0.264, 0.179, 0.077, 0.08, 0.038, 0.014, 0.027, 0.013, 0.017, 0.01, 0.022, 0.01, 0.0080, M
0.071, 0.09, 0.128, 0.15, 0.128, 0.116, 0.128, 0.168, 0.183, 0.213, 0.289, 0.398, 0.458, 0.582, 0.503, 0.193, 0.258, 0.318, 0.274, 0.619, 0.896, 0.744, 0.519, 0.281, 0.177, 0.661, 0.758, 0.512, 0.47, 0.548, 0.435, 0.128, 0.085, 0.093, 0.031, 0.1, 0.178, 0.159, 0.3, 0.221, 0.146, 0.29, 0.32, 0.141, 0.063, 0.073, 0.08, 0.061, 0.056, 0.029, 0.015, 0.015, 0.016, 0.0050, 0.0030, 0.0050, 0.0090, 0.01, 0.01, 0.0070, M
0.013, 0.017, 0.018, 0.036, 0.044, 0.074, 0.08, 0.046, 0.037, 0.125, 0.24, 0.232, 0.252, 0.147, 0.067, 0.11, 0.235, 0.328, 0.442, 0.517, 0.651, 0.779, 0.798, 0.779, 0.859, 0.932, 0.945, 0.864, 0.722, 0.485, 0.136, 0.295, 0.472, 0.604, 0.808, 0.987, 0.88, 0.641, 0.428, 0.27, 0.264, 0.334, 0.434, 0.454, 0.396, 0.252, 0.108, 0.037, 0.029, 0.01, 0.0050, 0.0090, 0.0050, 0.0050, 0.0020, 0.0010, 0.0040, 0.0020, 0.0030, 0.0040, M
0.016, 0.02, 0.02, 0.039, 0.075, 0.144, 0.149, 0.148, 0.244, 0.282, 0.369, 0.375, 0.393, 0.331, 0.108, 0.114, 0.345, 0.544, 0.647, 0.728, 0.789, 0.826, 0.87, 0.784, 0.714, 0.57, 0.291, 0.464, 0.641, 0.74, 0.807, 0.842, 1.0, 0.954, 0.676, 0.39, 0.125, 0.363, 0.636, 0.812, 0.766, 0.542, 0.261, 0.172, 0.281, 0.276, 0.198, 0.15, 0.122, 0.049, 0.0030, 0.0080, 0.0030, 0.0030, 0.0080, 0.0020, 0.0080, 0.011, 0.0080, 0.0030, M
