@relation  sonar
@attribute Band1 numeric
@attribute Band2 numeric
@attribute Band3 numeric
@attribute Band4 numeric
@attribute Band5 numeric
@attribute Band6 numeric
@attribute Band7 numeric
@attribute Band8 numeric
@attribute Band9 numeric
@attribute Band10 numeric
@attribute Band11 numeric
@attribute Band12 numeric
@attribute Band13 numeric
@attribute Band14 numeric
@attribute Band15 numeric
@attribute Band16 numeric
@attribute Band17 numeric
@attribute Band18 numeric
@attribute Band19 numeric
@attribute Band20 numeric
@attribute Band21 numeric
@attribute Band22 numeric
@attribute Band23 numeric
@attribute Band24 numeric
@attribute Band25 numeric
@attribute Band26 numeric
@attribute Band27 numeric
@attribute Band28 numeric
@attribute Band29 numeric
@attribute Band30 numeric
@attribute Band31 numeric
@attribute Band32 numeric
@attribute Band33 numeric
@attribute Band34 numeric
@attribute Band35 numeric
@attribute Band36 numeric
@attribute Band37 numeric
@attribute Band38 numeric
@attribute Band39 numeric
@attribute Band40 numeric
@attribute Band41 numeric
@attribute Band42 numeric
@attribute Band43 numeric
@attribute Band44 numeric
@attribute Band45 numeric
@attribute Band46 numeric
@attribute Band47 numeric
@attribute Band48 numeric
@attribute Band49 numeric
@attribute Band50 numeric
@attribute Band51 numeric
@attribute Band52 numeric
@attribute Band53 numeric
@attribute Band54 numeric
@attribute Band55 numeric
@attribute Band56 numeric
@attribute Band57 numeric
@attribute Band58 numeric
@attribute Band59 numeric
@attribute Band60 numeric
@attribute Type {R,M}


@data
0.022, 0.015, 0.035, 0.035, 0.048, 0.053, 0.077, 0.086, 0.145, 0.211, 0.234, 0.209, 0.164, 0.169, 0.165, 0.197, 0.293, 0.371, 0.431, 0.416, 0.512, 0.65, 0.772, 0.849, 0.91, 0.891, 0.819, 0.678, 0.537, 0.521, 0.565, 0.575, 0.525, 0.426, 0.333, 0.233, 0.145, 0.165, 0.269, 0.373, 0.447, 0.413, 0.374, 0.302, 0.207, 0.179, 0.169, 0.134, 0.077, 0.022, 0.02, 0.012, 0.0070, 0.0010, 0.0030, 0.0050, 0.0030, 0.0020, 0.0020, 0.0030, M
0.049, 0.028, 0.059, 0.127, 0.177, 0.191, 0.222, 0.077, 0.125, 0.203, 0.095, 0.25, 0.221, 0.32, 0.334, 0.332, 0.278, 0.298, 0.295, 0.173, 0.326, 0.383, 0.352, 0.541, 0.523, 0.448, 0.534, 0.532, 0.391, 0.346, 0.409, 0.464, 0.558, 0.573, 0.636, 0.756, 0.69, 0.618, 0.538, 0.562, 0.651, 0.48, 0.374, 0.28, 0.198, 0.244, 0.179, 0.171, 0.076, 0.024, 0.027, 0.0080, 0.013, 0.016, 0.0060, 0.012, 0.019, 0.014, 0.033, 0.044, M
0.013, 0.039, 0.033, 0.0080, 0.072, 0.134, 0.163, 0.19, 0.261, 0.319, 0.347, 0.374, 0.306, 0.193, 0.138, 0.212, 0.276, 0.458, 0.649, 0.715, 0.801, 0.792, 0.879, 1.0, 0.986, 0.947, 0.947, 0.932, 0.833, 0.621, 0.377, 0.282, 0.204, 0.219, 0.222, 0.133, 0.052, 0.062, 0.142, 0.146, 0.085, 0.106, 0.164, 0.192, 0.208, 0.234, 0.196, 0.13, 0.063, 0.018, 0.014, 0.015, 0.0080, 0.0030, 0.0040, 0.0070, 0.0040, 0.0010, 0.0020, 0.0080, M
0.012, 0.0070, 0.028, 0.058, 0.092, 0.127, 0.158, 0.193, 0.236, 0.217, 0.118, 0.075, 0.278, 0.376, 0.509, 0.659, 0.707, 0.753, 0.836, 0.859, 0.962, 0.984, 0.87, 0.64, 0.507, 0.54, 0.693, 0.849, 0.821, 0.596, 0.295, 0.276, 0.288, 0.189, 0.145, 0.096, 0.089, 0.084, 0.089, 0.155, 0.232, 0.222, 0.104, 0.172, 0.202, 0.179, 0.111, 0.04, 0.03, 0.0080, 0.0040, 0.0050, 0.0030, 0.0020, 0.0010, 0.0030, 0.0020, 0.0060, 0.0030, 0.0050, M
0.045, 0.047, 0.07, 0.102, 0.14, 0.149, 0.149, 0.077, 0.117, 0.168, 0.28, 0.332, 0.401, 0.43, 0.535, 0.541, 0.687, 0.804, 0.919, 0.917, 1.0, 0.997, 0.909, 0.792, 0.67, 0.532, 0.357, 0.248, 0.316, 0.378, 0.314, 0.171, 0.294, 0.523, 0.593, 0.544, 0.452, 0.338, 0.322, 0.218, 0.167, 0.263, 0.298, 0.204, 0.116, 0.092, 0.088, 0.023, 0.038, 0.014, 0.014, 0.012, 0.0040, 0.024, 0.013, 0.0080, 0.022, 0.032, 0.015, 0.0050, M
0.039, 0.032, 0.069, 0.09, 0.127, 0.152, 0.213, 0.261, 0.283, 0.272, 0.364, 0.393, 0.384, 0.468, 0.536, 0.482, 0.484, 0.586, 0.758, 0.7, 0.692, 0.863, 0.911, 0.935, 0.788, 0.858, 0.926, 0.708, 0.578, 0.522, 0.45, 0.313, 0.145, 0.105, 0.182, 0.152, 0.102, 0.144, 0.199, 0.204, 0.278, 0.288, 0.133, 0.114, 0.131, 0.143, 0.062, 0.01, 0.01, 0.013, 0.015, 0.026, 0.0070, 0.026, 0.0080, 0.011, 0.011, 0.0070, 0.01, 0.0070, M
0.073, 0.125, 0.166, 0.15, 0.144, 0.277, 0.256, 0.171, 0.047, 0.111, 0.174, 0.316, 0.325, 0.216, 0.203, 0.258, 0.18, 0.242, 0.361, 0.181, 0.26, 0.657, 0.973, 0.976, 0.808, 0.652, 0.492, 0.536, 0.765, 0.525, 0.51, 0.422, 0.416, 0.191, 0.022, 0.422, 0.55, 0.248, 0.203, 0.273, 0.284, 0.446, 0.318, 0.081, 0.119, 0.213, 0.324, 0.294, 0.147, 0.021, 0.036, 0.044, 0.023, 0.029, 0.014, 0.016, 0.018, 0.019, 0.021, 0.0060, M
0.041, 0.028, 0.06, 0.052, 0.049, 0.038, 0.061, 0.112, 0.124, 0.23, 0.137, 0.134, 0.214, 0.153, 0.078, 0.12, 0.09, 0.069, 0.207, 0.298, 0.284, 0.335, 0.362, 0.32, 0.345, 0.356, 0.389, 0.662, 0.925, 1.0, 0.853, 0.63, 0.525, 0.401, 0.29, 0.201, 0.336, 0.48, 0.615, 0.625, 0.497, 0.349, 0.266, 0.314, 0.428, 0.426, 0.351, 0.246, 0.126, 0.033, 0.018, 0.022, 0.0040, 0.0020, 0.0060, 0.013, 0.011, 0.0050, 0.0080, 0.0040, M
0.043, 0.056, 0.071, 0.062, 0.122, 0.152, 0.154, 0.039, 0.061, 0.011, 0.126, 0.247, 0.301, 0.375, 0.452, 0.539, 0.659, 0.711, 0.76, 0.867, 0.842, 0.797, 0.838, 0.932, 0.856, 0.616, 0.414, 0.327, 0.311, 0.255, 0.337, 0.446, 0.5, 0.511, 0.519, 0.462, 0.423, 0.437, 0.428, 0.443, 0.37, 0.332, 0.256, 0.253, 0.214, 0.179, 0.101, 0.053, 0.045, 0.012, 0.0010, 0.014, 0.018, 0.0080, 0.0060, 0.013, 0.0090, 0.0080, 0.011, 0.0050, M
0.0020, 0.019, 0.029, 0.02, 0.052, 0.082, 0.1, 0.012, 0.117, 0.148, 0.212, 0.258, 0.235, 0.133, 0.0090, 0.195, 0.368, 0.465, 0.542, 0.626, 0.742, 0.826, 0.861, 0.84, 0.895, 0.994, 1.0, 0.965, 0.875, 0.626, 0.218, 0.294, 0.364, 0.501, 0.784, 0.936, 0.82, 0.621, 0.451, 0.3, 0.267, 0.224, 0.314, 0.369, 0.299, 0.223, 0.085, 0.036, 0.029, 0.012, 0.0040, 0.011, 0.0080, 0.0090, 0.0040, 0.0030, 0.0010, 0.0010, 0.0030, 0.0050, M
0.019, 0.017, 0.029, 0.03, 0.046, 0.069, 0.058, 0.11, 0.242, 0.313, 0.479, 0.524, 0.439, 0.344, 0.287, 0.389, 0.442, 0.389, 0.409, 0.501, 0.727, 0.938, 1.0, 0.983, 0.993, 0.916, 0.824, 0.696, 0.454, 0.328, 0.252, 0.396, 0.415, 0.331, 0.144, 0.192, 0.321, 0.337, 0.568, 0.55, 0.323, 0.045, 0.313, 0.339, 0.413, 0.364, 0.207, 0.086, 0.06, 0.027, 0.012, 0.0040, 0.014, 0.014, 0.017, 0.013, 0.011, 0.012, 0.011, 0.0070, M
