@relation  winequality-red
@attribute FixedAcidity numeric
@attribute VolatileAcidity numeric
@attribute CitricAcid numeric
@attribute ResidualSugar numeric
@attribute Chlorides numeric
@attribute FreeSulfurDioxide numeric
@attribute TotalSulfurDioxide numeric
@attribute Density numeric
@attribute PH numeric
@attribute Sulphates numeric
@attribute Alcohol numeric
@attribute Quality {0,1,2,3,4,5,6,7,8,9,10}


@data
9.0, 0.47, 0.31, 2.7, 0.084, 24.0, 125.0, 0.9984, 3.31, 0.61, 9.4, 5
7.9, 0.18, 0.4, 2.2, 0.049, 38.0, 67.0, 0.996, 3.33, 0.93, 11.3, 5
8.9, 0.635, 0.37, 1.7, 0.263, 5.0, 62.0, 0.9971, 3.0, 1.09, 9.3, 5
12.2, 0.45, 0.49, 1.4, 0.075, 3.0, 6.0, 0.9969, 3.13, 0.63, 10.4, 5
11.9, 0.57, 0.5, 2.6, 0.082, 6.0, 32.0, 1.0006, 3.12, 0.78, 10.7, 6
8.1, 0.545, 0.18, 1.9, 0.08, 13.0, 35.0, 0.9972, 3.3, 0.59, 9.0, 6
9.6, 0.38, 0.42, 1.9, 0.071, 5.0, 13.0, 0.99659, 3.15, 0.75, 10.5, 6
6.0, 0.42, 0.19, 2.0, 0.075, 22.0, 47.0, 0.99522, 3.39, 0.78, 10.0, 6
7.1, 0.59, 0.01, 2.3, 0.08, 27.0, 43.0, 0.9955, 3.42, 0.58, 10.7, 6
6.4, 0.79, 0.04, 2.2, 0.061, 11.0, 17.0, 0.99588, 3.53, 0.65, 10.4, 6
7.7, 0.43, 0.25, 2.6, 0.073, 29.0, 63.0, 0.99615, 3.37, 0.58, 10.5, 6
7.5, 0.51, 0.02, 1.7, 0.084, 13.0, 31.0, 0.99538, 3.36, 0.54, 10.5, 6
6.3, 0.51, 0.13, 2.3, 0.076, 29.0, 40.0, 0.99574, 3.42, 0.75, 11.0, 6
9.4, 0.43, 0.24, 2.8, 0.092, 14.0, 45.0, 0.998, 3.19, 0.73, 10.0, 6
8.0, 0.42, 0.17, 2.0, 0.073, 6.0, 18.0, 0.9972, 3.29, 0.61, 9.2, 6
8.2, 0.4, 0.44, 2.8, 0.089, 11.0, 43.0, 0.9975, 3.53, 0.61, 10.5, 6
11.9, 0.38, 0.51, 2.0, 0.121, 7.0, 20.0, 0.9996, 3.24, 0.76, 10.4, 6
8.3, 0.6, 0.13, 2.6, 0.085, 6.0, 24.0, 0.9984, 3.31, 0.59, 9.2, 6
6.0, 0.31, 0.47, 3.6, 0.067, 18.0, 42.0, 0.99549, 3.39, 0.66, 11.0, 6
7.7, 0.63, 0.08, 1.9, 0.076, 15.0, 27.0, 0.9967, 3.32, 0.54, 9.5, 6
10.4, 0.43, 0.5, 2.3, 0.068, 13.0, 19.0, 0.996, 3.1, 0.87, 11.4, 6
7.3, 0.33, 0.47, 2.1, 0.077, 5.0, 11.0, 0.9958, 3.33, 0.53, 10.3, 6
8.3, 0.26, 0.37, 1.4, 0.076, 8.0, 23.0, 0.9974, 3.26, 0.7, 9.6, 6
7.3, 0.43, 0.24, 2.5, 0.078, 27.0, 67.0, 0.99648, 3.6, 0.59, 11.1, 6
5.9, 0.61, 0.08, 2.1, 0.071, 16.0, 24.0, 0.99376, 3.56, 0.77, 11.1, 6
6.8, 0.51, 0.01, 2.1, 0.074, 9.0, 25.0, 0.9958, 3.33, 0.56, 9.5, 6
7.0, 0.69, 0.08, 1.8, 0.097, 22.0, 89.0, 0.9959, 3.34, 0.54, 9.2, 6
11.9, 0.4, 0.65, 2.15, 0.068, 7.0, 27.0, 0.9988, 3.06, 0.68, 11.3, 6
10.2, 0.4, 0.4, 2.5, 0.068, 41.0, 54.0, 0.99754, 3.38, 0.86, 10.5, 6
8.3, 0.54, 0.28, 1.9, 0.077, 11.0, 40.0, 0.9978, 3.39, 0.61, 10.0, 6
5.2, 0.645, 0.0, 2.15, 0.08, 15.0, 28.0, 0.99444, 3.78, 0.61, 12.5, 6
7.9, 0.19, 0.42, 1.6, 0.057, 18.0, 30.0, 0.994, 3.29, 0.69, 11.2, 6
7.0, 0.69, 0.07, 2.5, 0.091, 15.0, 21.0, 0.99572, 3.38, 0.6, 11.3, 6
9.2, 0.67, 0.1, 3.0, 0.091, 12.0, 48.0, 0.99888, 3.31, 0.54, 9.5, 6
10.8, 0.4, 0.41, 2.2, 0.084, 7.0, 17.0, 0.9984, 3.08, 0.67, 9.3, 6
7.2, 0.63, 0.0, 1.9, 0.097, 14.0, 38.0, 0.99675, 3.37, 0.58, 9.0, 6
7.5, 0.52, 0.42, 2.3, 0.087, 8.0, 38.0, 0.9972, 3.58, 0.61, 10.5, 6
6.3, 0.98, 0.01, 2.0, 0.057, 15.0, 33.0, 0.99488, 3.6, 0.46, 11.2, 6
6.4, 0.37, 0.25, 1.9, 0.074, 21.0, 49.0, 0.9974, 3.57, 0.62, 9.8, 6
9.0, 0.46, 0.31, 2.8, 0.093, 19.0, 98.0, 0.99815, 3.32, 0.63, 9.5, 6
7.8, 0.58, 0.13, 2.1, 0.102, 17.0, 36.0, 0.9944, 3.24, 0.53, 11.2, 6
8.4, 0.36, 0.32, 2.2, 0.081, 32.0, 79.0, 0.9964, 3.3, 0.72, 11.0, 6
8.0, 0.725, 0.24, 2.8, 0.083, 10.0, 62.0, 0.99685, 3.35, 0.56, 10.0, 6
7.3, 0.51, 0.18, 2.1, 0.07, 12.0, 28.0, 0.99768, 3.52, 0.73, 9.5, 6
10.5, 0.36, 0.47, 2.2, 0.074, 9.0, 23.0, 0.99638, 3.23, 0.76, 12.0, 6
8.9, 0.5, 0.21, 2.2, 0.088, 21.0, 39.0, 0.99692, 3.33, 0.83, 11.1, 6
11.3, 0.36, 0.66, 2.4, 0.123, 3.0, 8.0, 0.99642, 3.2, 0.53, 11.9, 6
7.1, 0.53, 0.07, 1.7, 0.071, 15.0, 24.0, 0.9951, 3.29, 0.66, 10.8, 6
7.3, 0.67, 0.02, 2.2, 0.072, 31.0, 92.0, 0.99566, 3.32, 0.68, 11.1, 6
6.7, 0.86, 0.07, 2.0, 0.1, 20.0, 57.0, 0.99598, 3.6, 0.74, 11.7, 6
8.2, 0.74, 0.09, 2.0, 0.067, 5.0, 10.0, 0.99418, 3.28, 0.57, 11.8, 6
8.0, 0.38, 0.44, 1.9, 0.098, 6.0, 15.0, 0.9956, 3.3, 0.64, 11.4, 6
7.3, 0.52, 0.32, 2.1, 0.07, 51.0, 70.0, 0.99418, 3.34, 0.82, 12.9, 6
7.7, 0.26, 0.26, 2.0, 0.052, 19.0, 77.0, 0.9951, 3.15, 0.79, 10.9, 6
8.8, 0.55, 0.04, 2.2, 0.119, 14.0, 56.0, 0.9962, 3.21, 0.6, 10.9, 6
6.4, 0.67, 0.08, 2.1, 0.045, 19.0, 48.0, 0.9949, 3.49, 0.49, 11.4, 6
6.9, 0.74, 0.03, 2.3, 0.054, 7.0, 16.0, 0.99508, 3.45, 0.63, 11.5, 6
7.2, 0.38, 0.3, 1.8, 0.073, 31.0, 70.0, 0.99685, 3.42, 0.59, 9.5, 6
7.6, 0.5, 0.29, 2.3, 0.086, 5.0, 14.0, 0.99502, 3.32, 0.62, 11.5, 6
10.7, 0.4, 0.37, 1.9, 0.081, 17.0, 29.0, 0.99674, 3.12, 0.65, 11.2, 6
7.8, 0.545, 0.12, 2.5, 0.068, 11.0, 35.0, 0.996, 3.34, 0.61, 11.6, 6
8.9, 0.22, 0.48, 1.8, 0.077, 29.0, 60.0, 0.9968, 3.39, 0.53, 9.4, 6
10.2, 0.645, 0.36, 1.8, 0.053, 5.0, 14.0, 0.9982, 3.17, 0.42, 10.0, 6
9.4, 0.24, 0.33, 2.3, 0.061, 52.0, 73.0, 0.99786, 3.47, 0.9, 10.2, 6
10.2, 0.33, 0.46, 1.9, 0.081, 6.0, 9.0, 0.99628, 3.1, 0.48, 10.4, 6
8.0, 0.715, 0.22, 2.3, 0.075, 13.0, 81.0, 0.99688, 3.24, 0.54, 9.5, 6
6.3, 0.68, 0.01, 3.7, 0.103, 32.0, 54.0, 0.99586, 3.51, 0.66, 11.3, 6
8.6, 0.49, 0.28, 1.9, 0.11, 20.0, 136.0, 0.9972, 2.93, 1.95, 9.9, 6
8.7, 0.33, 0.38, 3.3, 0.063, 10.0, 19.0, 0.99468, 3.3, 0.73, 12.0, 7
7.7, 0.27, 0.68, 3.5, 0.358, 5.0, 10.0, 0.9972, 3.25, 1.08, 9.9, 7
7.0, 0.4, 0.32, 3.6, 0.061, 9.0, 29.0, 0.99416, 3.28, 0.49, 11.3, 7
10.2, 0.44, 0.58, 4.1, 0.092, 11.0, 24.0, 0.99745, 3.29, 0.99, 12.0, 7
7.9, 0.2, 0.35, 1.7, 0.054, 7.0, 15.0, 0.99458, 3.32, 0.8, 11.9, 7
7.5, 0.43, 0.3, 2.2, 0.062, 6.0, 12.0, 0.99495, 3.44, 0.72, 11.5, 7
9.9, 0.27, 0.49, 5.0, 0.082, 9.0, 17.0, 0.99484, 3.19, 0.52, 12.5, 7
10.5, 0.24, 0.47, 2.1, 0.066, 6.0, 24.0, 0.9978, 3.15, 0.9, 11.0, 7
10.2, 0.29, 0.49, 2.6, 0.059, 5.0, 13.0, 0.9976, 3.05, 0.74, 10.5, 7
10.0, 0.31, 0.47, 2.6, 0.085, 14.0, 33.0, 0.99965, 3.36, 0.8, 10.5, 7
11.6, 0.41, 0.54, 1.5, 0.095, 22.0, 41.0, 0.99735, 3.02, 0.76, 9.9, 7
6.4, 0.31, 0.09, 1.4, 0.066, 15.0, 28.0, 0.99459, 3.42, 0.7, 10.0, 7
7.5, 0.27, 0.34, 2.3, 0.05, 4.0, 8.0, 0.9951, 3.4, 0.64, 11.0, 7
9.1, 0.25, 0.34, 2.0, 0.071, 45.0, 67.0, 0.99769, 3.44, 0.86, 10.2, 7
5.2, 0.48, 0.04, 1.6, 0.054, 19.0, 106.0, 0.9927, 3.54, 0.62, 12.2, 7
8.3, 0.31, 0.39, 2.4, 0.078, 17.0, 43.0, 0.99444, 3.31, 0.77, 12.5, 7
5.3, 0.57, 0.01, 1.7, 0.054, 5.0, 27.0, 0.9934, 3.57, 0.84, 12.5, 7
8.7, 0.52, 0.09, 2.5, 0.091, 20.0, 49.0, 0.9976, 3.34, 0.86, 10.6, 7
7.6, 0.31, 0.34, 2.5, 0.082, 26.0, 35.0, 0.99356, 3.22, 0.59, 12.5, 7
7.3, 0.48, 0.32, 2.1, 0.062, 31.0, 54.0, 0.99728, 3.3, 0.65, 10.0, 7
9.1, 0.4, 0.5, 1.8, 0.071, 7.0, 16.0, 0.99462, 3.21, 0.69, 12.5, 8
10.0, 0.26, 0.54, 1.9, 0.083, 42.0, 74.0, 0.99451, 2.98, 0.63, 11.8, 8
