@relation  winequality-red
@attribute FixedAcidity real[4.6,15.9]
@attribute VolatileAcidity real[0.12,1.58]
@attribute CitricAcid real[0.0,1.0]
@attribute ResidualSugar real[0.9,15.5]
@attribute Chlorides real[0.012,0.611]
@attribute FreeSulfurDioxide real[1.0,72.0]
@attribute TotalSulfurDioxide real[6.0,289.0]
@attribute Density real[0.99007,1.00369]
@attribute PH real[2.74,4.01]
@attribute Sulphates real[0.33,2.0]
@attribute Alcohol real[8.4,14.9]
@attribute Quality{0,1,2,3,4,5,6,7,8,9,10}
@inputs FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,PH,Sulphates,Alcohol
@outputs Quality
@data
9.9, 0.63, 0.24, 2.4, 0.077, 6.0, 33.0, 0.9974, 3.09, 0.57, 9.4, 5
9.1, 0.66, 0.15, 3.2, 0.097, 9.0, 59.0, 0.99976, 3.28, 0.54, 9.6, 5
7.0, 0.62, 0.18, 1.5, 0.062, 7.0, 50.0, 0.9951, 3.08, 0.6, 9.3, 5
7.7, 0.49, 0.26, 1.9, 0.062, 9.0, 31.0, 0.9966, 3.39, 0.64, 9.6, 5
7.6, 0.41, 0.33, 2.5, 0.078, 6.0, 23.0, 0.9957, 3.3, 0.58, 11.2, 5
7.9, 0.5, 0.33, 2.0, 0.084, 15.0, 143.0, 0.9968, 3.2, 0.55, 9.5, 5
7.2, 0.41, 0.3, 2.1, 0.083, 35.0, 72.0, 0.997, 3.44, 0.52, 9.4, 5
5.6, 0.54, 0.04, 1.7, 0.049, 5.0, 13.0, 0.9942, 3.72, 0.58, 11.4, 5
8.8, 0.42, 0.21, 2.5, 0.092, 33.0, 88.0, 0.99823, 3.19, 0.52, 9.2, 5
6.8, 0.83, 0.09, 1.8, 0.074, 4.0, 25.0, 0.99534, 3.38, 0.45, 9.6, 5
7.1, 0.68, 0.07, 1.9, 0.075, 16.0, 51.0, 0.99685, 3.38, 0.52, 9.5, 5
6.9, 0.56, 0.03, 1.5, 0.086, 36.0, 46.0, 0.99522, 3.53, 0.57, 10.6, 5
9.9, 0.59, 0.07, 3.4, 0.102, 32.0, 71.0, 1.00015, 3.31, 0.71, 9.8, 5
6.4, 0.57, 0.02, 1.8, 0.067, 4.0, 11.0, 0.997, 3.46, 0.68, 9.5, 5
6.6, 0.88, 0.04, 2.2, 0.066, 12.0, 20.0, 0.99636, 3.53, 0.56, 9.9, 5
7.5, 0.77, 0.2, 8.1, 0.098, 30.0, 92.0, 0.99892, 3.2, 0.58, 9.2, 5
6.6, 0.735, 0.02, 7.9, 0.122, 68.0, 124.0, 0.9994, 3.47, 0.53, 9.9, 5
6.8, 0.59, 0.1, 1.7, 0.063, 34.0, 53.0, 0.9958, 3.41, 0.67, 9.7, 5
8.3, 0.715, 0.15, 1.8, 0.089, 10.0, 52.0, 0.9968, 3.23, 0.77, 9.5, 5
7.1, 0.67, 0.0, 2.3, 0.083, 18.0, 27.0, 0.99768, 3.44, 0.54, 9.4, 5
7.2, 0.605, 0.02, 1.9, 0.096, 10.0, 31.0, 0.995, 3.46, 0.53, 11.8, 6
12.8, 0.84, 0.63, 2.4, 0.088, 13.0, 35.0, 0.9997, 3.1, 0.6, 10.4, 6
6.4, 0.69, 0.0, 1.65, 0.055, 7.0, 12.0, 0.99162, 3.47, 0.53, 12.9, 6
7.6, 0.78, 0.0, 1.7, 0.076, 33.0, 45.0, 0.99612, 3.31, 0.62, 10.7, 6
6.2, 0.36, 0.24, 2.2, 0.095, 19.0, 42.0, 0.9946, 3.57, 0.57, 11.7, 6
8.9, 0.32, 0.31, 2.0, 0.088, 12.0, 19.0, 0.9957, 3.17, 0.55, 10.4, 6
5.0, 0.38, 0.01, 1.6, 0.048, 26.0, 60.0, 0.99084, 3.7, 0.75, 14.0, 6
7.5, 0.51, 0.02, 1.7, 0.084, 13.0, 31.0, 0.99538, 3.36, 0.54, 10.5, 6
6.8, 0.41, 0.31, 8.8, 0.084, 26.0, 45.0, 0.99824, 3.38, 0.64, 10.1, 6
11.5, 0.45, 0.5, 3.0, 0.078, 19.0, 47.0, 1.0003, 3.26, 1.11, 11.0, 6
11.8, 0.38, 0.55, 2.1, 0.071, 5.0, 19.0, 0.9986, 3.11, 0.62, 10.8, 6
7.2, 0.62, 0.01, 2.3, 0.065, 8.0, 46.0, 0.99332, 3.32, 0.51, 11.8, 6
7.2, 0.52, 0.07, 1.4, 0.074, 5.0, 20.0, 0.9973, 3.32, 0.81, 9.6, 6
8.2, 0.4, 0.31, 1.9, 0.082, 8.0, 24.0, 0.996, 3.24, 0.69, 10.6, 6
7.5, 0.53, 0.06, 2.6, 0.086, 20.0, 44.0, 0.9965, 3.38, 0.59, 10.7, 6
8.3, 0.26, 0.42, 2.0, 0.08, 11.0, 27.0, 0.9974, 3.21, 0.8, 9.4, 6
9.1, 0.5, 0.3, 1.9, 0.065, 8.0, 17.0, 0.99774, 3.32, 0.71, 10.5, 6
6.9, 0.45, 0.11, 2.4, 0.043, 6.0, 12.0, 0.99354, 3.3, 0.65, 11.4, 6
12.7, 0.59, 0.45, 2.3, 0.082, 11.0, 22.0, 1.0, 3.0, 0.7, 9.3, 6
6.8, 0.57, 0.0, 2.5, 0.072, 32.0, 64.0, 0.99491, 3.43, 0.56, 11.2, 6
5.4, 0.74, 0.09, 1.7, 0.089, 16.0, 26.0, 0.99402, 3.67, 0.56, 11.6, 6
8.7, 0.31, 0.46, 1.4, 0.059, 11.0, 25.0, 0.9966, 3.36, 0.76, 10.1, 6
7.4, 0.6, 0.26, 2.1, 0.083, 17.0, 91.0, 0.99616, 3.29, 0.56, 9.8, 6
8.6, 0.53, 0.22, 2.0, 0.1, 7.0, 27.0, 0.9967, 3.2, 0.56, 10.2, 6
8.5, 0.37, 0.32, 1.8, 0.066, 26.0, 51.0, 0.99456, 3.38, 0.72, 11.8, 6
9.0, 0.4, 0.41, 2.0, 0.058, 15.0, 40.0, 0.99414, 3.22, 0.6, 12.2, 6
7.9, 1.04, 0.05, 2.2, 0.084, 13.0, 29.0, 0.9959, 3.22, 0.55, 9.9, 6
8.8, 0.27, 0.46, 2.1, 0.095, 20.0, 29.0, 0.99488, 3.26, 0.56, 11.3, 6
6.9, 0.51, 0.23, 2.0, 0.072, 13.0, 22.0, 0.99438, 3.4, 0.84, 11.2, 6
8.9, 0.745, 0.18, 2.5, 0.077, 15.0, 48.0, 0.99739, 3.2, 0.47, 9.7, 6
9.3, 0.5, 0.36, 1.8, 0.084, 6.0, 17.0, 0.99704, 3.27, 0.77, 10.8, 6
7.8, 0.52, 0.25, 1.9, 0.081, 14.0, 38.0, 0.9984, 3.43, 0.65, 9.0, 6
7.2, 0.645, 0.0, 1.9, 0.097, 15.0, 39.0, 0.99675, 3.37, 0.58, 9.2, 6
6.8, 0.64, 0.0, 2.7, 0.123, 15.0, 33.0, 0.99538, 3.44, 0.63, 11.3, 6
9.0, 0.39, 0.4, 1.3, 0.044, 25.0, 50.0, 0.99478, 3.2, 0.83, 10.9, 6
7.4, 0.785, 0.19, 5.2, 0.094, 19.0, 98.0, 0.99713, 3.16, 0.52, 9.56666666666667, 6
7.2, 0.57, 0.05, 2.3, 0.081, 16.0, 36.0, 0.99564, 3.38, 0.6, 10.3, 6
7.4, 0.37, 0.43, 2.6, 0.082, 18.0, 82.0, 0.99708, 3.33, 0.68, 9.7, 6
9.4, 0.4, 0.31, 2.2, 0.09, 13.0, 62.0, 0.9966, 3.07, 0.63, 10.5, 6
9.1, 0.22, 0.24, 2.1, 0.078, 1.0, 28.0, 0.999, 3.41, 0.87, 10.3, 6
11.4, 0.36, 0.69, 2.1, 0.09, 6.0, 21.0, 1.0, 3.17, 0.62, 9.2, 6
6.8, 0.62, 0.08, 1.9, 0.068, 28.0, 38.0, 0.99651, 3.42, 0.82, 9.5, 6
10.0, 0.46, 0.44, 2.9, 0.065, 4.0, 8.0, 0.99674, 3.33, 0.62, 12.2, 6
6.8, 0.49, 0.22, 2.3, 0.071, 13.0, 24.0, 0.99438, 3.41, 0.83, 11.3, 6
7.5, 0.63, 0.27, 2.0, 0.083, 17.0, 91.0, 0.99616, 3.26, 0.58, 9.8, 6
7.9, 0.29, 0.49, 2.2, 0.096, 21.0, 59.0, 0.99714, 3.31, 0.67, 10.1, 6
10.4, 0.26, 0.48, 1.9, 0.066, 6.0, 10.0, 0.99724, 3.33, 0.87, 10.9, 6
11.3, 0.34, 0.45, 2.0, 0.082, 6.0, 15.0, 0.9988, 2.94, 0.66, 9.2, 6
7.5, 0.31, 0.41, 2.4, 0.065, 34.0, 60.0, 0.99492, 3.34, 0.85, 11.4, 6
9.6, 0.77, 0.12, 2.9, 0.082, 30.0, 74.0, 0.99865, 3.3, 0.64, 10.4, 6
6.7, 0.41, 0.43, 2.8, 0.076, 22.0, 54.0, 0.99572, 3.42, 1.16, 10.6, 6
7.9, 0.51, 0.25, 2.9, 0.077, 21.0, 45.0, 0.9974, 3.49, 0.96, 12.1, 6
9.7, 0.42, 0.46, 2.1, 0.074, 5.0, 16.0, 0.99649, 3.27, 0.74, 12.3, 6
8.8, 0.61, 0.19, 4.0, 0.094, 30.0, 69.0, 0.99787, 3.22, 0.5, 10.0, 6
7.5, 0.58, 0.56, 3.1, 0.153, 5.0, 14.0, 0.99476, 3.21, 1.03, 11.6, 6
9.8, 0.25, 0.49, 2.7, 0.088, 15.0, 33.0, 0.9982, 3.42, 0.9, 10.0, 6
7.5, 0.57, 0.02, 2.6, 0.077, 11.0, 35.0, 0.99557, 3.36, 0.62, 10.8, 6
8.9, 0.29, 0.35, 1.9, 0.067, 25.0, 57.0, 0.997, 3.18, 1.36, 10.3, 6
8.3, 0.53, 0.0, 1.4, 0.07, 6.0, 14.0, 0.99593, 3.25, 0.64, 10.0, 6
6.9, 0.605, 0.12, 10.7, 0.073, 40.0, 83.0, 0.9993, 3.45, 0.52, 9.4, 6
7.3, 0.66, 0.0, 2.0, 0.084, 6.0, 23.0, 0.9983, 3.61, 0.96, 9.9, 6
7.9, 0.57, 0.31, 2.0, 0.079, 10.0, 79.0, 0.99677, 3.29, 0.69, 9.5, 6
8.2, 1.0, 0.09, 2.3, 0.065, 7.0, 37.0, 0.99685, 3.32, 0.55, 9.0, 6
8.4, 0.62, 0.12, 1.8, 0.072, 38.0, 46.0, 0.99504, 3.38, 0.89, 11.8, 6
10.0, 0.44, 0.49, 2.7, 0.077, 11.0, 19.0, 0.9963, 3.23, 0.63, 11.6, 7
11.1, 0.31, 0.53, 2.2, 0.06, 3.0, 10.0, 0.99572, 3.02, 0.83, 10.9, 7
12.0, 0.39, 0.66, 3.0, 0.093, 12.0, 30.0, 0.9996, 3.18, 0.63, 10.8, 7
8.3, 0.3, 0.49, 3.8, 0.09, 11.0, 24.0, 0.99498, 3.27, 0.64, 12.1, 7
8.5, 0.28, 0.35, 1.7, 0.061, 6.0, 15.0, 0.99524, 3.3, 0.74, 11.8, 7
8.3, 0.28, 0.48, 2.1, 0.093, 6.0, 12.0, 0.99408, 3.26, 0.62, 12.4, 7
9.4, 0.41, 0.48, 4.6, 0.072, 10.0, 20.0, 0.9973, 3.34, 0.79, 12.2, 7
8.9, 0.12, 0.45, 1.8, 0.075, 10.0, 21.0, 0.99552, 3.41, 0.76, 11.9, 7
8.9, 0.28, 0.45, 1.7, 0.067, 7.0, 12.0, 0.99354, 3.25, 0.55, 12.3, 7
7.5, 0.52, 0.16, 1.9, 0.085, 12.0, 35.0, 0.9968, 3.38, 0.62, 9.5, 7
7.2, 0.36, 0.46, 2.1, 0.074, 24.0, 44.0, 0.99534, 3.4, 0.85, 11.0, 7
9.6, 0.33, 0.52, 2.2, 0.074, 13.0, 25.0, 0.99509, 3.36, 0.76, 12.4, 7
6.8, 0.36, 0.32, 1.8, 0.067, 4.0, 8.0, 0.9928, 3.36, 0.55, 12.8, 7
5.1, 0.585, 0.0, 1.7, 0.044, 14.0, 86.0, 0.99264, 3.56, 0.94, 12.9, 7
10.4, 0.44, 0.73, 6.55, 0.074, 38.0, 76.0, 0.999, 3.17, 0.85, 12.0, 7
4.9, 0.42, 0.0, 2.1, 0.048, 16.0, 42.0, 0.99154, 3.71, 0.74, 14.0, 7
12.8, 0.3, 0.74, 2.6, 0.095, 9.0, 28.0, 0.9994, 3.2, 0.77, 10.8, 7
10.1, 0.43, 0.4, 2.6, 0.092, 13.0, 52.0, 0.99834, 3.22, 0.64, 10.0, 7
6.6, 0.84, 0.03, 2.3, 0.059, 32.0, 48.0, 0.9952, 3.52, 0.56, 12.3, 7
5.4, 0.42, 0.27, 2.0, 0.092, 23.0, 55.0, 0.99471, 3.78, 0.64, 12.3, 7
7.9, 0.54, 0.34, 2.5, 0.076, 8.0, 17.0, 0.99235, 3.2, 0.72, 13.1, 8
5.5, 0.49, 0.03, 1.8, 0.044, 28.0, 87.0, 0.9908, 3.5, 0.82, 14.0, 8
