@relation  winequality-red
@attribute FixedAcidity numeric
@attribute VolatileAcidity numeric
@attribute CitricAcid numeric
@attribute ResidualSugar numeric
@attribute Chlorides numeric
@attribute FreeSulfurDioxide numeric
@attribute TotalSulfurDioxide numeric
@attribute Density numeric
@attribute PH numeric
@attribute Sulphates numeric
@attribute Alcohol numeric
@attribute Quality {0,1,2,3,4,5,6,7,8,9,10}


@data
6.9, 0.55, 0.15, 2.2, 0.076, 19.0, 40.0, 0.9961, 3.41, 0.59, 10.1, 5
7.4, 0.7, 0.0, 1.9, 0.076, 11.0, 34.0, 0.9978, 3.51, 0.56, 9.4, 5
10.8, 0.89, 0.3, 2.6, 0.132, 7.0, 60.0, 0.99786, 2.99, 1.18, 10.2, 5
6.6, 0.64, 0.31, 6.1, 0.083, 7.0, 49.0, 0.99718, 3.35, 0.68, 10.3, 5
8.2, 0.885, 0.2, 1.4, 0.086, 7.0, 31.0, 0.9946, 3.11, 0.46, 10.0, 5
5.6, 0.605, 0.05, 2.4, 0.073, 19.0, 25.0, 0.99258, 3.56, 0.55, 12.9, 5
8.9, 0.62, 0.18, 3.8, 0.176, 52.0, 145.0, 0.9986, 3.16, 0.88, 9.2, 5
7.2, 0.41, 0.3, 2.1, 0.083, 35.0, 72.0, 0.997, 3.44, 0.52, 9.4, 5
6.1, 0.59, 0.01, 2.1, 0.056, 5.0, 13.0, 0.99472, 3.52, 0.56, 11.4, 5
7.5, 0.61, 0.26, 1.9, 0.073, 24.0, 88.0, 0.99612, 3.3, 0.53, 9.8, 5
7.5, 0.42, 0.31, 1.6, 0.08, 15.0, 42.0, 0.9978, 3.31, 0.64, 9.0, 5
7.3, 0.67, 0.26, 1.8, 0.401, 16.0, 51.0, 0.9969, 3.16, 1.14, 9.4, 5
7.5, 0.49, 0.19, 1.9, 0.076, 10.0, 44.0, 0.9957, 3.39, 0.54, 9.7, 5
6.6, 0.63, 0.0, 4.3, 0.093, 51.0, 77.5, 0.99558, 3.2, 0.45, 9.5, 5
8.6, 0.37, 0.65, 6.4, 0.08, 3.0, 8.0, 0.99817, 3.27, 0.58, 11.0, 5
9.0, 0.785, 0.24, 1.7, 0.078, 10.0, 21.0, 0.99692, 3.29, 0.67, 10.0, 5
11.6, 0.42, 0.53, 3.3, 0.105, 33.0, 98.0, 1.001, 3.2, 0.95, 9.2, 5
6.8, 0.63, 0.12, 3.8, 0.099, 16.0, 126.0, 0.9969, 3.28, 0.61, 9.5, 5
7.7, 0.96, 0.2, 2.0, 0.047, 15.0, 60.0, 0.9955, 3.36, 0.44, 10.9, 5
7.6, 0.62, 0.32, 2.2, 0.082, 7.0, 54.0, 0.9966, 3.36, 0.52, 9.4, 5
6.2, 0.64, 0.09, 2.5, 0.081, 15.0, 26.0, 0.99538, 3.57, 0.63, 12.0, 5
8.5, 0.585, 0.18, 2.1, 0.078, 5.0, 30.0, 0.9967, 3.2, 0.48, 9.8, 6
9.7, 0.31, 0.47, 1.6, 0.062, 13.0, 33.0, 0.9983, 3.27, 0.66, 10.0, 6
10.1, 0.28, 0.46, 1.8, 0.05, 5.0, 13.0, 0.9974, 3.04, 0.79, 10.2, 6
7.8, 0.91, 0.07, 1.9, 0.058, 22.0, 47.0, 0.99525, 3.51, 0.43, 10.7, 6
7.1, 0.59, 0.0, 2.2, 0.078, 26.0, 44.0, 0.99522, 3.42, 0.68, 10.8, 6
8.8, 0.46, 0.45, 2.6, 0.065, 7.0, 18.0, 0.9947, 3.32, 0.79, 14.0, 6
7.7, 0.43, 0.25, 2.6, 0.073, 29.0, 63.0, 0.99615, 3.37, 0.58, 10.5, 6
7.5, 0.51, 0.02, 1.7, 0.084, 13.0, 31.0, 0.99538, 3.36, 0.54, 10.5, 6
6.3, 0.51, 0.13, 2.3, 0.076, 29.0, 40.0, 0.99574, 3.42, 0.75, 11.0, 6
10.1, 0.31, 0.44, 2.3, 0.08, 22.0, 46.0, 0.9988, 3.32, 0.67, 9.7, 6
6.9, 0.635, 0.17, 2.4, 0.241, 6.0, 18.0, 0.9961, 3.4, 0.59, 10.3, 6
9.5, 0.46, 0.24, 2.7, 0.092, 14.0, 44.0, 0.998, 3.12, 0.74, 10.0, 6
7.2, 0.52, 0.07, 1.4, 0.074, 5.0, 20.0, 0.9973, 3.32, 0.81, 9.6, 6
12.9, 0.5, 0.55, 2.8, 0.072, 7.0, 24.0, 1.00012, 3.09, 0.68, 10.9, 6
5.1, 0.47, 0.02, 1.3, 0.034, 18.0, 44.0, 0.9921, 3.9, 0.62, 12.8, 6
8.3, 0.26, 0.42, 2.0, 0.08, 11.0, 27.0, 0.9974, 3.21, 0.8, 9.4, 6
9.1, 0.5, 0.3, 1.9, 0.065, 8.0, 17.0, 0.99774, 3.32, 0.71, 10.5, 6
6.2, 0.57, 0.1, 2.1, 0.048, 4.0, 11.0, 0.99448, 3.44, 0.76, 10.8, 6
8.3, 0.26, 0.37, 1.4, 0.076, 8.0, 23.0, 0.9974, 3.26, 0.7, 9.6, 6
6.4, 0.56, 0.15, 1.8, 0.078, 17.0, 65.0, 0.99294, 3.33, 0.6, 10.5, 6
5.9, 0.61, 0.08, 2.1, 0.071, 16.0, 24.0, 0.99376, 3.56, 0.77, 11.1, 6
10.1, 0.27, 0.54, 2.3, 0.065, 7.0, 26.0, 0.99531, 3.17, 0.53, 12.5, 6
9.0, 0.43, 0.34, 2.5, 0.08, 26.0, 86.0, 0.9987, 3.38, 0.62, 9.5, 6
8.2, 0.44, 0.24, 2.3, 0.063, 10.0, 28.0, 0.99613, 3.25, 0.53, 10.2, 6
7.0, 0.54, 0.0, 2.1, 0.079, 39.0, 55.0, 0.9956, 3.39, 0.84, 11.4, 6
7.7, 0.53, 0.06, 1.7, 0.074, 9.0, 39.0, 0.99615, 3.35, 0.48, 9.8, 6
6.5, 0.63, 0.33, 1.8, 0.059, 16.0, 28.0, 0.99531, 3.36, 0.64, 10.1, 6
6.1, 0.48, 0.09, 1.7, 0.078, 18.0, 30.0, 0.99402, 3.45, 0.54, 11.2, 6
7.5, 0.52, 0.4, 2.2, 0.06, 12.0, 20.0, 0.99474, 3.26, 0.64, 11.8, 6
8.1, 0.72, 0.09, 2.8, 0.084, 18.0, 49.0, 0.9994, 3.43, 0.72, 11.1, 6
10.8, 0.4, 0.41, 2.2, 0.084, 7.0, 17.0, 0.9984, 3.08, 0.67, 9.3, 6
7.2, 0.63, 0.0, 1.9, 0.097, 14.0, 38.0, 0.99675, 3.37, 0.58, 9.0, 6
7.6, 0.51, 0.24, 2.4, 0.091, 8.0, 38.0, 0.998, 3.47, 0.66, 9.6, 6
7.0, 0.55, 0.13, 2.2, 0.075, 15.0, 35.0, 0.9959, 3.36, 0.59, 9.7, 6
7.1, 0.35, 0.29, 2.5, 0.096, 20.0, 53.0, 0.9962, 3.42, 0.65, 11.0, 6
7.4, 0.785, 0.19, 5.2, 0.094, 19.0, 98.0, 0.99713, 3.16, 0.52, 9.6, 6
6.3, 0.55, 0.15, 1.8, 0.077, 26.0, 35.0, 0.99314, 3.32, 0.82, 11.6, 6
8.0, 0.33, 0.53, 2.5, 0.091, 18.0, 80.0, 0.9976, 3.37, 0.8, 9.6, 6
12.2, 0.48, 0.54, 2.6, 0.085, 19.0, 64.0, 1.0, 3.1, 0.61, 10.5, 6
9.1, 0.22, 0.24, 2.1, 0.078, 1.0, 28.0, 0.999, 3.41, 0.87, 10.3, 6
7.8, 0.5, 0.12, 1.8, 0.178, 6.0, 21.0, 0.996, 3.28, 0.87, 9.8, 6
6.9, 0.4, 0.14, 2.4, 0.085, 21.0, 40.0, 0.9968, 3.43, 0.63, 9.7, 6
11.6, 0.23, 0.57, 1.8, 0.074, 3.0, 8.0, 0.9981, 3.14, 0.7, 9.9, 6
7.1, 0.39, 0.12, 2.1, 0.065, 14.0, 24.0, 0.99252, 3.3, 0.53, 13.3, 6
6.5, 0.39, 0.23, 8.3, 0.051, 28.0, 91.0, 0.9952, 3.44, 0.55, 12.1, 6
7.8, 0.34, 0.37, 2.0, 0.082, 24.0, 58.0, 0.9964, 3.34, 0.59, 9.4, 6
10.4, 0.26, 0.48, 1.9, 0.066, 6.0, 10.0, 0.99724, 3.33, 0.87, 10.9, 6
11.3, 0.34, 0.45, 2.0, 0.082, 6.0, 15.0, 0.9988, 2.94, 0.66, 9.2, 6
7.2, 0.34, 0.21, 2.5, 0.075, 41.0, 68.0, 0.99586, 3.37, 0.54, 10.1, 6
6.1, 0.58, 0.23, 2.5, 0.044, 16.0, 70.0, 0.99352, 3.46, 0.65, 12.5, 6
8.2, 0.34, 0.38, 2.5, 0.08, 12.0, 57.0, 0.9978, 3.3, 0.47, 9.0, 6
7.2, 0.39, 0.44, 2.6, 0.066, 22.0, 48.0, 0.99494, 3.3, 0.84, 11.5, 6
6.6, 0.96, 0.0, 1.8, 0.082, 5.0, 16.0, 0.9936, 3.5, 0.44, 11.9, 6
12.5, 0.37, 0.55, 2.6, 0.083, 25.0, 68.0, 0.9995, 3.15, 0.82, 10.4, 6
6.6, 0.52, 0.04, 2.2, 0.069, 8.0, 15.0, 0.9956, 3.4, 0.63, 9.4, 6
5.8, 0.61, 0.11, 1.8, 0.066, 18.0, 28.0, 0.99483, 3.55, 0.66, 10.9, 6
7.5, 0.57, 0.02, 2.6, 0.077, 11.0, 35.0, 0.99557, 3.36, 0.62, 10.8, 6
6.4, 0.865, 0.03, 3.2, 0.071, 27.0, 58.0, 0.995, 3.61, 0.49, 12.7, 6
12.5, 0.6, 0.49, 4.3, 0.1, 5.0, 14.0, 1.001, 3.25, 0.74, 11.9, 6
7.0, 0.38, 0.49, 2.5, 0.097, 33.0, 85.0, 0.9962, 3.39, 0.77, 11.4, 6
7.7, 0.57, 0.21, 1.5, 0.069, 4.0, 9.0, 0.99458, 3.16, 0.54, 9.8, 6
8.0, 0.58, 0.28, 3.2, 0.066, 21.0, 114.0, 0.9973, 3.22, 0.54, 9.4, 6
7.1, 0.46, 0.2, 1.9, 0.077, 28.0, 54.0, 0.9956, 3.37, 0.64, 10.4, 6
10.2, 0.54, 0.37, 15.4, 0.214, 55.0, 95.0, 1.00369, 3.18, 0.77, 9.0, 6
10.2, 0.44, 0.42, 2.0, 0.071, 7.0, 20.0, 0.99566, 3.14, 0.79, 11.1, 7
9.4, 0.395, 0.46, 4.6, 0.094, 3.0, 10.0, 0.99639, 3.27, 0.64, 12.2, 7
8.9, 0.38, 0.4, 2.2, 0.068, 12.0, 28.0, 0.99486, 3.27, 0.75, 12.6, 7
9.6, 0.32, 0.47, 1.4, 0.056, 9.0, 24.0, 0.99695, 3.22, 0.82, 10.3, 7
8.8, 0.33, 0.41, 5.9, 0.073, 7.0, 13.0, 0.99658, 3.3, 0.62, 12.1, 7
8.3, 0.28, 0.48, 2.1, 0.093, 6.0, 12.0, 0.99408, 3.26, 0.62, 12.4, 7
7.8, 0.32, 0.44, 2.7, 0.104, 8.0, 17.0, 0.99732, 3.33, 0.78, 11.0, 7
10.5, 0.26, 0.47, 1.9, 0.078, 6.0, 24.0, 0.9976, 3.18, 1.04, 10.9, 7
6.8, 0.59, 0.06, 6.0, 0.06, 11.0, 18.0, 0.9962, 3.41, 0.59, 10.8, 7
11.7, 0.28, 0.47, 1.7, 0.054, 17.0, 32.0, 0.99686, 3.15, 0.67, 10.6, 7
11.6, 0.41, 0.54, 1.5, 0.095, 22.0, 41.0, 0.99735, 3.02, 0.76, 9.9, 7
8.7, 0.48, 0.3, 2.8, 0.066, 10.0, 28.0, 0.9964, 3.33, 0.67, 11.2, 7
6.8, 0.36, 0.32, 1.8, 0.067, 4.0, 8.0, 0.9928, 3.36, 0.55, 12.8, 7
8.5, 0.18, 0.51, 1.75, 0.071, 45.0, 88.0, 0.99524, 3.33, 0.76, 11.8, 7
8.5, 0.28, 0.56, 1.8, 0.092, 35.0, 103.0, 0.9969, 3.3, 0.75, 10.5, 7
7.2, 0.25, 0.37, 2.5, 0.063, 11.0, 41.0, 0.99439, 3.52, 0.8, 12.4, 7
12.8, 0.3, 0.74, 2.6, 0.095, 9.0, 28.0, 0.9994, 3.2, 0.77, 10.8, 7
8.7, 0.52, 0.09, 2.5, 0.091, 20.0, 49.0, 0.9976, 3.34, 0.86, 10.6, 7
7.2, 0.36, 0.46, 2.1, 0.074, 24.0, 44.0, 0.99534, 3.4, 0.85, 11.0, 7
7.3, 0.48, 0.32, 2.1, 0.062, 31.0, 54.0, 0.99728, 3.3, 0.65, 10.0, 7
9.4, 0.3, 0.56, 2.8, 0.08, 6.0, 17.0, 0.9964, 3.15, 0.92, 11.7, 8
5.6, 0.85, 0.05, 1.4, 0.045, 12.0, 88.0, 0.9924, 3.56, 0.82, 12.9, 8
