@relation  balance
@attribute Left-weight real[1.0,5.0]
@attribute Left-distance real[1.0,5.0]
@attribute Right-weight real[1.0,5.0]
@attribute Right-distance real[1.0,5.0]
@attribute Balance_scale{L,B,R}
@inputs Left-weight,Left-distance,Right-weight,Right-distance
@outputs Balance_scale
@data
2.0, 1.0, 4.0, 4.0, R
2.0, 2.0, 3.0, 4.0, R
1.0, 2.0, 5.0, 3.0, R
1.0, 3.0, 5.0, 4.0, R
1.0, 4.0, 3.0, 5.0, R
4.0, 1.0, 4.0, 3.0, R
1.0, 4.0, 3.0, 3.0, R
1.0, 2.0, 3.0, 3.0, R
3.0, 2.0, 5.0, 4.0, R
1.0, 1.0, 3.0, 1.0, R
4.0, 2.0, 3.0, 5.0, R
3.0, 4.0, 4.0, 5.0, R
4.0, 2.0, 4.0, 3.0, R
2.0, 1.0, 3.0, 3.0, R
3.0, 1.0, 3.0, 2.0, R
3.0, 4.0, 5.0, 4.0, R
1.0, 1.0, 1.0, 3.0, R
1.0, 2.0, 4.0, 5.0, R
1.0, 3.0, 1.0, 5.0, R
1.0, 2.0, 2.0, 2.0, R
1.0, 3.0, 5.0, 1.0, R
2.0, 5.0, 4.0, 3.0, R
2.0, 1.0, 2.0, 5.0, R
3.0, 2.0, 5.0, 2.0, R
3.0, 3.0, 2.0, 5.0, R
2.0, 4.0, 5.0, 5.0, R
3.0, 1.0, 5.0, 1.0, R
5.0, 1.0, 4.0, 5.0, R
3.0, 3.0, 4.0, 1.0, L
5.0, 1.0, 2.0, 2.0, L
5.0, 2.0, 2.0, 4.0, L
4.0, 3.0, 1.0, 3.0, L
5.0, 3.0, 2.0, 1.0, L
2.0, 4.0, 2.0, 1.0, L
5.0, 3.0, 1.0, 5.0, L
2.0, 5.0, 1.0, 4.0, L
5.0, 4.0, 5.0, 1.0, L
4.0, 1.0, 1.0, 3.0, L
1.0, 4.0, 2.0, 1.0, L
5.0, 4.0, 3.0, 2.0, L
1.0, 5.0, 1.0, 3.0, L
5.0, 5.0, 2.0, 3.0, L
2.0, 5.0, 2.0, 3.0, L
5.0, 2.0, 1.0, 2.0, L
4.0, 5.0, 3.0, 4.0, L
3.0, 4.0, 1.0, 1.0, L
2.0, 2.0, 2.0, 1.0, L
5.0, 5.0, 3.0, 5.0, L
5.0, 5.0, 5.0, 4.0, L
5.0, 3.0, 3.0, 2.0, L
4.0, 1.0, 1.0, 2.0, L
3.0, 3.0, 2.0, 4.0, L
4.0, 4.0, 3.0, 2.0, L
3.0, 4.0, 5.0, 2.0, L
5.0, 4.0, 1.0, 2.0, L
5.0, 2.0, 5.0, 1.0, L
5.0, 2.0, 4.0, 2.0, L
5.0, 1.0, 5.0, 1.0, B
2.0, 5.0, 2.0, 5.0, B
4.0, 1.0, 1.0, 4.0, B
1.0, 2.0, 2.0, 1.0, B
3.0, 5.0, 5.0, 3.0, B
1.0, 5.0, 3.0, 4.0, R
3.0, 1.0, 3.0, 4.0, R
3.0, 2.0, 2.0, 4.0, R
2.0, 1.0, 5.0, 3.0, R
2.0, 3.0, 4.0, 4.0, R
1.0, 5.0, 2.0, 5.0, R
5.0, 1.0, 3.0, 3.0, R
2.0, 3.0, 3.0, 3.0, R
1.0, 3.0, 2.0, 3.0, R
4.0, 1.0, 5.0, 4.0, R
1.0, 1.0, 4.0, 2.0, R
5.0, 1.0, 3.0, 5.0, R
4.0, 3.0, 4.0, 5.0, R
3.0, 1.0, 3.0, 3.0, R
2.0, 1.0, 4.0, 2.0, R
5.0, 1.0, 2.0, 3.0, R
3.0, 4.0, 5.0, 3.0, R
1.0, 1.0, 1.0, 5.0, R
2.0, 2.0, 3.0, 5.0, R
1.0, 3.0, 2.0, 4.0, R
1.0, 1.0, 3.0, 2.0, R
1.0, 4.0, 5.0, 2.0, R
2.0, 5.0, 5.0, 4.0, R
2.0, 2.0, 1.0, 5.0, R
2.0, 2.0, 4.0, 2.0, R
3.0, 1.0, 2.0, 4.0, R
3.0, 3.0, 5.0, 3.0, R
1.0, 1.0, 5.0, 4.0, R
5.0, 2.0, 4.0, 4.0, R
3.0, 2.0, 3.0, 1.0, L
4.0, 1.0, 2.0, 1.0, L
5.0, 3.0, 2.0, 3.0, L
4.0, 4.0, 1.0, 4.0, L
5.0, 4.0, 2.0, 2.0, L
2.0, 5.0, 2.0, 2.0, L
5.0, 4.0, 2.0, 5.0, L
1.0, 5.0, 1.0, 4.0, L
5.0, 5.0, 5.0, 2.0, L
4.0, 2.0, 1.0, 4.0, L
1.0, 4.0, 1.0, 1.0, L
5.0, 5.0, 3.0, 1.0, L
1.0, 3.0, 1.0, 2.0, L
4.0, 4.0, 2.0, 4.0, L
3.0, 5.0, 1.0, 1.0, L
3.0, 2.0, 1.0, 1.0, L
3.0, 4.0, 2.0, 4.0, L
3.0, 3.0, 1.0, 1.0, L
2.0, 4.0, 2.0, 3.0, L
4.0, 5.0, 3.0, 5.0, L
4.0, 5.0, 4.0, 3.0, L
4.0, 2.0, 3.0, 1.0, L
4.0, 3.0, 1.0, 2.0, L
3.0, 4.0, 2.0, 5.0, L
3.0, 5.0, 3.0, 1.0, L
3.0, 4.0, 3.0, 2.0, L
4.0, 5.0, 1.0, 1.0, L
4.0, 2.0, 5.0, 1.0, L
5.0, 1.0, 4.0, 1.0, L
3.0, 2.0, 3.0, 2.0, B
2.0, 3.0, 2.0, 3.0, B
5.0, 2.0, 2.0, 5.0, B
3.0, 1.0, 3.0, 1.0, B
4.0, 5.0, 5.0, 4.0, B
1.0, 5.0, 5.0, 4.0, R
3.0, 1.0, 4.0, 5.0, R
3.0, 2.0, 3.0, 5.0, R
2.0, 2.0, 5.0, 2.0, R
2.0, 4.0, 5.0, 4.0, R
1.0, 3.0, 3.0, 5.0, R
5.0, 1.0, 4.0, 4.0, R
2.0, 4.0, 4.0, 3.0, R
1.0, 3.0, 3.0, 4.0, R
4.0, 2.0, 5.0, 3.0, R
1.0, 2.0, 4.0, 1.0, R
5.0, 2.0, 4.0, 5.0, R
2.0, 4.0, 4.0, 5.0, R
4.0, 1.0, 3.0, 2.0, R
2.0, 1.0, 3.0, 2.0, R
3.0, 1.0, 2.0, 2.0, R
4.0, 3.0, 4.0, 4.0, R
1.0, 2.0, 1.0, 4.0, R
2.0, 3.0, 4.0, 5.0, R
1.0, 2.0, 1.0, 5.0, R
2.0, 1.0, 2.0, 4.0, R
1.0, 3.0, 4.0, 1.0, R
1.0, 5.0, 3.0, 2.0, R
2.0, 1.0, 3.0, 5.0, R
3.0, 1.0, 5.0, 2.0, R
4.0, 1.0, 2.0, 5.0, R
5.0, 3.0, 5.0, 5.0, R
5.0, 1.0, 5.0, 4.0, R
1.0, 3.0, 4.0, 4.0, R
2.0, 2.0, 3.0, 1.0, L
5.0, 2.0, 2.0, 1.0, L
5.0, 3.0, 2.0, 5.0, L
4.0, 4.0, 2.0, 3.0, L
5.0, 5.0, 2.0, 1.0, L
2.0, 5.0, 3.0, 1.0, L
5.0, 5.0, 1.0, 5.0, L
2.0, 3.0, 1.0, 5.0, L
3.0, 5.0, 5.0, 1.0, L
4.0, 2.0, 2.0, 3.0, L
1.0, 5.0, 4.0, 1.0, L
5.0, 5.0, 3.0, 3.0, L
1.0, 4.0, 1.0, 3.0, L
4.0, 4.0, 3.0, 3.0, L
3.0, 5.0, 2.0, 2.0, L
4.0, 3.0, 1.0, 1.0, L
3.0, 4.0, 3.0, 3.0, L
2.0, 3.0, 2.0, 1.0, L
3.0, 2.0, 2.0, 2.0, L
4.0, 5.0, 4.0, 4.0, L
5.0, 4.0, 4.0, 3.0, L
4.0, 3.0, 3.0, 2.0, L
5.0, 1.0, 1.0, 3.0, L
4.0, 2.0, 1.0, 5.0, L
3.0, 5.0, 4.0, 2.0, L
2.0, 5.0, 4.0, 2.0, L
5.0, 2.0, 1.0, 5.0, L
4.0, 3.0, 5.0, 2.0, L
2.0, 4.0, 5.0, 1.0, L
4.0, 1.0, 4.0, 1.0, B
1.0, 4.0, 2.0, 2.0, B
3.0, 1.0, 1.0, 3.0, B
1.0, 2.0, 1.0, 2.0, B
3.0, 5.0, 3.0, 5.0, B
1.0, 5.0, 4.0, 3.0, R
3.0, 1.0, 5.0, 4.0, R
3.0, 3.0, 3.0, 4.0, R
2.0, 2.0, 5.0, 4.0, R
3.0, 3.0, 5.0, 4.0, R
1.0, 4.0, 2.0, 5.0, R
5.0, 1.0, 5.0, 3.0, R
1.0, 4.0, 2.0, 3.0, R
1.0, 3.0, 4.0, 3.0, R
4.0, 2.0, 5.0, 5.0, R
2.0, 1.0, 4.0, 1.0, R
4.0, 2.0, 2.0, 5.0, R
3.0, 3.0, 4.0, 5.0, R
4.0, 1.0, 2.0, 3.0, R
2.0, 1.0, 4.0, 5.0, R
4.0, 1.0, 5.0, 2.0, R
4.0, 3.0, 5.0, 3.0, R
2.0, 1.0, 1.0, 4.0, R
3.0, 2.0, 4.0, 5.0, R
1.0, 2.0, 2.0, 4.0, R
2.0, 1.0, 1.0, 3.0, R
1.0, 3.0, 5.0, 2.0, R
2.0, 3.0, 3.0, 5.0, R
2.0, 2.0, 2.0, 5.0, R
3.0, 3.0, 4.0, 3.0, R
3.0, 1.0, 3.0, 5.0, R
1.0, 3.0, 4.0, 5.0, R
5.0, 2.0, 5.0, 3.0, R
1.0, 5.0, 5.0, 5.0, R
2.0, 3.0, 4.0, 1.0, L
3.0, 1.0, 2.0, 1.0, L
5.0, 3.0, 3.0, 4.0, L
4.0, 5.0, 1.0, 3.0, L
5.0, 4.0, 3.0, 1.0, L
3.0, 5.0, 2.0, 1.0, L
3.0, 4.0, 1.0, 5.0, L
2.0, 4.0, 1.0, 4.0, L
4.0, 4.0, 5.0, 1.0, L
5.0, 2.0, 1.0, 3.0, L
2.0, 3.0, 3.0, 1.0, L
5.0, 5.0, 4.0, 2.0, L
2.0, 4.0, 1.0, 2.0, L
4.0, 5.0, 2.0, 3.0, L
3.0, 5.0, 2.0, 4.0, L
5.0, 1.0, 1.0, 2.0, L
3.0, 5.0, 3.0, 4.0, L
2.0, 4.0, 2.0, 2.0, L
3.0, 3.0, 2.0, 1.0, L
5.0, 4.0, 3.0, 5.0, L
5.0, 5.0, 5.0, 3.0, L
4.0, 3.0, 4.0, 1.0, L
3.0, 3.0, 1.0, 3.0, L
4.0, 3.0, 2.0, 5.0, L
4.0, 4.0, 4.0, 2.0, L
3.0, 4.0, 5.0, 1.0, L
5.0, 2.0, 3.0, 3.0, L
5.0, 3.0, 4.0, 2.0, L
2.0, 5.0, 4.0, 1.0, L
4.0, 3.0, 4.0, 3.0, B
2.0, 2.0, 1.0, 4.0, B
3.0, 3.0, 3.0, 3.0, B
1.0, 3.0, 3.0, 1.0, B
5.0, 5.0, 5.0, 5.0, B
2.0, 5.0, 4.0, 4.0, R
3.0, 2.0, 4.0, 4.0, R
4.0, 2.0, 3.0, 4.0, R
2.0, 3.0, 5.0, 3.0, R
1.0, 2.0, 5.0, 4.0, R
1.0, 5.0, 2.0, 4.0, R
5.0, 2.0, 4.0, 3.0, R
1.0, 4.0, 3.0, 2.0, R
1.0, 1.0, 3.0, 3.0, R
4.0, 3.0, 5.0, 4.0, R
1.0, 1.0, 2.0, 1.0, R
4.0, 2.0, 4.0, 5.0, R
3.0, 4.0, 3.0, 5.0, R
4.0, 1.0, 3.0, 4.0, R
2.0, 1.0, 5.0, 2.0, R
5.0, 1.0, 2.0, 4.0, R
4.0, 3.0, 5.0, 5.0, R
1.0, 1.0, 1.0, 2.0, R
1.0, 1.0, 4.0, 5.0, R
1.0, 3.0, 2.0, 5.0, R
1.0, 1.0, 3.0, 5.0, R
1.0, 4.0, 4.0, 2.0, R
2.0, 4.0, 2.0, 5.0, R
3.0, 1.0, 1.0, 4.0, R
3.0, 3.0, 5.0, 2.0, R
4.0, 1.0, 2.0, 4.0, R
1.0, 4.0, 5.0, 5.0, R
4.0, 1.0, 5.0, 1.0, R
1.0, 5.0, 5.0, 3.0, R
3.0, 2.0, 2.0, 1.0, L
4.0, 1.0, 1.0, 1.0, L
5.0, 4.0, 2.0, 4.0, L
5.0, 4.0, 1.0, 3.0, L
3.0, 4.0, 2.0, 1.0, L
1.0, 5.0, 1.0, 1.0, L
4.0, 3.0, 1.0, 5.0, L
2.0, 5.0, 1.0, 3.0, L
4.0, 5.0, 4.0, 1.0, L
2.0, 2.0, 1.0, 3.0, L
2.0, 4.0, 3.0, 2.0, L
3.0, 5.0, 3.0, 2.0, L
3.0, 5.0, 1.0, 2.0, L
5.0, 2.0, 2.0, 3.0, L
3.0, 5.0, 3.0, 3.0, L
5.0, 2.0, 2.0, 2.0, L
4.0, 3.0, 3.0, 3.0, L
1.0, 2.0, 1.0, 1.0, L
3.0, 3.0, 3.0, 2.0, L
5.0, 4.0, 4.0, 4.0, L
3.0, 5.0, 2.0, 5.0, L
4.0, 4.0, 3.0, 1.0, L
4.0, 3.0, 2.0, 1.0, L
5.0, 2.0, 1.0, 4.0, L
4.0, 4.0, 5.0, 3.0, L
3.0, 5.0, 4.0, 1.0, L
5.0, 3.0, 4.0, 3.0, L
2.0, 3.0, 5.0, 1.0, L
2.0, 5.0, 5.0, 1.0, L
5.0, 4.0, 5.0, 4.0, B
1.0, 3.0, 1.0, 3.0, B
5.0, 1.0, 1.0, 5.0, B
2.0, 3.0, 3.0, 2.0, B
4.0, 5.0, 4.0, 5.0, B
1.0, 4.0, 3.0, 4.0, R
4.0, 1.0, 4.0, 4.0, R
1.0, 2.0, 3.0, 4.0, R
3.0, 2.0, 5.0, 3.0, R
1.0, 3.0, 5.0, 3.0, R
1.0, 5.0, 3.0, 3.0, R
4.0, 1.0, 3.0, 3.0, R
2.0, 3.0, 3.0, 4.0, R
1.0, 2.0, 2.0, 3.0, R
5.0, 2.0, 5.0, 4.0, R
1.0, 1.0, 4.0, 3.0, R
4.0, 3.0, 3.0, 5.0, R
3.0, 4.0, 4.0, 4.0, R
2.0, 2.0, 2.0, 3.0, R
2.0, 1.0, 5.0, 4.0, R
2.0, 1.0, 2.0, 2.0, R
4.0, 5.0, 5.0, 5.0, R
1.0, 1.0, 2.0, 3.0, R
1.0, 2.0, 3.0, 5.0, R
1.0, 4.0, 1.0, 5.0, R
1.0, 2.0, 2.0, 5.0, R
1.0, 4.0, 5.0, 3.0, R
2.0, 5.0, 5.0, 3.0, R
3.0, 1.0, 2.0, 5.0, R
4.0, 2.0, 5.0, 2.0, R
4.0, 1.0, 3.0, 5.0, R
2.0, 1.0, 5.0, 5.0, R
1.0, 1.0, 5.0, 5.0, R
1.0, 5.0, 4.0, 2.0, R
3.0, 3.0, 3.0, 1.0, L
4.0, 1.0, 3.0, 1.0, L
4.0, 3.0, 1.0, 4.0, L
2.0, 4.0, 1.0, 3.0, L
4.0, 4.0, 1.0, 1.0, L
1.0, 5.0, 2.0, 2.0, L
4.0, 4.0, 2.0, 5.0, L
2.0, 5.0, 2.0, 4.0, L
5.0, 4.0, 4.0, 1.0, L
3.0, 2.0, 1.0, 2.0, L
2.0, 4.0, 4.0, 1.0, L
4.0, 5.0, 2.0, 2.0, L
1.0, 3.0, 1.0, 1.0, L
5.0, 3.0, 1.0, 3.0, L
4.0, 5.0, 1.0, 2.0, L
5.0, 2.0, 3.0, 1.0, L
4.0, 4.0, 4.0, 3.0, L
2.0, 1.0, 1.0, 1.0, L
3.0, 4.0, 2.0, 2.0, L
5.0, 5.0, 1.0, 4.0, L
3.0, 5.0, 4.0, 3.0, L
5.0, 2.0, 3.0, 2.0, L
3.0, 2.0, 1.0, 5.0, L
2.0, 5.0, 3.0, 3.0, L
4.0, 5.0, 2.0, 1.0, L
3.0, 5.0, 5.0, 2.0, L
5.0, 4.0, 4.0, 2.0, L
4.0, 4.0, 4.0, 1.0, L
2.0, 2.0, 4.0, 1.0, B
1.0, 5.0, 1.0, 5.0, B
5.0, 3.0, 3.0, 5.0, B
1.0, 4.0, 4.0, 1.0, B
5.0, 4.0, 4.0, 5.0, B
1.0, 4.0, 4.0, 3.0, R
1.0, 1.0, 4.0, 4.0, R
2.0, 2.0, 2.0, 4.0, R
1.0, 1.0, 5.0, 3.0, R
1.0, 3.0, 5.0, 5.0, R
2.0, 4.0, 3.0, 5.0, R
4.0, 1.0, 4.0, 2.0, R
2.0, 3.0, 4.0, 3.0, R
1.0, 2.0, 3.0, 2.0, R
3.0, 2.0, 5.0, 5.0, R
1.0, 1.0, 5.0, 2.0, R
5.0, 1.0, 2.0, 5.0, R
3.0, 4.0, 5.0, 5.0, R
2.0, 2.0, 3.0, 2.0, R
2.0, 2.0, 4.0, 4.0, R
2.0, 1.0, 3.0, 1.0, R
5.0, 3.0, 5.0, 4.0, R
1.0, 1.0, 2.0, 5.0, R
1.0, 2.0, 4.0, 4.0, R
1.0, 4.0, 2.0, 4.0, R
1.0, 2.0, 5.0, 2.0, R
1.0, 5.0, 5.0, 2.0, R
2.0, 5.0, 5.0, 5.0, R
4.0, 1.0, 1.0, 5.0, R
2.0, 2.0, 5.0, 1.0, R
3.0, 1.0, 5.0, 5.0, R
5.0, 2.0, 5.0, 5.0, R
2.0, 4.0, 5.0, 3.0, R
3.0, 3.0, 5.0, 1.0, L
4.0, 2.0, 2.0, 1.0, L
4.0, 3.0, 2.0, 3.0, L
3.0, 4.0, 1.0, 2.0, L
4.0, 4.0, 2.0, 2.0, L
1.0, 5.0, 3.0, 1.0, L
4.0, 5.0, 1.0, 5.0, L
3.0, 5.0, 1.0, 4.0, L
5.0, 4.0, 5.0, 2.0, L
3.0, 2.0, 1.0, 4.0, L
3.0, 4.0, 3.0, 1.0, L
4.0, 5.0, 3.0, 1.0, L
2.0, 3.0, 1.0, 2.0, L
5.0, 3.0, 2.0, 2.0, L
4.0, 5.0, 1.0, 4.0, L
5.0, 3.0, 1.0, 2.0, L
4.0, 5.0, 2.0, 4.0, L
2.0, 2.0, 1.0, 2.0, L
3.0, 3.0, 1.0, 2.0, L
5.0, 5.0, 2.0, 5.0, L
4.0, 5.0, 4.0, 2.0, L
5.0, 2.0, 4.0, 1.0, L
3.0, 3.0, 1.0, 4.0, L
5.0, 1.0, 1.0, 4.0, L
5.0, 3.0, 3.0, 3.0, L
4.0, 3.0, 4.0, 2.0, L
5.0, 4.0, 5.0, 3.0, L
4.0, 4.0, 5.0, 2.0, L
4.0, 1.0, 2.0, 2.0, B
2.0, 2.0, 2.0, 2.0, B
4.0, 4.0, 4.0, 4.0, B
2.0, 4.0, 4.0, 2.0, B
1.0, 4.0, 4.0, 5.0, R
2.0, 1.0, 3.0, 4.0, R
2.0, 2.0, 3.0, 3.0, R
1.0, 2.0, 4.0, 3.0, R
1.0, 4.0, 5.0, 4.0, R
2.0, 5.0, 4.0, 5.0, R
4.0, 1.0, 5.0, 3.0, R
2.0, 4.0, 4.0, 4.0, R
1.0, 3.0, 2.0, 2.0, R
4.0, 1.0, 5.0, 5.0, R
1.0, 2.0, 3.0, 1.0, R
5.0, 1.0, 3.0, 4.0, R
3.0, 5.0, 4.0, 5.0, R
3.0, 1.0, 2.0, 3.0, R
3.0, 1.0, 4.0, 2.0, R
3.0, 1.0, 4.0, 1.0, R
5.0, 4.0, 5.0, 5.0, R
1.0, 1.0, 3.0, 4.0, R
1.0, 2.0, 5.0, 5.0, R
2.0, 3.0, 2.0, 4.0, R
1.0, 3.0, 4.0, 2.0, R
2.0, 4.0, 5.0, 2.0, R
1.0, 5.0, 2.0, 3.0, R
2.0, 3.0, 2.0, 5.0, R
2.0, 3.0, 5.0, 2.0, R
3.0, 3.0, 4.0, 4.0, R
5.0, 3.0, 4.0, 5.0, R
4.0, 1.0, 4.0, 5.0, R
