@relation  phoneme
@attribute Aa real[-1.7,4.107]
@attribute Ao real[-1.327,4.378]
@attribute Dcl real[-1.823,3.199]
@attribute Iy real[-1.581,2.826]
@attribute Sh real[-1.284,2.719]
@attribute Class{0,1}
@inputs Aa,Ao,Dcl,Iy,Sh
@outputs Class
@data
0.306, 1.004, 2.947, -0.928, 0.0, 0
0.494, 2.442, -0.442, 0.233, -0.134, 0
-0.099, 1.137, 2.58, -0.724, 0.0, 0
1.404, 2.192, -0.376, 0.249, 0.188, 0
2.237, 1.288, 0.45, 0.442, -0.23, 0
0.239, 0.618, 2.516, 0.937, 0.418, 0
0.412, 1.746, -0.37, -0.183, -0.103, 0
2.364, 0.747, 0.321, -0.078, 0.068, 0
0.331, 1.65, 2.153, -0.58, -0.278, 0
0.295, 1.164, 2.828, -0.662, 0.0, 0
0.324, 1.276, 0.55, 0.378, 0.385, 0
0.634, 3.05, -0.59, 0.876, -0.329, 0
1.838, 0.583, -0.084, 0.091, 0.062, 0
1.21, 1.811, 0.896, 0.463, 0.301, 0
0.289, 1.29, 2.774, -0.784, -0.337, 0
0.269, 1.13, 2.209, -0.786, -0.323, 0
0.229, 0.998, 2.236, -0.651, -0.296, 0
0.124, 0.346, 0.598, 2.196, -0.645, 0
0.141, 0.345, 0.36, 0.969, 1.855, 0
0.144, 0.713, 1.753, 1.197, 0.0, 0
0.279, 0.99, 2.555, -0.738, 0.0, 0
0.561, 3.053, -0.613, 0.388, -0.175, 0
-0.125, 1.458, 1.659, 0.643, 0.0, 0
0.508, 2.003, 0.67, 0.273, 0.237, 0
3.172, 0.774, -0.207, -0.092, -0.056, 0
0.774, 0.964, -0.256, -0.123, 0.0, 0
1.039, 2.521, -0.385, -0.156, -0.107, 0
0.297, 1.222, 1.612, -0.49, -0.261, 0
1.062, 2.243, -0.394, -0.199, -0.175, 0
0.593, 2.432, -0.471, 0.25, 0.214, 0
1.396, 2.01, -0.286, -0.156, -0.133, 0
0.553, 2.923, -0.427, -0.215, 0.19, 0
0.449, 1.903, -0.309, 0.223, -0.09, 0
0.643, 2.529, 0.955, 0.423, 0.218, 0
2.833, 0.582, -0.131, 0.178, 0.105, 0
0.624, 2.416, 0.755, 0.399, -0.297, 0
0.135, 0.484, 0.626, 2.007, 0.0, 0
0.807, 2.062, -0.51, -0.187, -0.112, 0
1.274, 1.307, -0.225, -0.079, -0.059, 0
0.649, 1.762, 1.497, -0.448, -0.482, 0
0.482, 1.236, 2.547, -0.705, -0.287, 0
0.158, 0.475, 0.468, 0.778, 0.0, 0
0.815, 0.845, 0.194, 0.082, 0.084, 0
0.123, 0.726, 0.707, 1.575, 0.0, 0
0.192, 1.598, 0.768, 0.319, 0.17, 0
0.929, 2.558, -0.44, -0.369, 0.716, 0
0.392, 1.443, 1.052, 0.423, 0.0, 0
-0.044, 0.533, 1.324, 1.615, 0.0, 0
3.509, 0.553, 0.27, 0.607, -0.161, 0
0.856, 1.875, 1.186, 0.366, 0.0, 0
-0.132, -0.333, -0.785, -0.982, -0.628, 0
2.141, 0.78, -0.144, 0.084, 0.088, 0
1.198, 2.3, -0.462, -0.17, -0.106, 0
0.186, 1.411, 1.129, 0.649, 0.0, 0
1.414, 0.591, 0.157, 0.141, -0.205, 0
0.584, 3.106, -0.421, 0.302, 0.848, 0
0.049, 0.309, 0.337, -0.447, -0.559, 0
0.805, 2.64, 0.795, -0.223, 0.13, 0
1.404, 1.531, 0.476, 1.601, -0.424, 0
3.237, 0.521, 1.084, -0.263, -0.096, 0
1.239, 1.892, 0.585, 0.715, 0.742, 0
2.571, -0.235, 0.2, 0.137, -0.132, 0
0.562, 1.013, 2.075, -0.383, 0.528, 0
0.201, 1.369, 1.387, 0.507, -0.177, 0
0.095, 0.496, 0.329, 0.523, 1.063, 0
0.421, 1.055, 2.305, -0.547, 0.344, 0
0.304, 3.327, -0.623, -0.266, -0.164, 0
0.832, 3.085, -0.599, 0.497, 0.314, 0
1.902, 0.911, 0.354, 0.189, -0.293, 0
0.231, 1.302, 1.354, -0.474, -0.239, 0
0.236, 1.741, 0.822, 0.382, -0.175, 0
0.228, 0.845, 1.897, -0.56, -0.294, 0
2.347, 0.928, 0.413, -0.108, -0.065, 0
2.866, 0.545, 0.379, 0.959, -0.256, 0
0.292, 1.029, 2.387, -0.663, -0.352, 0
0.421, 2.318, 1.101, 0.546, -0.252, 0
0.455, 2.401, -0.457, -0.242, -0.123, 0
0.757, 2.007, -0.42, 0.268, -0.212, 0
2.084, 1.911, 0.883, -0.24, 0.154, 0
0.648, 2.694, -0.482, -0.24, -0.14, 0
0.426, 0.358, 0.775, 1.07, 1.176, 0
2.043, 1.455, 0.504, 0.394, -0.131, 0
0.413, 1.597, 2.578, -0.55, -0.304, 0
0.096, 0.526, -1.117, 1.757, 0.0, 0
0.538, 1.064, 1.516, -0.309, 0.187, 0
0.338, 1.087, 2.791, -0.824, -0.381, 0
1.766, 1.457, 0.509, 0.27, 0.797, 0
0.374, 1.254, 1.206, 0.576, -0.215, 0
0.811, 2.098, 0.834, 1.39, -0.433, 0
3.698, 0.437, -0.109, -0.082, -0.042, 0
2.321, 0.483, 0.174, 0.106, 0.105, 0
0.204, 1.772, 0.672, 0.336, 0.0, 0
0.705, 1.796, 1.078, -0.286, 0.215, 0
0.261, 0.593, 1.21, 1.203, 0.0, 0
0.254, 2.392, 0.689, 1.828, -0.544, 0
2.328, 0.651, -0.112, 0.131, -0.051, 0
0.316, 1.008, 1.844, -0.54, -0.305, 0
2.097, 0.466, -0.092, 0.103, -0.047, 0
0.383, 1.272, 1.29, 0.585, -0.227, 0
2.426, 0.954, -0.135, 0.116, 0.083, 0
0.393, 1.922, 1.826, -0.546, -0.281, 0
0.338, 0.437, 1.708, 1.274, 0.984, 0
0.947, 2.776, 0.745, 0.853, -0.224, 0
1.126, 2.533, -0.339, 0.183, -0.11, 0
2.406, 1.305, 0.66, 0.813, -0.241, 0
0.218, 1.463, 1.531, -0.523, 0.0, 0
0.366, 1.727, 0.828, 0.386, -0.202, 0
0.455, 2.047, 0.878, 0.322, 0.0, 0
1.004, 2.192, 1.276, 0.833, -0.228, 0
0.487, 1.592, 1.754, 0.688, -0.41, 0
0.402, 0.617, 1.656, 1.123, -0.363, 0
0.189, 1.169, 1.42, -0.406, 0.0, 0
1.158, 2.622, -0.362, -0.159, 0.23, 0
1.553, 1.483, 0.646, -0.188, -0.119, 0
1.586, 2.256, -0.352, 0.196, -0.224, 0
0.141, 0.281, 0.457, 1.052, 1.666, 0
2.993, 0.385, 1.248, -0.301, -0.118, 0
0.327, 1.618, -0.42, 0.321, -0.126, 0
0.159, 0.701, 1.044, 2.069, -0.623, 0
0.369, 1.788, 1.134, -0.448, 0.0, 0
1.517, 1.41, -0.229, 0.134, -0.08, 0
1.01, 0.987, -0.24, -0.096, 0.0, 0
0.35, 2.637, -0.533, -0.26, -0.136, 0
0.108, 0.355, 0.418, 0.592, 2.053, 0
-0.26, -0.825, -1.641, -1.494, 0.0, 0
1.094, 2.35, -0.346, 0.183, -0.108, 0
0.074, 0.333, 0.421, -0.872, 2.377, 0
1.663, 1.214, -0.168, 0.11, 0.086, 0
1.094, 2.253, -0.441, 0.33, 0.929, 0
0.252, 2.498, -0.53, 0.347, -0.137, 0
3.232, 0.906, 0.491, 0.38, -0.121, 0
0.197, 0.858, 1.924, 1.41, -0.48, 0
0.349, 1.736, 1.384, -0.502, 0.304, 0
0.807, 0.826, 1.0, -0.274, 0.0, 0
0.268, 2.019, 1.212, 0.629, 0.0, 0
0.476, 2.52, 0.978, -0.317, -0.173, 0
0.191, 0.519, 0.724, 2.156, -0.758, 0
0.677, 1.848, -0.429, 0.329, -0.357, 0
1.943, 1.012, 0.188, 0.151, 0.136, 0
0.773, 2.152, -0.639, -0.244, 0.185, 0
1.301, 2.515, 1.07, 0.553, -0.166, 0
0.173, 0.962, 0.788, 1.051, -0.38, 0
2.859, -0.254, -0.116, 0.081, 0.068, 0
0.244, 0.692, 0.951, 1.574, 0.0, 0
1.294, 1.194, -0.215, 0.114, 0.095, 0
3.222, 0.51, -0.151, 0.16, -0.06, 0
1.472, 1.773, -0.347, -0.123, -0.077, 0
0.887, 1.627, -0.274, 0.172, -0.14, 0
0.148, 1.153, 1.199, -0.34, -0.169, 0
2.537, 1.261, 0.997, 0.523, -0.154, 0
0.301, 2.389, 0.648, -0.245, 0.238, 0
0.62, 2.292, -0.532, -0.212, -0.111, 0
2.013, 2.143, -0.487, 0.522, 0.291, 0
0.353, 2.807, -0.541, 0.303, -0.14, 0
2.878, 0.341, 0.274, 0.148, -0.076, 0
0.357, 1.56, 2.372, -0.658, 0.0, 0
2.505, 0.469, 0.249, 0.092, 0.089, 0
0.274, 1.114, 1.446, 0.558, -0.384, 0
0.417, 1.5, -0.407, -0.153, -0.103, 0
3.677, 0.393, -0.159, -0.093, -0.059, 0
0.593, 2.197, 1.393, -0.351, -0.151, 0
0.197, 1.416, 2.061, -0.848, -0.299, 0
0.762, 1.413, 0.5, 0.195, -0.081, 0
2.24, -0.237, 0.416, 1.551, -0.454, 0
2.17, -0.458, 0.274, 0.264, -0.124, 0
1.185, 2.24, -0.477, -0.171, 0.0, 0
2.585, 0.471, -0.133, -0.075, 0.119, 0
0.225, 2.497, -0.567, 0.278, 0.175, 0
1.509, 1.113, -0.166, -0.076, 0.069, 0
0.333, 2.786, -0.486, -0.188, 0.191, 0
1.515, 2.574, -0.476, 0.396, 0.374, 0
0.228, 1.044, 2.337, -0.663, 0.0, 0
0.1, 0.28, 0.501, -0.186, 0.529, 0
2.019, 0.887, 0.359, 0.312, 1.019, 0
0.58, 1.755, 1.087, 0.334, 0.0, 0
2.431, 0.278, 0.102, 0.083, 0.086, 0
1.678, 1.266, 0.522, 0.394, -0.206, 0
0.682, 2.257, -0.443, -0.238, -0.246, 0
0.371, 1.222, 1.661, 0.645, 0.0, 0
3.432, -0.312, 0.137, -0.075, -0.053, 0
1.065, 1.975, -0.349, 0.217, 0.126, 0
0.157, 0.841, 0.912, 2.023, -0.689, 0
2.348, 0.282, 0.143, 0.164, -0.065, 0
0.648, 3.489, -0.54, 0.344, 0.273, 0
1.626, 2.0, -0.385, 0.288, 0.81, 0
1.214, 1.716, -0.243, -0.108, 0.1, 0
0.627, 3.389, -0.475, -0.251, 0.372, 0
0.811, 2.87, -0.51, -0.232, 0.388, 0
0.52, 3.048, 0.992, 0.453, 0.0, 0
-0.117, -0.583, 1.747, -1.156, 0.0, 0
2.057, 0.308, -0.077, 0.071, -0.098, 0
0.241, 0.511, 0.665, 2.272, -0.859, 0
0.229, 1.112, 1.99, 1.062, 0.0, 0
0.123, 0.808, 1.178, -0.971, -0.361, 0
0.122, 0.434, 1.069, 2.338, 0.0, 0
1.071, 0.938, 0.769, 0.346, 0.22, 0
0.435, 1.86, 0.716, -0.217, 0.127, 0
0.59, 1.933, -0.43, 0.487, 0.774, 0
0.432, 2.114, -0.426, 0.224, 0.14, 0
0.352, 1.147, 1.63, 0.647, -0.518, 0
0.185, 0.447, 1.278, 1.595, -0.632, 0
0.516, 1.509, 2.2, 0.783, -0.478, 0
0.111, 0.299, 0.404, 0.694, 0.0, 0
3.619, -0.356, -0.146, 0.091, -0.065, 0
0.626, 2.637, -0.419, 0.264, -0.277, 0
-0.163, -0.321, -0.732, 1.244, -0.684, 0
0.657, 0.49, 0.812, 2.008, -0.561, 0
0.734, 2.346, 1.115, -0.346, -0.17, 0
0.079, 0.355, 0.635, 0.519, -0.39, 0
0.464, 1.792, 2.176, -0.517, -0.327, 0
0.25, 1.016, 3.155, -0.745, -0.363, 0
3.505, 1.089, 0.334, 0.296, 0.126, 0
0.179, 1.111, 1.985, -0.639, -0.268, 0
1.945, 1.221, 1.189, 1.071, -0.285, 0
0.325, 0.806, 2.461, 1.262, -0.458, 0
0.249, 1.066, 2.355, -0.791, 0.0, 0
0.472, 3.394, -0.518, 0.625, -0.199, 0
3.731, 0.623, -0.17, -0.083, -0.057, 0
0.558, 3.17, -0.711, -0.281, 0.197, 0
1.585, 0.407, 0.231, -0.081, -0.049, 0
0.235, 0.527, 0.381, 0.925, 0.949, 0
0.412, 1.999, -0.332, -0.174, -0.087, 0
0.6, 2.234, 1.442, -0.237, -0.152, 0
1.207, 1.576, -0.268, 0.337, 1.366, 0
1.801, 0.853, 1.353, 0.85, 0.525, 0
0.555, 1.681, -0.546, -0.238, -0.174, 0
-0.089, 1.333, -0.289, 0.746, -0.266, 0
0.302, 3.331, -0.664, 0.32, -0.172, 0
0.185, 0.484, 0.789, 1.838, 0.0, 0
2.745, -0.224, 0.171, 0.097, 0.073, 0
3.085, -0.229, -0.104, 0.071, 0.065, 0
2.619, 0.853, -0.161, 0.091, -0.048, 0
0.808, 1.869, 2.019, -0.532, 0.0, 0
0.363, 0.774, 2.429, 1.578, -0.523, 0
0.573, 2.555, 1.523, 0.452, -0.19, 0
0.1, 0.405, 0.58, 0.849, 0.939, 0
1.914, 2.572, -0.413, 0.373, -0.166, 0
2.99, 0.309, -0.154, -0.171, -0.13, 0
0.273, 1.306, 2.321, -0.523, 0.519, 0
1.495, 2.295, 0.593, 0.225, 0.134, 0
3.139, 0.704, 0.245, 0.915, -0.227, 0
0.35, 1.191, 0.628, -0.277, -0.122, 0
0.314, 0.497, 1.792, 0.866, 1.159, 0
0.139, 0.838, 2.266, -0.714, -0.61, 0
0.305, 1.943, 1.757, 0.721, -0.35, 0
0.158, 0.416, 0.499, 2.135, -0.893, 0
0.325, 0.779, 0.955, -1.354, 0.0, 0
2.885, -0.282, 1.362, 0.503, -0.216, 0
0.723, 0.723, 2.263, -0.667, 0.401, 0
0.299, 1.968, 1.041, 0.862, -0.426, 0
0.324, 0.411, 1.494, 1.456, -0.777, 0
0.247, 0.645, 0.797, 1.719, 0.977, 0
0.76, 2.556, -0.667, -0.221, 0.15, 0
0.935, 2.671, -0.605, -0.191, 0.793, 0
0.429, 1.794, -0.342, -0.179, -0.119, 0
1.063, 1.705, -0.291, -0.277, 1.781, 0
0.134, 0.494, -0.522, -0.643, 0.786, 0
0.193, 0.363, 0.561, -0.964, 1.578, 0
0.215, 0.771, 0.837, 1.89, 0.0, 1
1.057, 1.935, 1.325, -0.473, -0.183, 1
0.197, 0.705, 1.65, 1.02, -0.52, 1
0.557, 0.596, 1.601, 1.204, 0.683, 1
0.768, 1.512, 0.929, 0.469, 0.63, 1
0.219, 0.912, 0.941, -0.551, 0.883, 1
1.2, 1.449, 1.806, -0.52, -0.191, 1
0.334, 2.68, -0.536, 1.172, -0.369, 1
0.305, 0.599, 0.826, 1.921, -0.636, 1
0.334, 0.871, 0.905, 0.884, 0.785, 1
-0.115, 0.482, -0.579, -0.875, 0.0, 1
0.418, 0.603, 2.147, 1.006, -0.831, 1
0.542, 1.011, 1.81, 0.796, 1.37, 1
0.114, 0.465, 0.749, 0.635, 0.0, 1
0.23, 0.724, 2.633, 1.233, 0.64, 1
0.528, 1.671, 1.743, 1.062, -0.239, 1
0.114, 0.591, 0.939, 0.909, 0.0, 1
0.296, 0.73, 2.632, -0.761, 0.493, 1
0.423, 1.251, 1.84, -0.554, -0.524, 1
0.544, 2.493, 1.148, 1.169, -0.355, 1
0.961, 1.678, 1.486, 0.932, 0.726, 1
0.181, 0.479, 1.833, -0.925, -0.387, 1
0.564, 2.68, 0.947, 0.763, 0.723, 1
0.207, 0.309, 0.63, 1.796, 1.316, 1
0.099, 0.534, 0.854, -0.444, 0.0, 1
0.242, 0.679, 2.17, -0.68, 0.545, 1
0.119, 0.614, 0.866, 2.237, -0.765, 1
0.278, 0.72, 0.442, 1.172, -0.538, 1
0.643, 1.066, 2.15, 1.371, -0.557, 1
0.22, 0.535, 0.665, 1.348, 0.0, 1
0.198, 0.677, 1.169, 1.591, -0.513, 1
0.143, 0.184, 0.869, -0.496, -0.817, 1
0.929, 0.343, 1.27, 1.584, 1.263, 1
0.496, 0.764, 2.141, -0.605, 0.721, 1
0.537, 1.104, 1.705, 1.35, 0.0, 1
1.109, 2.194, 1.666, -0.357, -0.145, 1
0.271, 0.544, 0.439, 1.434, 0.851, 1
0.109, 0.451, 0.87, 0.832, 0.0, 1
0.252, 0.623, 1.68, -0.671, 2.141, 1
0.788, 2.615, 1.061, 0.653, 0.542, 1
1.02, 0.605, 1.869, 1.409, 0.755, 1
-0.087, -0.335, -0.82, -1.28, -0.787, 1
0.139, 0.422, 0.463, 1.517, 0.961, 1
0.321, 3.02, 1.304, 0.677, -0.201, 1
0.162, 0.632, 0.746, 1.327, -0.638, 1
0.685, 3.172, -0.565, 0.623, 0.39, 1
0.147, 0.971, 0.89, 1.085, 0.0, 1
0.403, 0.357, 1.871, 1.133, -0.724, 1
0.248, 0.947, 2.06, -0.911, 1.519, 1
0.465, 1.193, 1.433, 1.55, -0.688, 1
0.852, 1.655, 2.298, -0.528, -0.219, 1
0.287, 0.532, 0.697, 1.884, 0.0, 1
0.11, 0.626, 0.914, 2.22, 0.0, 1
1.021, 0.494, 1.73, 0.887, -0.244, 1
0.326, 0.458, 1.856, 1.602, 1.481, 1
0.445, 0.965, 2.056, 0.958, 1.31, 1
0.911, 1.413, 1.862, 1.071, -0.4, 1
0.379, 0.714, 0.898, 1.607, 1.214, 1
0.448, 0.675, 1.287, 1.033, 2.068, 1
0.602, 1.077, 1.397, -0.581, 1.484, 1
0.177, 0.256, -0.164, 0.891, 1.044, 1
1.205, 0.721, 2.708, -0.604, -0.236, 1
0.216, 0.732, 0.77, 1.698, 0.843, 1
0.238, 0.809, 2.106, -0.604, -0.711, 1
0.618, 1.385, 1.77, 1.338, -0.361, 1
-0.081, -0.263, -0.581, -0.581, 1.145, 1
0.116, 0.478, 0.762, 0.0, 0.0, 1
0.908, 0.772, 1.949, 1.827, -0.504, 1
0.624, 1.283, 1.273, 0.79, 1.38, 1
0.293, 1.319, 1.76, 1.0, 1.248, 1
0.215, 0.523, 0.517, 1.435, -0.934, 1
0.813, 0.951, 2.084, 1.058, 1.043, 1
1.136, 2.373, 1.464, -0.3, -0.168, 1
0.21, 0.822, 2.42, 1.258, 1.277, 1
0.205, 0.671, 1.484, 1.258, 1.718, 1
0.214, 1.201, 0.711, 1.41, 0.764, 1
0.691, 0.817, 2.021, -0.679, -0.683, 1
0.314, 1.186, 1.595, 1.327, -0.623, 1
0.242, 0.797, 1.295, 1.68, 0.0, 1
0.128, 0.788, 0.52, 1.231, 0.0, 1
0.474, 1.093, 1.336, 0.697, -0.376, 1
0.145, 1.035, 0.63, 1.289, 0.0, 1
0.538, 1.104, 1.581, -0.509, -0.268, 1
0.207, 0.87, 0.664, 2.123, -0.786, 1
0.574, 0.97, 1.125, 1.16, 1.802, 1
0.13, 0.623, 0.993, 2.13, -0.793, 1
0.431, 2.627, 1.902, -0.469, -0.194, 1
0.299, 0.658, 1.639, 0.851, 0.706, 1
0.563, 1.167, 1.752, -0.494, -0.229, 1
0.636, 1.279, -0.573, -0.331, -0.269, 1
0.618, 0.884, 1.435, 1.215, -0.349, 1
0.186, 0.487, 0.289, 0.693, 0.0, 1
0.646, 0.378, 1.547, 0.796, 0.72, 1
0.317, 1.119, 2.004, -0.864, 0.0, 1
0.236, 0.772, 2.184, -0.608, 0.365, 1
0.16, 0.991, 0.508, 1.083, 1.006, 1
0.148, 0.583, 0.452, 0.711, 0.0, 1
0.2, 1.042, 0.604, 1.051, 0.0, 1
-0.217, 0.793, -0.519, 1.583, -0.768, 1
0.125, 0.568, 0.883, 0.887, 0.0, 1
0.596, 0.496, 1.501, 0.652, 0.705, 1
0.397, 1.067, 1.781, 1.328, 1.095, 1
0.834, 2.202, 1.692, 0.436, -0.182, 1
0.59, 0.973, 1.521, 1.282, 1.441, 1
0.099, 0.378, 0.766, 0.692, 0.502, 1
1.201, 1.655, 1.1, 0.458, -0.223, 1
0.568, 2.557, 0.811, 1.003, -0.411, 1
0.247, 0.563, 0.768, 1.569, -0.961, 1
0.166, 0.724, 1.742, 1.007, 0.0, 1
0.962, 1.664, 1.233, -0.71, 1.043, 1
0.106, 0.635, 0.252, 0.453, 0.944, 1
0.195, 0.454, 0.768, 0.713, 0.72, 1
0.212, 0.746, 0.905, -0.393, 1.21, 1
0.567, 0.671, 1.702, 1.233, 1.604, 1
0.579, 2.811, 0.758, 0.495, 0.699, 1
0.127, 0.422, 0.942, 1.954, -0.795, 1
0.181, 0.455, 0.553, 0.831, -0.398, 1
0.278, 0.809, -0.855, 1.768, -0.699, 1
0.324, 0.712, 0.741, 1.91, -0.908, 1
1.309, 0.768, 1.781, 1.657, -0.414, 1
0.834, 2.046, 0.955, 1.252, -0.456, 1
0.225, 0.363, 0.738, 1.63, -0.97, 1
0.465, 0.499, 2.231, 0.939, 0.589, 1
0.123, 0.402, 0.892, 0.635, 0.0, 1
