@relation  ionosphere
@attribute Pulse1 numeric
@attribute Pulse3 real[-1.0,1.0]
@attribute Pulse4 real[-1.0,1.0]
@attribute Pulse5 real[-1.0,1.0]
@attribute Pulse6 real[-1.0,1.0]
@attribute Pulse7 real[-1.0,1.0]
@attribute Pulse8 real[-1.0,1.0]
@attribute Pulse9 real[-1.0,1.0]
@attribute Pulse10 real[-1.0,1.0]
@attribute Pulse11 real[-1.0,1.0]
@attribute Pulse12 real[-1.0,1.0]
@attribute Pulse13 real[-1.0,1.0]
@attribute Pulse14 real[-1.0,1.0]
@attribute Pulse15 real[-1.0,1.0]
@attribute Pulse16 real[-1.0,1.0]
@attribute Pulse17 real[-1.0,1.0]
@attribute Pulse18 real[-1.0,1.0]
@attribute Pulse19 real[-1.0,1.0]
@attribute Pulse20 real[-1.0,1.0]
@attribute Pulse21 real[-1.0,1.0]
@attribute Pulse22 real[-1.0,1.0]
@attribute Pulse23 real[-1.0,1.0]
@attribute Pulse24 real[-1.0,1.0]
@attribute Pulse25 real[-1.0,1.0]
@attribute Pulse26 real[-1.0,1.0]
@attribute Pulse27 real[-1.0,1.0]
@attribute Pulse28 real[-1.0,1.0]
@attribute Pulse29 real[-1.0,1.0]
@attribute Pulse30 real[-1.0,1.0]
@attribute Pulse31 real[-1.0,1.0]
@attribute Pulse32 real[-1.0,1.0]
@attribute Pulse33 real[-1.0,1.0]
@attribute Pulse34 real[-1.0,1.0]
@attribute Class {g,b}


@data
1, 0.474, -0.105, 0.838, 0.018, 0.832, 0.026, 0.684, -0.053, 0.684, 0.0, 0.799, 0.05, 0.783, 0.058, 0.842, 0.474, 1.0, 0.053, 0.726, 0.076, 0.703, 0.081, 0.421, 0.211, 0.654, 0.09, 0.526, -0.211, 0.602, 0.095, 0.574, 0.097, g
1, 1.0, 0.098, 1.0, 0.251, 0.984, 0.33, 0.804, 0.53, 0.75, 0.603, 0.569, 0.719, 0.553, 0.741, 0.295, 0.822, 0.211, 0.798, 0.097, 0.822, -0.017, 0.799, -0.151, 0.756, -0.228, 0.692, -0.317, 0.609, -0.403, 0.545, -0.428, 0.445, g
1, 1.0, 0.114, 0.7, -0.121, 0.816, 0.097, 0.712, 0.011, 0.562, -0.078, 0.691, 0.125, 0.586, 0.04, 0.531, -0.034, 0.694, 0.169, 0.727, 0.072, 0.321, 0.059, 0.533, 0.374, 0.491, 0.18, 0.152, 0.324, 0.441, 0.189, 0.562, 0.152, g
1, 0.794, 0.295, 0.641, 0.523, 0.413, 0.682, 0.142, 0.835, -0.168, 0.788, -0.429, 0.723, -0.572, 0.415, -0.754, 0.168, -0.7, -0.099, -0.577, -0.235, -0.406, -0.383, -0.174, -0.525, 0.015, -0.487, 0.19, -0.381, 0.31, -0.232, 0.346, -0.08, g
1, 0.98, 0.0010, 1.0, 0.0, 0.99, -0.0010, 0.947, 0.024, 0.977, 0.021, 0.979, 0.031, 0.992, 0.023, 0.939, 0.057, 0.936, 0.053, 0.977, 0.055, 1.0, 0.062, 0.942, 0.081, 0.967, 0.073, 0.957, 0.081, 0.982, 0.081, 0.972, 0.086, g
1, 0.835, 0.083, 0.737, -0.147, 0.843, -0.056, 0.904, -0.046, 0.894, 0.131, 0.812, 0.067, 0.793, -0.089, 1.0, -0.021, 0.966, 0.066, 0.876, 0.012, 0.775, 0.066, 0.954, -0.042, 0.835, 0.0010, 1.0, 0.128, 0.867, -0.107, 0.905, -0.043, g
1, 0.756, 0.496, 0.836, 0.543, 0.549, 0.721, 0.352, 0.708, 0.135, 0.947, -0.098, 0.938, -0.376, 0.822, -0.527, 0.712, -0.684, 0.68, -0.702, 0.25, -0.791, 0.03, -0.99, -0.291, -0.704, -0.328, -0.633, -0.192, -0.341, -0.605, -0.196, -0.63, g
1, 1.0, -0.159, 0.723, 0.277, 0.834, -0.584, 1.0, -0.282, 1.0, -0.499, 0.8, -0.125, 0.768, 0.146, 1.0, 0.393, 1.0, 0.266, 0.964, -0.019, 0.926, -0.913, 1.0, 0.148, 1.0, -0.116, 1.0, -0.111, 1.0, 0.534, 1.0, -0.578, g
1, 0.195, 0.057, 0.042, 0.252, -0.106, 0.489, -0.183, -0.183, -0.42, 0.061, -0.454, 0.092, -0.164, -0.305, -0.103, -0.397, 0.187, -0.176, 0.34, -0.12, 0.286, -0.16, 0.216, 0.247, 0.039, 0.311, -0.038, 0.263, -0.168, 0.168, -0.302, -0.336, g
1, 0.02, 0.0070, 0.041, -0.0080, 0.021, 0.011, 0.011, 0.044, 0.0030, 0.0010, 0.02, -0.031, -0.02, 0.061, -0.041, 0.027, -0.024, -0.0040, 0.044, -0.025, 0.018, 0.0, 0.0, -0.013, 0.018, -0.011, 0.0060, -0.016, -0.017, -0.024, 0.0070, 0.0, b
1, 0.659, -0.629, 0.0, 0.0, 0.0, 0.0, 0.773, 1.0, 1.0, -0.28, 0.0, 0.0, 0.0, 0.0, 0.621, -0.227, 0.841, -1.0, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.939, -0.129, -0.932, 0.0, 0.0, 0.0, 0.0, b
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, b
1, 1.0, 0.578, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -0.628, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, b
0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, b
1, -0.205, 0.288, 0.23, 0.1, 0.282, 0.318, 0.322, 0.35, 0.363, -0.346, 0.092, 0.275, -0.095, 0.21, -0.088, 0.235, -0.342, 0.314, -0.48, -0.08, 0.299, 0.332, -0.58, -0.24, 0.322, -0.285, -0.47, 0.185, -0.271, -0.312, 0.404, 0.03, b
1, 0.0, 0.0, 1.0, 0.129, 0.884, -0.02, 0.0, 0.0, 1.0, -0.424, 1.0, 0.196, 1.0, -0.053, 1.0, -0.816, 0.0, 0.0, 1.0, -0.04, 1.0, -0.187, 0.0, 0.0, 1.0, -1.0, 0.0, 0.0, 1.0, 0.118, 0.907, -0.096, b
1, 0.848, 0.106, 1.0, 0.391, 1.0, -1.0, 0.669, 0.084, 1.0, 0.27, 1.0, 0.606, 1.0, 0.355, 1.0, 0.027, 0.584, -0.43, 1.0, 0.635, 0.891, 0.266, 0.91, -0.333, 1.0, 0.159, 0.377, -0.019, 1.0, 0.225, 1.0, 0.374, b
1, 0.945, -0.035, -1.0, -0.332, -1.0, -0.016, 0.973, 0.012, 0.934, -0.02, -1.0, 0.164, -1.0, -0.0040, 0.953, -0.035, 0.922, -0.027, -0.992, 0.117, -0.934, 0.348, 0.957, -0.0040, 0.82, 0.138, 0.902, -0.066, -1.0, -0.188, -1.0, -0.344, b
1, 1.0, -0.542, 1.0, -1.0, 1.0, -1.0, 1.0, 0.362, 1.0, -0.411, 1.0, 1.0, 1.0, -1.0, 1.0, -0.294, 1.0, -0.936, 1.0, 1.0, 1.0, 1.0, 1.0, -0.409, 1.0, -0.627, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, b
1, 0.0, 0.0, -1.0, -0.628, 1.0, 0.511, 0.08, -0.234, -1.0, -0.362, 0.128, -0.59, 1.0, -1.0, 0.0, 0.0, 0.83, -0.08, -0.25, 1.0, 0.17, -0.707, 0.0, 0.0, -0.191, -0.468, -0.223, -0.489, 0.745, 0.904, -0.676, 0.457, b
0, 0.0, 0.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -0.312, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 0.0, 0.0, 1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 1.0, -1.0, 0.0, 0.0, b
0, 0.0, 0.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, b
