@relation  monk-2
@attribute A1 integer[1,3]
@attribute A2 integer[1,3]
@attribute A3 integer[1,2]
@attribute A4 integer[1,3]
@attribute A5 integer[1,4]
@attribute A6 integer[1,2]
@attribute Class{0,1}
@inputs A1,A2,A3,A4,A5,A6
@outputs Class
@data
1, 1, 1, 1, 3, 1, 1
3, 2, 1, 1, 3, 2, 1
1, 1, 2, 3, 1, 2, 1
2, 1, 1, 2, 2, 2, 1
1, 1, 1, 3, 3, 2, 1
1, 2, 1, 2, 1, 2, 1
3, 2, 1, 3, 1, 2, 1
3, 2, 1, 1, 1, 2, 1
2, 1, 1, 3, 2, 2, 1
3, 2, 1, 3, 3, 1, 1
3, 2, 1, 2, 1, 2, 1
3, 1, 1, 1, 1, 1, 1
1, 1, 1, 3, 2, 2, 1
2, 3, 2, 3, 2, 1, 0
2, 1, 2, 1, 4, 1, 0
1, 3, 2, 3, 1, 2, 0
1, 3, 1, 2, 4, 2, 0
2, 2, 1, 2, 4, 2, 0
2, 3, 2, 1, 1, 2, 0
3, 2, 2, 1, 4, 2, 0
2, 2, 2, 3, 4, 2, 0
1, 3, 1, 2, 1, 2, 0
3, 2, 1, 1, 4, 1, 0
3, 2, 2, 1, 4, 1, 0
1, 3, 1, 1, 2, 1, 0
2, 3, 1, 2, 4, 2, 0
3, 2, 1, 3, 4, 1, 0
3, 3, 1, 1, 1, 2, 0
3, 3, 2, 3, 2, 2, 0
3, 3, 2, 3, 4, 2, 0
1, 3, 2, 3, 3, 1, 0
3, 3, 1, 2, 2, 1, 0
3, 3, 1, 2, 4, 2, 0
3, 2, 1, 1, 3, 1, 1
3, 2, 2, 1, 2, 2, 1
2, 1, 1, 1, 1, 2, 1
2, 2, 1, 3, 3, 1, 1
2, 3, 2, 1, 3, 1, 1
3, 1, 2, 3, 1, 1, 1
2, 3, 1, 1, 3, 1, 1
3, 2, 2, 3, 3, 2, 1
2, 1, 2, 2, 3, 1, 1
1, 2, 2, 2, 2, 2, 1
1, 1, 1, 2, 2, 2, 1
3, 2, 2, 2, 3, 2, 1
1, 2, 1, 2, 1, 1, 1
2, 1, 1, 3, 2, 1, 1
2, 2, 1, 2, 3, 1, 1
2, 2, 1, 3, 1, 2, 1
3, 2, 2, 3, 2, 1, 1
2, 2, 2, 1, 1, 1, 1
3, 2, 1, 3, 2, 2, 1
3, 2, 2, 2, 2, 2, 1
2, 2, 1, 2, 2, 2, 1
3, 1, 1, 1, 1, 2, 1
1, 1, 2, 3, 2, 1, 1
3, 3, 2, 2, 2, 1, 0
1, 1, 1, 1, 4, 2, 0
1, 3, 1, 3, 2, 1, 0
1, 3, 2, 1, 4, 1, 0
1, 2, 2, 2, 4, 1, 0
1, 3, 1, 1, 2, 2, 0
3, 2, 2, 3, 4, 2, 0
3, 1, 2, 3, 4, 2, 0
1, 3, 2, 2, 1, 2, 0
3, 1, 2, 1, 4, 2, 0
3, 3, 1, 1, 4, 2, 0
1, 3, 2, 3, 2, 2, 0
2, 3, 1, 3, 3, 1, 0
2, 1, 2, 2, 4, 1, 0
3, 3, 2, 2, 1, 2, 0
3, 3, 1, 2, 2, 2, 0
2, 3, 1, 3, 4, 1, 0
1, 1, 1, 3, 4, 1, 0
2, 3, 2, 3, 2, 2, 0
2, 2, 2, 1, 4, 1, 0
3, 1, 2, 1, 3, 2, 1
3, 1, 2, 1, 1, 2, 1
1, 1, 2, 1, 1, 1, 1
1, 2, 2, 3, 3, 2, 1
3, 2, 2, 1, 3, 1, 1
3, 2, 2, 2, 1, 1, 1
2, 3, 2, 1, 3, 2, 1
3, 1, 1, 3, 3, 1, 1
2, 1, 2, 1, 2, 1, 1
1, 2, 1, 1, 2, 1, 1
1, 1, 2, 2, 2, 1, 1
3, 2, 1, 2, 3, 2, 1
1, 2, 2, 2, 1, 2, 1
2, 2, 2, 2, 2, 2, 1
2, 1, 1, 3, 3, 1, 1
1, 2, 1, 3, 2, 2, 1
3, 1, 1, 3, 1, 1, 1
2, 2, 1, 1, 2, 2, 1
3, 1, 1, 3, 1, 2, 1
2, 2, 2, 3, 3, 1, 1
2, 1, 2, 3, 1, 2, 1
2, 2, 1, 3, 2, 2, 1
2, 1, 2, 3, 1, 1, 1
2, 3, 1, 2, 2, 2, 0
1, 1, 1, 2, 4, 1, 0
1, 3, 2, 2, 1, 1, 0
1, 2, 2, 1, 4, 2, 0
1, 2, 1, 3, 4, 1, 0
1, 3, 2, 1, 2, 1, 0
3, 3, 2, 2, 4, 2, 0
2, 1, 1, 3, 4, 1, 0
2, 3, 1, 1, 1, 1, 0
2, 1, 1, 1, 4, 2, 0
2, 3, 1, 1, 4, 1, 0
1, 3, 1, 2, 3, 1, 0
2, 3, 2, 3, 3, 2, 0
2, 2, 2, 3, 4, 1, 0
3, 3, 1, 1, 2, 1, 0
3, 3, 2, 3, 2, 1, 0
1, 3, 1, 3, 4, 2, 0
2, 2, 1, 3, 4, 1, 0
3, 3, 2, 2, 2, 2, 0
2, 3, 2, 2, 4, 1, 0
3, 1, 1, 1, 2, 1, 1
2, 1, 1, 1, 2, 2, 1
1, 1, 1, 1, 2, 2, 1
1, 2, 1, 3, 2, 1, 1
2, 2, 1, 1, 3, 2, 1
3, 1, 1, 2, 1, 2, 1
1, 1, 2, 1, 3, 1, 1
3, 1, 2, 3, 2, 2, 1
1, 1, 2, 2, 3, 2, 1
1, 2, 2, 1, 1, 2, 1
1, 2, 1, 2, 2, 1, 1
3, 2, 2, 2, 3, 1, 1
1, 1, 2, 2, 2, 2, 1
3, 1, 1, 2, 2, 1, 1
1, 1, 2, 3, 3, 2, 1
2, 2, 1, 3, 1, 1, 1
3, 1, 2, 3, 1, 2, 1
1, 2, 1, 1, 1, 1, 1
2, 2, 1, 3, 2, 1, 1
2, 2, 1, 2, 3, 2, 1
3, 2, 2, 1, 1, 2, 1
2, 2, 2, 3, 2, 1, 1
2, 1, 1, 3, 1, 1, 1
2, 3, 2, 2, 1, 1, 0
1, 1, 2, 2, 4, 2, 0
2, 3, 1, 3, 1, 2, 0
1, 3, 1, 2, 4, 1, 0
1, 2, 2, 3, 4, 2, 0
3, 3, 1, 1, 2, 2, 0
3, 2, 1, 2, 4, 1, 0
1, 1, 1, 3, 4, 2, 0
2, 3, 2, 3, 1, 2, 0
3, 1, 1, 2, 4, 2, 0
2, 3, 2, 1, 4, 2, 0
1, 3, 2, 2, 3, 2, 0
3, 3, 1, 2, 3, 1, 0
3, 3, 2, 3, 4, 1, 0
1, 3, 2, 1, 1, 1, 0
3, 3, 1, 3, 3, 2, 0
1, 3, 2, 3, 4, 1, 0
3, 3, 1, 3, 4, 1, 0
1, 3, 2, 3, 3, 2, 0
3, 3, 1, 3, 4, 2, 0
2, 1, 1, 1, 3, 2, 1
3, 1, 1, 2, 2, 2, 1
1, 1, 1, 2, 1, 1, 1
1, 1, 2, 3, 3, 1, 1
2, 2, 2, 1, 2, 1, 1
2, 1, 1, 2, 1, 1, 1
1, 2, 2, 2, 3, 1, 1
2, 1, 2, 3, 3, 1, 1
2, 2, 2, 2, 3, 2, 1
1, 2, 1, 2, 2, 2, 1
2, 1, 1, 2, 2, 1, 1
3, 2, 1, 1, 2, 2, 1
1, 2, 2, 1, 1, 1, 1
2, 1, 2, 3, 2, 2, 1
1, 2, 2, 2, 3, 2, 1
2, 2, 2, 3, 1, 2, 1
3, 2, 1, 2, 1, 1, 1
2, 1, 1, 1, 1, 1, 1
3, 2, 1, 2, 2, 1, 1
3, 2, 1, 3, 3, 2, 1
2, 2, 2, 3, 2, 2, 1
1, 2, 1, 1, 3, 2, 1
2, 3, 2, 2, 3, 1, 0
1, 2, 1, 1, 4, 1, 0
2, 3, 2, 3, 1, 1, 0
1, 3, 2, 2, 4, 2, 0
2, 2, 1, 2, 4, 1, 0
3, 3, 2, 1, 2, 1, 0
2, 2, 2, 2, 4, 1, 0
1, 1, 2, 3, 4, 1, 0
3, 3, 1, 2, 1, 1, 0
3, 2, 1, 1, 4, 2, 0
3, 3, 1, 2, 4, 1, 0
2, 3, 1, 3, 2, 2, 0
3, 3, 2, 2, 3, 2, 0
3, 2, 1, 3, 4, 2, 0
3, 3, 2, 3, 1, 1, 0
2, 3, 1, 3, 2, 1, 0
2, 2, 1, 3, 4, 2, 0
2, 3, 1, 2, 4, 1, 0
2, 2, 1, 1, 4, 1, 0
2, 3, 2, 3, 3, 1, 0
2, 1, 2, 1, 3, 1, 1
3, 1, 2, 2, 2, 1, 1
1, 1, 2, 2, 1, 2, 1
1, 2, 1, 2, 3, 2, 1
1, 2, 1, 1, 3, 1, 1
2, 1, 2, 2, 1, 2, 1
3, 3, 2, 1, 3, 1, 1
3, 1, 1, 2, 3, 2, 1
3, 2, 2, 1, 3, 2, 1
1, 2, 2, 2, 2, 1, 1
2, 2, 1, 1, 2, 1, 1
3, 2, 2, 1, 2, 1, 1
1, 2, 2, 3, 1, 1, 1
2, 2, 1, 2, 2, 1, 1
1, 1, 1, 3, 2, 1, 1
1, 2, 2, 3, 2, 2, 1
3, 2, 2, 2, 1, 2, 1
2, 1, 2, 1, 1, 2, 1
3, 2, 2, 3, 2, 2, 1
2, 1, 1, 3, 3, 2, 1
2, 1, 1, 3, 1, 2, 1
2, 1, 2, 1, 1, 1, 1
