@relation  led7digit
@attribute Led1 real[0.0,1.0]
@attribute Led2 real[0.0,1.0]
@attribute Led3 real[0.0,1.0]
@attribute Led4 real[0.0,1.0]
@attribute Led5 real[0.0,1.0]
@attribute Led6 real[0.0,1.0]
@attribute Led7 real[0.0,1.0]
@attribute number{0,1,2,3,4,5,6,7,8,9}
@inputs Led1,Led2,Led3,Led4,Led5,Led6,Led7
@outputs number
@data
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 5
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 5
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 5
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 5
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 5
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 5
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 5
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 5
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 5
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 5
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 5
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 5
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 5
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 8
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 8
0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 8
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 8
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 8
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 8
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 8
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 8
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 8
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 8
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 8
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 8
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 9
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 9
1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 9
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 9
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 9
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 9
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 9
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 9
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 9
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 9
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 9
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 9
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 9
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 9
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 9
1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0
1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0
0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1
0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1
1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2
1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 2
1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2
1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2
1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 3
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 3
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 4
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 4
0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 4
1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 5
0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 5
0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 5
1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 6
0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 6
1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 7
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 7
1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 7
1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 8
1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 8
0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 8
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 8
1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 8
0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 9
1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 9
1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 9
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 9
1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0
1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0
0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1
0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1
1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 2
1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 2
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2
1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2
1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 3
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 3
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 4
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 4
0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 4
1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 5
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 5
1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 5
1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 6
1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 6
1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 7
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 7
1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 8
1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 8
0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 8
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 8
1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 8
1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 9
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 9
1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 9
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 9
1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0
1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0
0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1
0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1
1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 2
1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 2
0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 2
1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2
1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 3
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 3
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 4
0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 4
0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4
1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 5
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 5
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 5
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 6
1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 6
1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 7
1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 8
1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 8
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 8
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 8
0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 8
1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 9
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 9
1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 9
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 9
0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0
1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0
0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0
0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1
0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2
1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 2
1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2
1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 2
1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 3
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 3
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 4
0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 4
0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 4
1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 5
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 5
1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 5
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 6
1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 6
1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 7
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 8
1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 8
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 8
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 8
0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 8
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 9
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 9
1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 9
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 9
0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0
1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0
0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0
0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1
1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1
0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2
1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 2
0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2
0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2
0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 3
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 4
0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 4
0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4
1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 5
1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 5
1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 5
0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 6
1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 6
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 8
