@relation  letter
@attribute X-box numeric
@attribute Y-box numeric
@attribute Width numeric
@attribute High numeric
@attribute Onpix numeric
@attribute X-bar numeric
@attribute Y-bar numeric
@attribute X2bar numeric
@attribute Y2bar numeric
@attribute Xybar numeric
@attribute X2ybr numeric
@attribute Xy2br numeric
@attribute X-ege numeric
@attribute Xegvy numeric
@attribute Y-ege numeric
@attribute Yegvx numeric
@attribute Class {A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z}


@data
5, 8, 7, 7, 6, 5, 7, 3, 4, 7, 6, 11, 4, 10, 7, 10, C
4, 7, 5, 5, 3, 3, 8, 5, 7, 10, 9, 14, 1, 8, 3, 8, C
4, 9, 5, 6, 3, 5, 7, 6, 8, 5, 7, 12, 1, 7, 4, 9, C
3, 7, 4, 5, 2, 3, 9, 5, 8, 11, 11, 11, 1, 8, 3, 7, C
6, 10, 7, 8, 3, 4, 9, 6, 8, 12, 10, 11, 2, 9, 3, 6, C
3, 6, 5, 5, 4, 6, 6, 4, 5, 7, 6, 11, 4, 10, 7, 10, C
2, 4, 3, 3, 1, 6, 8, 7, 8, 8, 7, 14, 1, 9, 4, 10, C
3, 5, 4, 4, 2, 4, 8, 5, 7, 12, 9, 11, 1, 10, 2, 7, C
4, 10, 6, 8, 7, 6, 6, 4, 3, 8, 7, 11, 6, 9, 3, 8, C
2, 5, 3, 3, 1, 4, 8, 5, 7, 11, 9, 13, 1, 9, 2, 7, C
6, 11, 6, 8, 3, 4, 8, 6, 8, 12, 10, 13, 1, 9, 3, 7, C
5, 11, 6, 8, 5, 5, 8, 8, 7, 10, 8, 13, 2, 11, 4, 10, C
3, 4, 4, 6, 1, 5, 7, 6, 9, 7, 6, 14, 1, 9, 4, 9, C
3, 7, 5, 5, 5, 5, 7, 3, 4, 7, 6, 10, 5, 10, 3, 8, C
5, 10, 6, 8, 2, 6, 6, 7, 11, 9, 5, 14, 1, 9, 4, 8, C
6, 12, 5, 6, 4, 8, 6, 4, 3, 9, 8, 11, 4, 9, 7, 11, C
6, 11, 4, 6, 2, 6, 8, 7, 6, 11, 7, 7, 2, 9, 5, 8, C
7, 10, 8, 8, 5, 5, 8, 6, 7, 12, 9, 12, 3, 11, 4, 6, C
5, 7, 6, 5, 6, 5, 6, 4, 4, 7, 7, 9, 5, 10, 4, 8, C
7, 10, 5, 5, 2, 6, 10, 6, 7, 12, 8, 8, 2, 9, 5, 8, C
2, 4, 3, 2, 1, 4, 9, 5, 7, 11, 9, 12, 1, 9, 3, 7, C
7, 9, 7, 7, 4, 4, 7, 5, 7, 11, 9, 14, 3, 10, 4, 7, C
3, 2, 4, 4, 2, 6, 8, 7, 7, 8, 7, 13, 1, 9, 4, 10, C
9, 13, 6, 7, 3, 6, 9, 6, 7, 12, 7, 7, 2, 9, 5, 9, C
7, 10, 8, 8, 5, 3, 7, 5, 7, 11, 10, 14, 2, 9, 3, 7, C
2, 5, 3, 3, 2, 6, 8, 7, 8, 8, 7, 13, 1, 9, 4, 10, C
5, 8, 5, 6, 3, 5, 7, 5, 6, 11, 8, 13, 2, 9, 4, 8, C
7, 10, 8, 8, 4, 6, 8, 7, 8, 13, 8, 9, 2, 11, 3, 7, C
4, 10, 5, 8, 2, 6, 8, 7, 10, 4, 6, 13, 1, 7, 4, 8, C
6, 9, 7, 7, 7, 6, 7, 3, 4, 6, 7, 10, 7, 8, 6, 7, C
2, 1, 2, 2, 1, 6, 8, 7, 7, 8, 7, 12, 1, 9, 4, 10, C
3, 7, 4, 5, 3, 6, 8, 7, 7, 10, 8, 13, 2, 10, 4, 10, C
3, 6, 5, 4, 1, 6, 8, 6, 10, 7, 7, 12, 1, 7, 4, 9, C
4, 7, 4, 5, 2, 5, 9, 6, 7, 12, 9, 9, 2, 10, 2, 7, C
5, 11, 6, 8, 2, 5, 7, 7, 10, 7, 6, 14, 1, 8, 4, 9, C
4, 8, 5, 6, 4, 7, 7, 8, 5, 8, 6, 12, 4, 9, 4, 8, C
4, 8, 5, 6, 2, 5, 8, 6, 8, 11, 9, 13, 1, 9, 3, 7, C
4, 8, 5, 6, 3, 8, 7, 7, 6, 6, 7, 9, 4, 8, 3, 9, C
3, 4, 4, 3, 1, 4, 8, 5, 8, 11, 9, 12, 1, 9, 3, 7, C
3, 2, 4, 3, 2, 6, 8, 8, 7, 8, 7, 12, 2, 9, 4, 10, C
3, 8, 4, 6, 2, 4, 8, 7, 9, 9, 9, 13, 1, 9, 4, 9, C
2, 7, 3, 5, 1, 5, 7, 6, 8, 6, 6, 12, 1, 7, 4, 9, C
4, 9, 5, 7, 6, 8, 6, 5, 3, 7, 7, 11, 5, 9, 3, 8, C
7, 14, 5, 8, 5, 6, 6, 4, 4, 10, 9, 12, 4, 9, 9, 8, C
2, 0, 2, 1, 1, 6, 7, 6, 10, 7, 6, 14, 0, 8, 4, 9, C
6, 11, 7, 8, 3, 5, 7, 7, 11, 7, 6, 12, 1, 9, 4, 8, C
4, 5, 5, 7, 2, 5, 7, 7, 10, 7, 6, 13, 1, 8, 4, 8, C
4, 8, 4, 6, 3, 4, 8, 6, 6, 12, 10, 12, 2, 9, 3, 8, C
6, 9, 5, 4, 3, 8, 7, 4, 3, 9, 8, 10, 4, 8, 7, 11, C
1, 3, 2, 2, 1, 6, 8, 6, 7, 7, 8, 12, 1, 9, 4, 10, C
5, 7, 6, 5, 6, 8, 4, 6, 3, 8, 6, 11, 8, 8, 4, 7, C
3, 5, 4, 4, 2, 3, 9, 4, 7, 11, 10, 12, 1, 9, 2, 6, C
6, 8, 6, 6, 3, 5, 8, 6, 8, 13, 9, 9, 2, 11, 2, 7, C
3, 8, 4, 6, 3, 5, 8, 6, 6, 9, 8, 14, 1, 9, 3, 10, C
3, 4, 4, 3, 2, 6, 8, 7, 7, 9, 8, 12, 2, 10, 3, 9, C
4, 9, 5, 7, 3, 6, 8, 6, 8, 7, 6, 14, 1, 8, 4, 9, C
1, 3, 2, 2, 1, 6, 8, 4, 6, 11, 8, 12, 1, 10, 3, 8, C
5, 5, 6, 8, 2, 6, 7, 7, 10, 7, 6, 15, 1, 8, 4, 9, C
1, 1, 2, 1, 0, 6, 7, 6, 9, 7, 6, 15, 0, 8, 4, 10, C
1, 0, 2, 1, 0, 7, 7, 6, 7, 7, 6, 13, 0, 8, 4, 10, C
4, 7, 5, 5, 2, 6, 7, 6, 10, 6, 6, 12, 1, 7, 4, 8, C
2, 1, 2, 1, 1, 6, 8, 6, 7, 8, 8, 12, 1, 9, 3, 10, C
1, 0, 2, 1, 0, 6, 7, 6, 8, 7, 6, 14, 0, 8, 4, 10, C
9, 14, 6, 8, 3, 5, 11, 6, 9, 12, 8, 7, 2, 8, 6, 8, C
4, 7, 5, 5, 3, 6, 7, 6, 9, 8, 4, 10, 1, 10, 4, 10, C
4, 7, 5, 6, 6, 6, 5, 4, 5, 7, 5, 11, 5, 10, 7, 11, C
6, 11, 8, 8, 9, 8, 6, 5, 3, 8, 7, 11, 10, 8, 6, 5, C
6, 11, 7, 8, 4, 6, 7, 10, 9, 10, 7, 11, 2, 12, 4, 9, C
9, 14, 8, 8, 6, 9, 5, 4, 6, 10, 4, 7, 6, 8, 9, 7, D
4, 7, 6, 5, 5, 8, 8, 6, 5, 9, 5, 4, 5, 8, 5, 9, D
1, 3, 3, 2, 1, 9, 7, 4, 5, 10, 4, 5, 2, 8, 2, 8, D
4, 8, 5, 6, 4, 7, 7, 7, 7, 7, 6, 4, 3, 8, 3, 7, D
6, 9, 6, 5, 3, 8, 6, 5, 6, 10, 4, 6, 4, 7, 6, 10, D
5, 10, 5, 5, 3, 7, 7, 4, 6, 9, 6, 6, 5, 9, 7, 5, D
5, 10, 5, 8, 3, 5, 7, 10, 9, 7, 6, 5, 3, 8, 4, 8, D
6, 10, 8, 8, 6, 7, 7, 7, 8, 7, 7, 4, 3, 8, 3, 7, D
6, 10, 6, 6, 3, 11, 3, 4, 5, 12, 2, 8, 5, 7, 4, 10, D
4, 8, 6, 6, 8, 9, 7, 5, 6, 7, 5, 6, 5, 6, 8, 7, D
4, 9, 4, 4, 2, 9, 6, 5, 5, 11, 4, 7, 5, 7, 5, 11, D
4, 10, 6, 8, 10, 9, 8, 5, 5, 7, 6, 6, 5, 6, 7, 6, D
3, 1, 4, 3, 2, 7, 7, 7, 7, 7, 6, 5, 2, 8, 3, 7, D
4, 6, 5, 5, 5, 6, 7, 5, 6, 7, 4, 7, 4, 7, 6, 5, D
5, 10, 7, 7, 7, 9, 7, 4, 6, 9, 4, 6, 3, 8, 3, 8, D
7, 12, 7, 7, 5, 9, 6, 4, 7, 10, 5, 7, 6, 8, 8, 6, D
1, 0, 2, 1, 1, 6, 7, 8, 6, 7, 6, 6, 2, 8, 3, 8, D
4, 7, 4, 5, 2, 5, 7, 10, 8, 7, 6, 5, 3, 8, 4, 8, D
2, 4, 4, 3, 2, 9, 7, 4, 6, 10, 4, 6, 2, 8, 3, 8, D
3, 4, 4, 2, 2, 7, 7, 7, 7, 7, 6, 5, 2, 8, 3, 7, D
7, 10, 9, 8, 6, 11, 5, 3, 8, 11, 3, 6, 4, 6, 4, 9, D
3, 6, 5, 5, 5, 7, 7, 4, 6, 7, 4, 8, 4, 7, 6, 5, D
5, 9, 7, 7, 6, 10, 7, 5, 6, 9, 3, 6, 3, 8, 3, 8, D
2, 5, 4, 3, 3, 9, 6, 4, 6, 10, 4, 6, 2, 8, 3, 8, D
4, 7, 4, 5, 2, 5, 8, 10, 9, 8, 7, 5, 3, 8, 4, 8, D
3, 6, 4, 4, 3, 7, 7, 6, 5, 7, 7, 6, 3, 8, 3, 7, D
8, 13, 8, 7, 4, 9, 5, 4, 6, 11, 3, 7, 5, 6, 6, 11, D
2, 3, 3, 2, 2, 9, 6, 3, 5, 10, 4, 6, 2, 8, 2, 8, D
3, 2, 4, 4, 3, 7, 7, 7, 7, 7, 6, 5, 2, 8, 3, 7, D
5, 11, 7, 8, 6, 6, 7, 8, 7, 6, 6, 5, 3, 9, 4, 9, D
4, 4, 5, 6, 3, 5, 7, 10, 9, 6, 6, 5, 3, 8, 4, 8, D
4, 9, 5, 7, 5, 5, 7, 9, 6, 6, 6, 6, 2, 8, 3, 8, D
3, 4, 5, 3, 3, 9, 6, 4, 6, 10, 4, 5, 2, 8, 3, 8, D
2, 4, 3, 3, 2, 9, 6, 3, 5, 10, 4, 6, 2, 8, 2, 8, D
5, 11, 5, 6, 4, 8, 6, 3, 5, 9, 5, 7, 5, 9, 5, 8, D
4, 7, 5, 5, 4, 10, 6, 3, 6, 11, 4, 7, 3, 8, 3, 9, D
6, 10, 8, 7, 7, 7, 7, 5, 6, 7, 7, 8, 7, 7, 3, 8, D
2, 6, 3, 4, 2, 6, 7, 10, 8, 6, 6, 6, 3, 8, 3, 8, D
5, 8, 6, 6, 6, 10, 6, 5, 6, 9, 3, 6, 3, 8, 3, 8, D
4, 7, 4, 5, 4, 5, 7, 8, 7, 6, 5, 6, 2, 8, 3, 8, D
4, 9, 5, 7, 6, 7, 8, 6, 6, 8, 7, 5, 3, 8, 3, 7, D
2, 3, 3, 1, 1, 8, 7, 4, 5, 10, 4, 5, 2, 8, 2, 8, D
6, 10, 9, 8, 8, 8, 8, 5, 6, 10, 5, 5, 4, 8, 5, 10, D
4, 5, 5, 8, 3, 5, 7, 10, 8, 7, 6, 5, 3, 8, 4, 8, D
