@relation  texture
@attribute A1 real[-1.45,0.774]
@attribute A2 real[-1.2,0.33]
@attribute A3 real[-1.31,0.344]
@attribute A4 real[-1.11,0.588]
@attribute A5 real[-1.053,0.439]
@attribute A6 real[-1.003,0.452]
@attribute A7 real[-1.208,0.525]
@attribute A8 real[-1.08,0.398]
@attribute A9 real[-1.057,0.437]
@attribute A10 real[-1.258,0.355]
@attribute A11 real[-1.45,0.774]
@attribute A12 real[-1.083,0.372]
@attribute A13 real[-1.119,0.635]
@attribute A14 real[-1.018,0.157]
@attribute A15 real[-0.943,0.164]
@attribute A16 real[-0.994,0.036]
@attribute A17 real[-1.172,0.02]
@attribute A18 real[-1.017,0.115]
@attribute A19 real[-1.004,0.083]
@attribute A20 real[-1.18,0.439]
@attribute A21 real[-1.45,0.774]
@attribute A22 real[-1.228,0.596]
@attribute A23 real[-1.341,0.446]
@attribute A24 real[-1.177,0.688]
@attribute A25 real[-1.137,0.41]
@attribute A26 real[-1.11,0.373]
@attribute A27 real[-1.239,0.612]
@attribute A28 real[-1.154,0.422]
@attribute A29 real[-1.132,0.392]
@attribute A30 real[-1.422,0.472]
@attribute A31 real[-1.45,0.774]
@attribute A32 real[-1.179,0.565]
@attribute A33 real[-1.147,0.675]
@attribute A34 real[-1.123,0.313]
@attribute A35 real[-1.015,0.34]
@attribute A36 real[-1.03,0.156]
@attribute A37 real[-1.253,0.09]
@attribute A38 real[-1.097,0.194]
@attribute A39 real[-1.076,0.202]
@attribute A40 real[-1.215,0.465]
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}


@data
-1.173, -0.75, -0.795, -0.577, -0.494, -0.383, -0.736, -0.589, -0.497, -0.782, -1.173, -0.811, -0.643, -0.751, -0.597, -0.645, -0.919, -0.694, -0.668, -0.757, -1.173, -0.828, -0.98, -0.669, -0.632, -0.484, -0.835, -0.715, -0.621, -0.956, -1.173, -0.707, -0.504, -0.683, -0.507, -0.569, -0.854, -0.596, -0.549, -0.591, 2
-0.99, -0.521, -0.682, -0.291, -0.304, -0.199, -0.46, -0.425, -0.312, -0.662, -0.99, -0.528, -0.278, -0.538, -0.347, -0.486, -0.662, -0.405, -0.405, -0.396, -0.99, -0.657, -0.839, -0.499, -0.489, -0.359, -0.649, -0.531, -0.458, -0.776, -0.99, -0.551, -0.388, -0.561, -0.422, -0.518, -0.732, -0.492, -0.472, -0.518, 2
-1.006, -0.722, -0.837, -0.593, -0.558, -0.504, -0.704, -0.599, -0.56, -0.845, -1.006, -0.733, -0.609, -0.694, -0.572, -0.61, -0.861, -0.692, -0.681, -0.805, -1.006, -0.687, -0.822, -0.563, -0.516, -0.403, -0.715, -0.588, -0.533, -0.869, -1.006, -0.624, -0.53, -0.583, -0.452, -0.517, -0.753, -0.53, -0.493, -0.598, 2
-1.055, -0.694, -0.784, -0.573, -0.51, -0.436, -0.714, -0.585, -0.544, -0.87, -1.055, -0.737, -0.713, -0.725, -0.641, -0.731, -0.909, -0.753, -0.758, -0.914, -1.055, -0.753, -0.892, -0.644, -0.612, -0.54, -0.784, -0.673, -0.649, -0.97, -1.055, -0.657, -0.528, -0.656, -0.528, -0.607, -0.826, -0.618, -0.603, -0.666, 2
-1.257, -0.683, -0.508, -0.497, -0.312, -0.205, -0.664, -0.382, -0.27, -0.495, -1.257, -0.857, -0.655, -0.789, -0.599, -0.617, -0.95, -0.697, -0.652, -0.754, -1.257, -0.908, -0.899, -0.737, -0.621, -0.494, -0.891, -0.708, -0.617, -0.902, -1.257, -0.681, -0.356, -0.613, -0.352, -0.425, -0.764, -0.427, -0.381, -0.387, 2
-1.129, -0.766, -0.848, -0.635, -0.553, -0.464, -0.76, -0.618, -0.578, -0.846, -1.129, -0.794, -0.738, -0.734, -0.626, -0.688, -0.899, -0.721, -0.696, -0.844, -1.129, -0.869, -1.047, -0.725, -0.715, -0.587, -0.845, -0.773, -0.71, -0.996, -1.129, -0.738, -0.679, -0.715, -0.601, -0.665, -0.877, -0.686, -0.652, -0.744, 2
-1.172, -0.683, -0.695, -0.503, -0.367, -0.278, -0.663, -0.477, -0.403, -0.716, -1.172, -0.737, -0.56, -0.693, -0.536, -0.61, -0.862, -0.617, -0.59, -0.675, -1.172, -0.837, -0.927, -0.723, -0.646, -0.526, -0.882, -0.731, -0.668, -1.01, -1.172, -0.661, -0.449, -0.657, -0.47, -0.553, -0.829, -0.551, -0.511, -0.542, 2
-0.999, -0.489, -0.494, -0.334, -0.187, -0.102, -0.534, -0.295, -0.218, -0.497, -0.999, -0.631, -0.484, -0.62, -0.435, -0.518, -0.79, -0.519, -0.496, -0.575, -0.999, -0.758, -0.914, -0.6, -0.59, -0.467, -0.704, -0.635, -0.556, -0.849, -0.999, -0.578, -0.447, -0.502, -0.379, -0.436, -0.629, -0.424, -0.369, -0.45, 2
-0.821, -0.504, -0.648, -0.333, -0.326, -0.227, -0.453, -0.369, -0.282, -0.559, -0.821, -0.558, -0.581, -0.488, -0.451, -0.49, -0.648, -0.533, -0.488, -0.636, -0.821, -0.609, -0.749, -0.553, -0.54, -0.494, -0.677, -0.593, -0.593, -0.865, -0.821, -0.495, -0.514, -0.508, -0.458, -0.592, -0.708, -0.565, -0.593, -0.749, 2
-1.096, -0.71, -0.809, -0.576, -0.487, -0.371, -0.695, -0.541, -0.489, -0.816, -1.096, -0.829, -0.783, -0.774, -0.675, -0.692, -0.915, -0.759, -0.735, -0.875, -1.096, -0.847, -1.055, -0.713, -0.72, -0.594, -0.808, -0.746, -0.701, -1.005, -1.096, -0.645, -0.543, -0.618, -0.478, -0.561, -0.77, -0.548, -0.499, -0.584, 2
-1.355, -0.817, -0.771, -0.646, -0.473, -0.351, -0.846, -0.597, -0.495, -0.821, -1.355, -0.877, -0.67, -0.81, -0.602, -0.657, -0.984, -0.695, -0.66, -0.769, -1.355, -1.051, -1.027, -0.9, -0.769, -0.649, -1.034, -0.852, -0.791, -1.047, -1.355, -0.888, -0.588, -0.813, -0.567, -0.585, -0.968, -0.651, -0.585, -0.635, 2
-1.124, -0.626, -0.81, -0.474, -0.43, -0.324, -0.64, -0.505, -0.44, -0.831, -1.124, -0.698, -0.55, -0.646, -0.482, -0.554, -0.826, -0.569, -0.531, -0.633, -1.124, -0.698, -0.821, -0.546, -0.474, -0.328, -0.737, -0.575, -0.479, -0.848, -1.124, -0.62, -0.413, -0.586, -0.42, -0.507, -0.749, -0.5, -0.486, -0.524, 2
-1.414, -1.057, -1.018, -0.925, -0.78, -0.686, -1.068, -0.868, -0.795, -1.05, -1.414, -1.08, -0.937, -1.001, -0.851, -0.852, -1.158, -0.958, -0.906, -1.032, -1.414, -1.079, -1.087, -0.925, -0.806, -0.663, -1.077, -0.91, -0.809, -1.095, -1.414, -0.953, -0.753, -0.873, -0.662, -0.693, -1.04, -0.754, -0.698, -0.813, 2
-1.194, -0.769, -0.841, -0.618, -0.544, -0.415, -0.77, -0.608, -0.514, -0.824, -1.194, -0.813, -0.648, -0.768, -0.588, -0.642, -0.941, -0.69, -0.646, -0.735, -1.194, -0.819, -0.947, -0.652, -0.577, -0.415, -0.808, -0.666, -0.572, -0.93, -1.194, -0.687, -0.507, -0.669, -0.48, -0.558, -0.836, -0.563, -0.527, -0.592, 2
-1.148, -0.793, -0.839, -0.688, -0.573, -0.509, -0.813, -0.641, -0.622, -0.939, -1.148, -0.875, -0.843, -0.84, -0.754, -0.798, -0.992, -0.844, -0.842, -1.015, -1.148, -0.895, -1.063, -0.782, -0.755, -0.638, -0.892, -0.8, -0.753, -1.057, -1.148, -0.713, -0.69, -0.666, -0.545, -0.617, -0.826, -0.613, -0.579, -0.716, 2
-1.15, -0.873, -0.932, -0.78, -0.71, -0.671, -0.869, -0.741, -0.719, -0.934, -1.15, -0.842, -0.862, -0.813, -0.758, -0.813, -0.98, -0.854, -0.849, -1.028, -1.15, -0.879, -1.037, -0.761, -0.737, -0.608, -0.907, -0.812, -0.745, -1.059, -1.15, -0.818, -0.681, -0.787, -0.634, -0.657, -0.964, -0.744, -0.7, -0.819, 2
-1.303, -0.79, -0.631, -0.619, -0.411, -0.302, -0.814, -0.535, -0.422, -0.665, -1.303, -0.904, -0.681, -0.853, -0.632, -0.656, -1.04, -0.752, -0.692, -0.794, -1.303, -0.929, -0.956, -0.782, -0.644, -0.499, -0.944, -0.732, -0.632, -0.944, -1.303, -0.752, -0.366, -0.714, -0.428, -0.466, -0.874, -0.508, -0.452, -0.432, 2
-1.278, -0.766, -0.683, -0.605, -0.422, -0.313, -0.8, -0.537, -0.45, -0.741, -1.278, -0.862, -0.622, -0.792, -0.561, -0.577, -0.961, -0.664, -0.6, -0.686, -1.278, -1.04, -1.083, -0.887, -0.816, -0.689, -0.992, -0.894, -0.815, -1.059, -1.278, -0.864, -0.646, -0.79, -0.599, -0.618, -0.954, -0.701, -0.645, -0.72, 2
-1.222, -0.444, -0.436, -0.283, -0.12, -0.081, -0.484, -0.241, -0.203, -0.607, -1.222, -0.533, -0.308, -0.556, -0.316, -0.51, -0.662, -0.332, -0.342, -0.342, -1.222, -0.899, -0.884, -0.774, -0.672, -0.572, -0.896, -0.738, -0.671, -0.88, -1.222, -0.746, -0.654, -0.711, -0.57, -0.657, -0.874, -0.632, -0.608, -0.681, 3
-1.252, -0.71, -0.626, -0.54, -0.382, -0.271, -0.756, -0.518, -0.429, -0.784, -1.252, -0.798, -0.543, -0.747, -0.508, -0.559, -0.938, -0.627, -0.583, -0.702, -1.252, -1.004, -0.953, -0.911, -0.786, -0.709, -1.013, -0.855, -0.806, -0.99, -1.252, -0.851, -0.708, -0.789, -0.606, -0.641, -0.944, -0.684, -0.627, -0.731, 3
-1.179, -0.594, -0.547, -0.404, -0.224, -0.144, -0.629, -0.38, -0.298, -0.716, -1.179, -0.642, -0.442, -0.62, -0.4, -0.535, -0.786, -0.477, -0.455, -0.559, -1.179, -0.888, -0.859, -0.759, -0.655, -0.561, -0.867, -0.716, -0.643, -0.837, -1.179, -0.795, -0.639, -0.743, -0.574, -0.591, -0.909, -0.663, -0.598, -0.689, 3
-1.359, -0.852, -0.737, -0.674, -0.466, -0.36, -0.902, -0.648, -0.549, -0.872, -1.359, -0.944, -0.723, -0.886, -0.663, -0.672, -1.066, -0.777, -0.714, -0.822, -1.359, -1.14, -1.058, -1.061, -0.926, -0.861, -1.151, -0.988, -0.933, -1.063, -1.359, -0.991, -0.823, -0.934, -0.749, -0.756, -1.092, -0.85, -0.78, -0.88, 3
-1.154, -0.411, -0.5, -0.217, -0.08, 0.028, -0.483, -0.27, -0.157, -0.647, -1.154, -0.453, -0.25, -0.45, -0.238, -0.441, -0.584, -0.265, -0.261, -0.286, -1.154, -0.817, -0.773, -0.703, -0.566, -0.494, -0.835, -0.64, -0.584, -0.813, -1.154, -0.755, -0.643, -0.699, -0.562, -0.587, -0.854, -0.642, -0.578, -0.654, 3
-1.15, -0.426, -0.538, -0.223, -0.1, 0.051, -0.488, -0.283, -0.141, -0.656, -1.15, -0.462, -0.309, -0.46, -0.28, -0.459, -0.6, -0.305, -0.285, -0.317, -1.15, -0.811, -0.777, -0.7, -0.571, -0.491, -0.838, -0.648, -0.585, -0.816, -1.15, -0.744, -0.657, -0.688, -0.559, -0.595, -0.841, -0.633, -0.574, -0.658, 3
-1.31, -0.781, -0.759, -0.628, -0.453, -0.337, -0.861, -0.626, -0.537, -0.928, -1.31, -0.809, -0.584, -0.782, -0.543, -0.617, -0.983, -0.664, -0.617, -0.726, -1.31, -1.028, -0.974, -0.939, -0.811, -0.757, -1.05, -0.878, -0.84, -1.034, -1.31, -0.993, -0.865, -0.926, -0.778, -0.779, -1.077, -0.871, -0.808, -0.91, 3
-1.236, -0.578, -0.57, -0.39, -0.229, -0.137, -0.664, -0.426, -0.321, -0.751, -1.236, -0.62, -0.452, -0.608, -0.41, -0.546, -0.781, -0.473, -0.442, -0.497, -1.236, -0.925, -0.958, -0.804, -0.736, -0.634, -0.924, -0.786, -0.715, -0.952, -1.236, -0.827, -0.716, -0.758, -0.658, -0.693, -0.919, -0.731, -0.669, -0.763, 3
-1.287, -0.593, -0.543, -0.415, -0.215, -0.119, -0.694, -0.432, -0.339, -0.76, -1.287, -0.722, -0.586, -0.663, -0.476, -0.56, -0.855, -0.568, -0.525, -0.663, -1.287, -1.044, -0.965, -0.957, -0.823, -0.747, -1.059, -0.895, -0.837, -1.0, -1.287, -0.86, -0.675, -0.774, -0.593, -0.623, -0.918, -0.67, -0.605, -0.677, 3
-1.1, -0.526, -0.566, -0.328, -0.25, -0.114, -0.556, -0.402, -0.27, -0.657, -1.1, -0.539, -0.329, -0.537, -0.362, -0.521, -0.673, -0.414, -0.395, -0.421, -1.1, -0.736, -0.728, -0.587, -0.487, -0.387, -0.718, -0.551, -0.47, -0.713, -1.1, -0.717, -0.563, -0.663, -0.537, -0.533, -0.828, -0.639, -0.569, -0.626, 3
-1.202, -0.577, -0.572, -0.406, -0.258, -0.168, -0.642, -0.427, -0.298, -0.715, -1.202, -0.65, -0.494, -0.643, -0.47, -0.599, -0.823, -0.555, -0.524, -0.618, -1.202, -0.921, -0.891, -0.796, -0.692, -0.587, -0.908, -0.759, -0.678, -0.868, -1.202, -0.825, -0.678, -0.782, -0.62, -0.655, -0.948, -0.714, -0.653, -0.749, 3
