@relation  vowel
@attribute TT numeric
@attribute SpeakerNumber numeric
@attribute Sex numeric
@attribute F0 real[-5.211,-0.941]
@attribute F1 real[-1.274,5.074]
@attribute F2 real[-2.487,1.431]
@attribute F3 real[-1.409,2.377]
@attribute F4 real[-2.127,1.831]
@attribute F5 real[-0.836,2.327]
@attribute F6 real[-1.537,1.403]
@attribute F7 real[-1.293,2.039]
@attribute F8 real[-1.613,1.309]
@attribute F9 real[-1.68,1.396]
@attribute Class {0,1,2,3,4,5,6,7,8,9,10}


@data
0, 5, 1, -3.394, 0.557, -0.573, 1.704, 0.608, 1.644, 0.109, 0.2, -1.507, -0.225, 1
1, 10, 0, -3.034, 0.452, -0.946, 0.931, 0.128, 1.514, 0.142, 0.932, -0.104, -0.974, 1
1, 10, 0, -3.034, 0.694, -1.007, 1.453, 0.155, 1.48, 0.179, 1.005, -0.54, -0.563, 1
0, 0, 0, -3.046, 0.387, -1.165, 0.94, -0.386, 1.978, -0.186, 0.811, -0.394, -0.198, 1
1, 8, 0, -1.89, 0.207, -1.161, 0.027, -0.047, 1.581, 0.277, 1.129, 0.366, -0.25, 1
1, 13, 1, -3.999, 2.138, 0.295, 1.086, 0.699, -0.127, -0.634, -0.4, -0.505, 0.856, 1
0, 5, 1, -2.665, 0.772, -1.009, 1.307, 0.287, 0.855, -0.466, -0.19, -0.721, 0.407, 2
0, 4, 1, -2.837, 0.528, 0.241, 1.629, 0.23, -0.545, -0.643, -0.231, -0.186, 0.45, 2
1, 13, 1, -3.097, 1.385, -0.173, 1.392, -0.613, -0.143, -0.014, -0.565, -0.065, 1.129, 2
1, 9, 0, -1.895, 0.755, -1.388, 0.638, -0.614, 0.246, -0.033, 0.693, -0.27, -0.346, 2
0, 1, 0, -1.945, 0.352, -1.053, -0.228, -0.12, 0.927, 0.088, 0.509, -0.279, -0.246, 2
0, 2, 0, -1.768, 0.786, -1.468, 1.077, -0.347, 1.704, -0.171, 1.076, -0.691, -0.06, 2
0, 7, 1, -3.961, 1.078, 0.11, 1.232, 0.21, -0.67, -0.536, -0.33, -0.268, 1.098, 2
1, 10, 0, -2.667, 1.132, -1.054, 0.232, 0.537, 0.352, 0.163, 0.55, -0.688, -0.295, 2
1, 13, 1, -3.004, 1.09, -0.328, 1.652, -0.679, 0.287, -0.297, -0.695, -0.145, 0.71, 2
0, 5, 1, -2.493, 1.382, -0.929, 0.465, -0.369, 0.0020, 0.187, -0.696, -0.31, 0.348, 3
0, 1, 0, -1.954, 1.595, -1.593, 0.37, -0.136, 0.022, 0.034, 0.321, -0.19, -0.491, 3
1, 8, 0, -1.707, 1.652, -1.012, -0.622, -0.293, 0.279, -0.276, 0.477, 0.05, -0.2, 3
0, 6, 1, -2.081, 2.043, -0.521, 0.578, -0.463, -0.246, -0.041, -0.162, -0.814, 0.425, 3
1, 8, 0, -1.969, 0.835, -0.671, -0.27, 0.028, 0.4, -0.444, 0.53, 0.061, -0.343, 3
1, 11, 0, -2.162, 1.533, -0.267, -0.287, -0.026, 0.122, 0.168, -0.024, -0.268, -0.27, 3
0, 1, 0, -1.912, 1.554, -1.455, -0.017, -0.118, 0.27, -0.037, 0.163, -0.027, -0.474, 3
1, 13, 1, -3.029, 1.747, -0.899, 0.674, -1.046, 0.558, 0.204, -0.155, -0.237, 0.655, 3
1, 13, 1, -3.341, 1.714, -0.773, 0.771, -0.976, 0.625, 0.078, -0.438, -0.084, 0.607, 3
0, 2, 0, -2.274, 1.653, -0.226, 1.857, -0.971, 0.327, -0.605, 1.121, 0.121, 0.291, 4
0, 4, 1, -2.861, 2.091, -0.411, -0.438, -0.643, 0.317, 0.817, 0.104, -0.481, -0.252, 4
0, 7, 1, -2.813, 2.327, -1.246, -0.184, -0.755, 0.491, 1.202, -0.558, -0.669, 0.054, 4
1, 10, 0, -2.79, 2.665, 0.036, -0.44, -0.604, 0.811, 0.098, 0.723, 0.134, -0.91, 4
0, 0, 0, -2.724, 2.067, -1.142, 0.923, -1.157, 1.17, -0.276, 0.172, -0.0080, -0.649, 4
0, 0, 0, -3.141, 1.873, -1.131, 0.941, -0.759, 1.224, -0.354, 0.016, -0.218, -0.568, 4
1, 13, 1, -2.902, 2.796, -1.199, 0.234, -0.821, 1.257, 0.263, -0.075, -1.103, 0.417, 4
1, 8, 0, -2.671, 3.155, -0.514, 0.133, -0.964, 0.234, -0.071, 1.192, 0.254, -0.471, 4
1, 13, 1, -2.942, 2.642, -1.217, 0.384, -0.994, 1.467, 0.134, -0.458, -0.465, 0.646, 4
1, 11, 0, -2.58, 1.608, -0.311, 0.273, -0.148, 0.262, -0.062, 0.167, 0.337, -0.692, 5
1, 9, 0, -2.561, 2.191, -0.955, 0.214, -0.841, 0.386, -0.083, 0.74, -0.612, -0.196, 5
0, 4, 1, -2.555, 1.421, -0.8, -0.233, -0.078, 0.244, 0.771, -0.112, -0.707, 0.165, 5
0, 6, 1, -2.982, 2.001, -0.915, 0.188, 0.035, 0.467, -0.13, -0.689, -0.684, 0.664, 5
1, 13, 1, -3.075, 1.824, -0.905, 0.727, 0.155, 0.608, -0.075, -0.377, -0.74, 0.852, 5
0, 1, 0, -2.489, 1.773, -0.18, -0.152, -0.353, 0.133, -0.186, 0.207, 0.788, -0.285, 5
1, 13, 1, -3.371, 2.007, -0.919, 0.843, 0.221, 0.541, -0.317, -0.37, -0.5, 0.652, 5
0, 3, 0, -2.375, 1.642, 0.308, 0.255, -0.82, 0.225, -0.092, 0.874, 0.367, -0.525, 5
0, 2, 0, -1.891, 1.776, -0.518, 1.461, -1.05, 0.567, -0.307, 1.152, -0.239, 0.325, 5
0, 6, 1, -3.098, 2.525, -0.316, -0.322, -1.082, 0.285, 0.445, 0.847, -0.951, -0.707, 6
1, 10, 0, -2.973, 3.557, -0.396, -0.719, -0.669, 0.923, 0.293, 1.009, 0.14, -1.098, 6
0, 5, 1, -3.389, 2.762, -0.71, -0.026, -0.641, 0.112, 0.775, 0.443, -0.11, -0.979, 6
1, 10, 0, -3.015, 2.219, 0.996, -0.455, -1.514, 0.047, 0.864, 0.468, 0.657, -0.343, 6
1, 13, 1, -3.554, 3.386, -1.703, 0.555, -0.072, 1.073, 0.237, -0.625, -1.067, -0.176, 6
1, 13, 1, -3.57, 3.41, -1.576, 0.563, 0.0020, 0.759, 0.285, -0.466, -1.409, 0.586, 6
0, 3, 0, -2.834, 0.654, 0.733, 1.434, -0.716, -0.028, -0.841, 0.239, 0.92, 0.885, 6
0, 1, 0, -3.092, 3.014, -0.307, -0.016, -0.956, 0.195, -0.227, 0.367, 0.958, -0.092, 6
0, 2, 0, -2.447, 1.914, -0.208, 1.641, -1.159, 0.104, -0.539, 1.58, 0.058, 0.786, 6
0, 6, 1, -4.384, 3.721, -0.905, -0.965, -0.16, 0.498, 0.809, 0.66, -0.613, -0.831, 7
0, 2, 0, -3.675, 3.132, -0.241, 1.587, -1.75, -0.222, 0.039, 1.052, 0.545, 0.233, 7
0, 4, 1, -4.222, 3.886, 0.016, -0.144, -1.132, -0.053, 0.519, 1.024, 0.075, -0.226, 7
1, 11, 0, -3.823, 3.536, -2.07, 0.245, -0.442, 1.125, 0.73, 0.538, -0.0060, -0.64, 7
1, 14, 1, -3.753, 3.605, -0.899, -0.747, -0.401, 1.765, 0.62, 0.754, -0.835, -0.301, 7
1, 8, 0, -3.958, 4.132, -0.074, -0.19, -1.184, -0.11, -0.679, 1.198, 0.442, 0.563, 7
1, 8, 0, -3.816, 3.426, 0.224, -0.384, -1.733, 0.434, -0.322, 1.333, 0.653, 0.577, 7
0, 2, 0, -3.836, 3.699, -0.225, 1.52, -1.729, -0.184, 0.064, 0.97, 0.5, -0.13, 7
0, 0, 0, -4.208, 2.447, 0.049, 1.331, -2.088, 0.585, -0.05, 0.82, 0.606, -0.302, 7
0, 2, 0, -3.05, 1.6, -0.686, 1.543, -1.149, -0.043, 0.297, 0.727, 0.598, 0.458, 8
0, 5, 1, -3.901, 2.485, -0.95, 0.702, -0.47, 1.146, -0.109, 1.597, 0.146, -1.197, 8
1, 14, 1, -3.98, 2.459, 0.068, 0.023, 0.237, 1.029, -0.189, 0.521, -0.773, -0.5, 8
0, 1, 0, -4.136, 3.582, -0.407, -0.038, -0.687, 1.031, 0.491, 0.157, 0.305, 0.028, 8
0, 6, 1, -4.07, 2.254, -0.28, -0.722, 0.696, 0.683, 0.243, 0.689, -1.45, 0.19, 8
1, 9, 0, -4.101, 2.84, -0.802, 0.062, -0.733, 1.304, -0.145, 0.443, 0.049, -0.611, 8
1, 11, 0, -4.172, 3.07, -0.781, 0.516, -0.627, 1.006, 0.531, 0.441, -0.102, -0.456, 8
1, 10, 0, -4.047, 2.626, -0.597, 0.823, -0.266, 0.048, 0.049, 0.882, 0.359, -0.203, 8
0, 1, 0, -4.323, 2.853, 0.385, 0.209, -1.096, 0.431, 0.119, 0.268, 0.131, 0.654, 8
1, 10, 0, -4.805, 3.228, -0.501, 0.602, -0.532, 0.745, 0.09, 0.445, 0.756, -0.42, 9
1, 13, 1, -4.118, 2.542, -0.2, 1.616, 1.106, -0.06, -0.728, -0.544, -0.912, -0.101, 9
1, 10, 0, -4.602, 3.043, -0.959, 0.828, -0.298, 0.315, 0.423, 0.57, 0.387, -0.617, 9
0, 2, 0, -3.972, 2.279, -0.62, 0.954, -1.09, 0.719, 0.717, 0.3, 1.309, 0.171, 9
0, 5, 1, -4.694, 3.229, -1.153, 0.702, 0.452, 0.298, 0.454, 0.0010, -0.264, -1.399, 9
0, 5, 1, -4.744, 3.385, -0.886, 0.571, 0.235, 0.183, 0.357, 0.04, 0.203, -1.68, 9
0, 7, 1, -5.049, 4.846, -0.678, -0.877, -0.09, 0.0050, 0.253, -0.078, -0.178, 0.131, 9
0, 1, 0, -4.52, 2.231, -0.088, 0.513, -0.528, 1.246, 0.198, 0.242, 0.161, 0.769, 9
0, 2, 0, -4.333, 2.438, -0.219, 1.372, -0.761, 0.306, 0.594, -0.022, 1.103, 0.19, 9
0, 1, 0, -2.945, 1.724, -0.312, -0.239, -0.447, 1.36, 0.014, -0.102, 0.021, -0.564, 10
1, 13, 1, -3.455, 2.561, -0.421, 0.847, 0.33, 0.057, -0.177, -0.494, -0.786, 0.951, 10
0, 2, 0, -2.704, 1.285, -0.908, 1.57, -0.84, 1.044, -0.399, 0.951, 0.345, -0.695, 10
0, 6, 1, -2.907, 1.992, -0.904, 0.205, 0.011, 0.346, -0.031, -0.148, -1.262, 0.487, 10
1, 10, 0, -3.689, 1.367, -0.389, 0.376, 0.136, 0.343, 0.156, 1.01, -0.611, -0.551, 10
0, 4, 1, -2.976, 1.033, -0.222, -0.099, 0.081, 0.052, 0.479, 0.517, -1.105, -0.125, 10
0, 6, 1, -2.528, 1.288, -0.144, -0.171, -0.077, 0.26, -0.045, 0.681, -1.399, -0.066, 10
1, 9, 0, -3.725, 1.904, -0.737, 0.433, -0.369, 1.047, 0.12, 0.425, -0.678, -0.391, 10
1, 13, 1, -3.51, 2.535, -0.26, 0.946, -0.072, 0.159, -0.112, -0.657, -0.789, 0.914, 10
