@relation  page-blocks
@attribute Height integer[1,804]
@attribute Lenght integer[1,553]
@attribute Area integer[7,143993]
@attribute Eccen real[0.0070,537.0]
@attribute P_black real[0.052,1.0]
@attribute P_and real[0.062,1.0]
@attribute Mean_tr real[1.0,4955.0]
@attribute Blackpix integer[1,33017]
@attribute Blackand integer[7,46133]
@attribute Wb_trans integer[1,3212]
@attribute Class{1,2,3,4,5}
@inputs Height,Lenght,Area,Eccen,P_black,P_and,Mean_tr,Blackpix,Blackand,Wb_trans
@outputs Class
@data
8, 21, 168, 2.625, 0.417, 0.958, 1.94, 70, 161, 36, 1
8, 346, 2768, 43.25, 0.144, 0.581, 1.31, 398, 1607, 304, 1
11, 57, 627, 5.182, 0.271, 0.577, 1.87, 170, 362, 91, 1
3, 3, 9, 1.0, 0.778, 0.778, 7.0, 7, 7, 1, 1
10, 9, 90, 0.9, 0.522, 0.656, 9.4, 47, 59, 5, 1
8, 47, 376, 5.875, 0.266, 0.604, 1.56, 100, 227, 64, 1
9, 7, 63, 0.778, 0.302, 0.603, 1.9, 19, 38, 10, 1
8, 34, 272, 4.25, 0.36, 0.717, 1.88, 98, 195, 52, 1
17, 22, 374, 1.294, 0.425, 0.765, 4.68, 159, 286, 34, 1
9, 76, 684, 8.444, 0.436, 0.955, 2.37, 298, 653, 126, 1
8, 132, 1056, 16.5, 0.311, 0.873, 2.01, 328, 922, 163, 1
8, 17, 136, 2.125, 0.36, 0.831, 1.96, 49, 113, 25, 1
10, 54, 540, 5.4, 0.378, 0.622, 3.14, 204, 336, 65, 1
7, 36, 252, 5.143, 0.567, 0.929, 2.51, 143, 234, 57, 1
9, 103, 927, 11.444, 0.243, 0.663, 1.42, 225, 615, 159, 1
5, 11, 55, 2.2, 0.6, 0.818, 2.75, 33, 45, 12, 1
10, 48, 480, 4.8, 0.36, 0.863, 2.16, 173, 414, 80, 1
7, 35, 245, 5.0, 0.408, 0.755, 2.38, 100, 185, 42, 1
5, 82, 410, 16.4, 0.361, 0.802, 2.11, 148, 329, 70, 1
20, 18, 360, 0.9, 0.489, 0.583, 19.56, 176, 210, 9, 1
9, 12, 108, 1.333, 0.389, 0.852, 2.33, 42, 92, 18, 1
9, 43, 387, 4.778, 0.455, 0.899, 2.98, 176, 348, 59, 1
14, 416, 5824, 29.714, 0.384, 0.617, 4.64, 2234, 3594, 481, 1
8, 36, 288, 4.5, 0.299, 0.531, 2.21, 86, 153, 39, 1
8, 70, 560, 8.75, 0.371, 0.911, 1.7, 208, 510, 122, 1
6, 43, 258, 7.167, 0.337, 0.969, 1.67, 87, 250, 52, 1
7, 14, 98, 2.0, 0.408, 0.98, 1.74, 40, 96, 23, 1
5, 70, 350, 14.0, 0.18, 0.417, 1.4, 63, 146, 45, 1
12, 311, 3732, 25.917, 0.195, 0.781, 1.64, 727, 2914, 443, 1
12, 71, 852, 5.917, 0.608, 0.863, 6.4, 518, 735, 81, 1
9, 34, 306, 3.778, 0.337, 0.817, 1.81, 103, 250, 57, 1
8, 275, 2200, 34.375, 0.209, 0.737, 1.31, 460, 1621, 351, 1
13, 348, 4524, 26.769, 0.195, 0.743, 1.64, 881, 3363, 537, 1
10, 173, 1730, 17.3, 0.09, 0.375, 1.52, 155, 649, 102, 1
8, 42, 336, 5.25, 0.39, 0.94, 2.43, 131, 316, 54, 1
9, 64, 576, 7.111, 0.318, 0.818, 2.18, 183, 471, 84, 1
8, 196, 1568, 24.5, 0.142, 0.644, 1.4, 222, 1010, 159, 1
7, 18, 126, 2.571, 0.397, 0.984, 1.79, 50, 124, 28, 1
9, 535, 4815, 59.444, 0.146, 0.634, 1.32, 704, 3052, 534, 1
8, 19, 152, 2.375, 0.401, 0.98, 1.97, 61, 149, 31, 1
5, 7, 35, 1.4, 0.4, 1.0, 1.17, 14, 35, 12, 1
7, 91, 637, 13.0, 0.179, 0.816, 1.24, 114, 520, 92, 1
9, 272, 2448, 30.222, 0.269, 0.696, 1.93, 659, 1704, 342, 1
9, 123, 1107, 13.667, 0.395, 0.991, 2.84, 437, 1097, 154, 1
11, 154, 1694, 14.0, 0.187, 0.522, 1.94, 317, 884, 163, 1
8, 16, 128, 2.0, 0.328, 0.969, 1.91, 42, 124, 22, 1
7, 26, 182, 3.714, 0.33, 0.786, 2.07, 60, 143, 29, 1
7, 47, 329, 6.714, 0.286, 0.717, 1.4, 94, 236, 67, 1
25, 187, 4675, 7.48, 0.486, 0.939, 7.42, 2272, 4390, 306, 1
8, 122, 976, 15.25, 0.227, 0.65, 1.44, 222, 634, 154, 1
9, 40, 360, 4.444, 0.275, 0.875, 1.6, 99, 315, 62, 1
8, 13, 104, 1.625, 0.452, 0.971, 1.96, 47, 101, 24, 1
9, 171, 1539, 19.0, 0.4, 0.778, 2.87, 615, 1198, 214, 1
33, 180, 5940, 5.455, 0.236, 0.611, 1.68, 1400, 3627, 835, 1
9, 32, 288, 3.556, 0.354, 0.806, 1.7, 102, 232, 60, 1
1, 22, 22, 22.0, 0.591, 1.0, 2.6, 13, 22, 5, 1
9, 55, 495, 6.111, 0.259, 0.699, 1.47, 128, 346, 87, 1
7, 17, 119, 2.429, 0.412, 0.933, 2.72, 49, 111, 18, 1
9, 86, 774, 9.556, 0.394, 0.705, 2.85, 305, 546, 107, 1
8, 69, 552, 8.625, 0.216, 0.643, 1.43, 119, 355, 83, 1
10, 77, 770, 7.7, 0.469, 0.905, 2.64, 361, 697, 137, 1
7, 114, 798, 16.286, 0.253, 0.741, 1.77, 202, 591, 114, 1
7, 57, 399, 8.143, 0.273, 0.659, 1.3, 109, 263, 84, 1
11, 74, 814, 6.727, 0.267, 0.628, 2.21, 217, 511, 98, 1
9, 56, 504, 6.222, 0.21, 0.603, 1.26, 106, 304, 84, 1
9, 34, 306, 3.778, 0.356, 0.925, 2.06, 109, 283, 53, 1
8, 75, 600, 9.375, 0.423, 0.87, 3.02, 254, 522, 84, 1
7, 19, 133, 2.714, 0.398, 0.977, 1.77, 53, 130, 30, 1
6, 40, 240, 6.667, 0.221, 0.621, 1.43, 53, 149, 37, 1
8, 59, 472, 7.375, 0.186, 0.672, 1.49, 88, 317, 59, 1
8, 9, 72, 1.125, 0.403, 0.722, 1.93, 29, 52, 15, 1
7, 42, 294, 6.0, 0.405, 0.976, 2.05, 119, 287, 58, 1
7, 122, 854, 17.429, 0.281, 0.626, 1.73, 240, 535, 139, 1
9, 111, 999, 12.333, 0.209, 0.571, 1.57, 209, 570, 133, 1
9, 18, 162, 2.0, 0.605, 0.895, 7.0, 98, 145, 14, 1
10, 25, 250, 2.5, 0.328, 0.828, 2.05, 82, 207, 40, 1
7, 7, 49, 1.0, 0.347, 1.0, 1.42, 17, 49, 12, 1
8, 75, 600, 9.375, 0.328, 0.888, 1.86, 197, 533, 106, 1
8, 27, 216, 3.375, 0.435, 0.963, 2.14, 94, 208, 44, 1
7, 33, 231, 4.714, 0.342, 0.848, 1.98, 79, 196, 40, 1
6, 96, 576, 16.0, 0.198, 0.668, 1.61, 114, 385, 71, 1
7, 8, 56, 1.143, 0.214, 0.625, 1.71, 12, 35, 7, 1
11, 72, 792, 6.545, 0.665, 0.938, 6.35, 527, 743, 83, 1
8, 22, 176, 2.75, 0.403, 1.0, 2.03, 71, 176, 35, 1
6, 95, 570, 15.833, 0.274, 0.784, 1.97, 156, 447, 79, 1
7, 21, 147, 3.0, 0.327, 0.912, 1.71, 48, 134, 28, 1
10, 29, 290, 2.9, 0.303, 0.731, 2.1, 88, 212, 42, 1
8, 398, 3184, 49.75, 0.279, 0.664, 1.7, 887, 2113, 521, 1
9, 534, 4806, 59.333, 0.102, 0.417, 1.4, 491, 2005, 351, 1
8, 8, 64, 1.0, 0.5, 1.0, 2.91, 32, 64, 11, 1
5, 39, 195, 7.8, 0.492, 0.872, 2.46, 96, 170, 39, 1
9, 12, 108, 1.333, 0.38, 1.0, 1.46, 41, 108, 28, 1
12, 67, 804, 5.583, 0.403, 0.704, 3.68, 324, 566, 88, 1
8, 242, 1936, 30.25, 0.128, 0.574, 1.27, 247, 1111, 195, 1
5, 7, 35, 1.4, 0.4, 0.657, 2.33, 14, 23, 6, 1
9, 171, 1539, 19.0, 0.121, 0.574, 1.35, 186, 884, 138, 1
11, 43, 473, 3.909, 0.281, 0.774, 2.18, 133, 366, 61, 1
8, 20, 160, 2.5, 0.506, 1.0, 2.45, 81, 160, 33, 1
10, 42, 420, 4.2, 0.355, 0.862, 2.13, 149, 362, 70, 1
8, 82, 656, 10.25, 0.402, 0.991, 2.1, 264, 650, 126, 1
7, 30, 210, 4.286, 0.305, 0.871, 1.64, 64, 183, 39, 1
8, 15, 120, 1.875, 0.325, 0.833, 1.86, 39, 100, 21, 1
8, 62, 496, 7.75, 0.296, 0.869, 1.81, 147, 431, 81, 1
12, 43, 516, 3.583, 0.328, 0.789, 2.56, 169, 407, 66, 1
9, 102, 918, 11.333, 0.166, 0.56, 1.58, 152, 514, 96, 1
10, 83, 830, 8.3, 0.208, 0.667, 1.44, 173, 554, 120, 1
8, 107, 856, 13.375, 0.384, 0.86, 2.12, 329, 736, 155, 1
16, 337, 5392, 21.063, 0.363, 0.598, 5.19, 1956, 3225, 377, 1
6, 11, 66, 1.833, 0.197, 0.848, 1.3, 13, 56, 10, 1
11, 185, 2035, 16.818, 0.295, 0.826, 1.94, 600, 1681, 310, 1
8, 54, 432, 6.75, 0.183, 0.734, 1.34, 79, 317, 59, 1
10, 98, 980, 9.8, 0.3, 0.781, 1.72, 294, 765, 171, 1
8, 19, 152, 2.375, 0.388, 0.809, 1.97, 59, 123, 30, 1
8, 183, 1464, 22.875, 0.288, 0.664, 2.08, 421, 972, 202, 1
5, 33, 165, 6.6, 0.315, 0.909, 1.27, 52, 150, 41, 1
10, 35, 350, 3.5, 0.311, 0.72, 1.88, 109, 252, 58, 1
6, 4, 24, 0.667, 0.583, 1.0, 4.67, 14, 24, 3, 1
10, 100, 1000, 10.0, 0.449, 0.874, 2.82, 449, 874, 159, 1
8, 38, 304, 4.75, 0.25, 0.73, 1.38, 76, 222, 55, 1
7, 37, 259, 5.286, 0.282, 0.772, 1.35, 73, 200, 54, 1
7, 20, 140, 2.857, 0.35, 0.757, 1.58, 49, 106, 31, 1
6, 7, 42, 1.167, 0.429, 0.881, 3.6, 18, 37, 5, 1
6, 6, 36, 1.0, 0.361, 1.0, 1.44, 13, 36, 9, 1
8, 80, 640, 10.0, 0.347, 0.933, 1.75, 222, 597, 127, 1
8, 50, 400, 6.25, 0.378, 0.915, 1.7, 151, 366, 89, 1
11, 30, 330, 2.727, 0.297, 0.6, 2.39, 98, 198, 41, 1
9, 29, 261, 3.222, 0.23, 0.613, 1.3, 60, 160, 46, 1
5, 34, 170, 6.8, 0.141, 0.594, 1.26, 24, 101, 19, 1
10, 271, 2710, 27.1, 0.173, 0.557, 1.47, 469, 1510, 318, 1
7, 86, 602, 12.286, 0.281, 0.958, 1.55, 169, 577, 109, 1
16, 427, 6832, 26.688, 0.4, 0.632, 5.56, 2736, 4316, 492, 1
12, 257, 3084, 21.417, 0.283, 0.615, 3.0, 872, 1898, 291, 1
10, 41, 410, 4.1, 0.276, 0.693, 1.61, 113, 284, 70, 1
12, 284, 3408, 23.667, 0.325, 0.725, 2.87, 1109, 2471, 386, 1
8, 11, 88, 1.375, 0.477, 0.966, 2.0, 42, 85, 21, 1
7, 35, 245, 5.0, 0.482, 0.841, 2.81, 118, 206, 42, 1
6, 45, 270, 7.5, 0.456, 0.967, 1.64, 123, 261, 75, 1
11, 118, 1298, 10.727, 0.29, 0.798, 1.99, 376, 1036, 189, 1
9, 81, 729, 9.0, 0.348, 0.927, 2.21, 254, 676, 115, 1
7, 17, 119, 2.429, 0.269, 0.899, 1.52, 32, 107, 21, 1
11, 272, 2992, 24.727, 0.26, 0.681, 1.82, 778, 2038, 428, 1
9, 18, 162, 2.0, 0.327, 0.765, 1.83, 53, 124, 29, 1
9, 46, 414, 5.111, 0.242, 0.575, 1.43, 100, 238, 70, 1
12, 117, 1404, 9.75, 0.231, 0.712, 1.68, 324, 1000, 193, 1
4, 6, 24, 1.5, 0.417, 0.5, 10.0, 10, 12, 1, 1
8, 5, 40, 0.625, 0.325, 0.9, 6.5, 13, 36, 2, 1
10, 130, 1300, 13.0, 0.453, 0.822, 2.78, 589, 1069, 212, 1
6, 33, 198, 5.5, 0.268, 0.848, 1.39, 53, 168, 38, 1
7, 4, 28, 0.571, 0.5, 1.0, 2.33, 14, 28, 6, 1
9, 27, 243, 3.0, 0.346, 0.975, 1.87, 84, 237, 45, 1
9, 11, 99, 1.222, 0.283, 0.939, 1.56, 28, 93, 18, 1
6, 9, 54, 1.5, 0.352, 0.87, 1.58, 19, 47, 12, 1
11, 198, 2178, 18.0, 0.383, 0.773, 2.9, 834, 1683, 288, 1
6, 26, 156, 4.333, 0.34, 0.974, 1.33, 53, 152, 40, 1
9, 9, 81, 1.0, 0.272, 0.753, 1.38, 22, 61, 16, 1
12, 104, 1248, 8.667, 0.335, 0.758, 2.46, 418, 946, 170, 1
9, 103, 927, 11.444, 0.357, 0.864, 2.47, 331, 801, 134, 1
7, 14, 98, 2.0, 0.388, 0.847, 1.65, 38, 83, 23, 1
10, 262, 2620, 26.2, 0.281, 0.691, 1.89, 736, 1811, 390, 1
5, 94, 470, 18.8, 0.234, 0.845, 1.39, 110, 397, 79, 1
7, 13, 91, 1.857, 0.242, 0.857, 2.0, 22, 78, 11, 1
8, 62, 496, 7.75, 0.308, 0.948, 1.91, 153, 470, 80, 1
16, 92, 1472, 5.75, 0.245, 0.522, 3.61, 361, 769, 100, 1
9, 82, 738, 9.111, 0.335, 0.73, 2.47, 247, 539, 100, 1
5, 12, 60, 2.4, 0.267, 0.733, 1.78, 16, 44, 9, 1
8, 14, 112, 1.75, 0.357, 0.67, 2.0, 40, 75, 20, 1
5, 16, 80, 3.2, 0.563, 0.925, 2.65, 45, 74, 17, 1
8, 26, 208, 3.25, 0.24, 0.563, 2.5, 50, 117, 20, 1
10, 508, 5080, 50.8, 0.131, 0.51, 1.27, 667, 2593, 527, 1
10, 19, 190, 1.9, 0.584, 0.816, 6.94, 111, 155, 16, 1
10, 34, 340, 3.4, 0.356, 0.803, 1.83, 121, 273, 66, 1
9, 21, 189, 2.333, 0.365, 0.82, 2.88, 69, 155, 24, 1
9, 133, 1197, 14.778, 0.236, 0.718, 1.89, 283, 859, 150, 1
7, 6, 42, 0.857, 0.5, 1.0, 2.33, 21, 42, 9, 1
9, 75, 675, 8.333, 0.256, 0.606, 2.19, 173, 409, 79, 1
10, 36, 360, 3.6, 0.367, 0.844, 2.24, 132, 304, 59, 1
6, 17, 102, 2.833, 0.245, 0.598, 1.56, 25, 61, 16, 1
10, 10, 100, 1.0, 0.57, 0.91, 3.17, 57, 91, 18, 1
6, 71, 426, 11.833, 0.329, 0.958, 1.57, 140, 408, 89, 1
9, 49, 441, 5.444, 0.247, 0.721, 1.51, 109, 318, 72, 1
10, 18, 180, 1.8, 0.6, 0.844, 7.2, 108, 152, 15, 1
8, 535, 4280, 66.875, 0.171, 0.697, 1.27, 731, 2984, 575, 1
7, 29, 203, 4.143, 0.266, 0.813, 2.7, 54, 165, 20, 1
12, 83, 996, 6.917, 0.253, 0.756, 1.75, 252, 753, 144, 1
5, 3, 15, 0.6, 0.467, 1.0, 7.0, 7, 15, 1, 1
9, 52, 468, 5.778, 0.359, 0.827, 2.4, 168, 387, 70, 1
25, 471, 11775, 18.84, 0.449, 0.886, 7.8, 5290, 10437, 678, 1
8, 44, 352, 5.5, 0.455, 0.949, 3.2, 160, 334, 50, 1
7, 14, 98, 2.0, 0.316, 0.776, 2.21, 31, 76, 14, 1
9, 17, 153, 1.889, 0.183, 0.529, 1.75, 28, 81, 16, 1
7, 214, 1498, 30.571, 0.449, 0.899, 2.77, 672, 1346, 243, 1
7, 13, 91, 1.857, 0.286, 0.989, 1.73, 26, 90, 15, 1
7, 31, 217, 4.429, 0.281, 0.682, 1.56, 61, 148, 39, 1
7, 15, 105, 2.143, 0.229, 0.886, 1.6, 24, 93, 15, 1
10, 20, 200, 2.0, 0.32, 0.61, 2.13, 64, 122, 30, 1
12, 73, 876, 6.083, 0.257, 0.591, 2.14, 225, 518, 105, 1
7, 42, 294, 6.0, 0.293, 0.857, 2.61, 86, 252, 33, 1
8, 21, 168, 2.625, 0.482, 0.827, 13.5, 81, 139, 6, 1
7, 11, 77, 1.571, 0.416, 0.974, 1.52, 32, 75, 21, 1
9, 306, 2754, 34.0, 0.192, 0.751, 1.4, 530, 2069, 378, 1
16, 410, 6560, 25.625, 0.381, 0.569, 5.55, 2497, 3731, 450, 1
8, 22, 176, 2.75, 0.398, 0.784, 1.94, 70, 138, 36, 1
9, 278, 2502, 30.889, 0.176, 0.594, 1.28, 440, 1485, 345, 1
6, 32, 192, 5.333, 0.365, 0.958, 1.67, 70, 184, 42, 1
7, 7, 49, 1.0, 0.306, 0.592, 2.14, 15, 29, 7, 1
9, 82, 738, 9.111, 0.408, 0.924, 2.39, 301, 682, 126, 1
10, 14, 140, 1.4, 0.371, 0.886, 2.89, 52, 124, 18, 1
8, 62, 496, 7.75, 0.363, 0.925, 2.12, 180, 459, 85, 1
11, 119, 1309, 10.818, 0.268, 0.678, 1.72, 351, 887, 204, 1
9, 233, 2097, 25.889, 0.165, 0.687, 1.26, 345, 1441, 274, 1
7, 11, 77, 1.571, 0.299, 0.649, 1.77, 23, 50, 13, 1
8, 18, 144, 2.25, 0.438, 0.979, 2.74, 63, 141, 23, 1
10, 271, 2710, 27.1, 0.199, 0.717, 1.42, 540, 1942, 381, 1
5, 19, 95, 3.8, 0.211, 0.779, 1.33, 20, 74, 15, 1
10, 51, 510, 5.1, 0.22, 0.841, 1.29, 112, 429, 87, 1
6, 11, 66, 1.833, 0.364, 0.955, 1.33, 24, 63, 18, 1
9, 16, 144, 1.778, 0.326, 0.792, 1.74, 47, 114, 27, 1
7, 168, 1176, 24.0, 0.081, 0.369, 1.14, 95, 434, 83, 1
8, 26, 208, 3.25, 0.37, 0.947, 1.79, 77, 197, 43, 1
8, 28, 224, 3.5, 0.406, 0.777, 2.07, 91, 174, 44, 1
7, 24, 168, 3.429, 0.274, 0.661, 1.48, 46, 111, 31, 1
5, 38, 190, 7.6, 0.316, 0.695, 2.07, 60, 132, 29, 1
7, 16, 112, 2.286, 0.259, 1.0, 2.07, 29, 112, 14, 1
8, 48, 384, 6.0, 0.302, 0.914, 1.76, 116, 351, 66, 1
9, 17, 153, 1.889, 0.536, 0.915, 6.31, 82, 140, 13, 1
8, 88, 704, 11.0, 0.195, 0.756, 1.49, 137, 532, 92, 1
9, 32, 288, 3.556, 0.24, 0.913, 1.5, 69, 263, 46, 1
10, 6, 60, 0.6, 0.433, 1.0, 2.6, 26, 60, 10, 1
14, 321, 4494, 22.929, 0.361, 0.595, 4.71, 1624, 2675, 345, 1
24, 170, 4080, 7.083, 0.924, 0.997, 15.9, 3768, 4068, 237, 1
11, 52, 572, 4.727, 0.262, 0.858, 1.79, 150, 491, 84, 1
9, 69, 621, 7.667, 0.209, 0.808, 1.38, 130, 502, 94, 1
10, 238, 2380, 23.8, 0.353, 0.727, 2.85, 840, 1730, 295, 1
10, 44, 440, 4.4, 0.393, 0.852, 3.15, 173, 375, 55, 1
7, 38, 266, 5.429, 0.252, 0.628, 1.4, 67, 167, 48, 1
9, 36, 324, 4.0, 0.556, 0.923, 3.21, 180, 299, 56, 1
8, 20, 160, 2.5, 0.363, 0.931, 1.93, 58, 149, 30, 1
14, 340, 4760, 24.286, 0.259, 0.592, 2.45, 1232, 2819, 503, 1
8, 131, 1048, 16.375, 0.246, 0.796, 1.46, 258, 834, 177, 1
5, 5, 25, 1.0, 0.36, 1.0, 1.29, 9, 25, 7, 1
9, 121, 1089, 13.444, 0.356, 0.817, 2.2, 388, 890, 176, 1
6, 7, 42, 1.167, 0.405, 0.952, 4.25, 17, 40, 4, 1
10, 38, 380, 3.8, 0.424, 0.939, 2.78, 161, 357, 58, 1
9, 284, 2556, 31.556, 0.137, 0.456, 1.41, 350, 1165, 249, 1
8, 17, 136, 2.125, 0.346, 1.0, 2.47, 47, 136, 19, 1
7, 96, 672, 13.714, 0.274, 0.982, 1.6, 184, 660, 115, 1
9, 71, 639, 7.889, 0.39, 0.768, 2.44, 249, 491, 102, 1
6, 189, 1134, 31.5, 0.324, 0.83, 1.62, 367, 941, 227, 1
11, 245, 2695, 22.273, 0.252, 0.829, 1.86, 678, 2235, 365, 1
10, 19, 190, 1.9, 0.3, 0.905, 1.68, 57, 172, 34, 1
9, 60, 540, 6.667, 0.413, 0.822, 2.75, 223, 444, 81, 1
13, 222, 2886, 17.077, 0.377, 0.692, 4.92, 1087, 1997, 221, 1
8, 13, 104, 1.625, 0.625, 0.817, 5.91, 65, 85, 11, 1
6, 54, 324, 9.0, 0.549, 0.96, 3.36, 178, 311, 53, 1
9, 18, 162, 2.0, 0.278, 0.716, 1.67, 45, 116, 27, 1
10, 79, 790, 7.9, 0.306, 0.818, 1.89, 242, 646, 128, 1
8, 55, 440, 6.875, 0.243, 0.657, 1.39, 107, 289, 77, 1
5, 4, 20, 0.8, 0.5, 0.7, 10.0, 10, 14, 1, 1
10, 35, 350, 3.5, 0.38, 0.829, 2.02, 133, 290, 66, 1
10, 20, 200, 2.0, 0.54, 0.78, 9.0, 108, 156, 12, 1
7, 10, 70, 1.429, 0.286, 0.829, 1.33, 20, 58, 15, 1
9, 127, 1143, 14.111, 0.213, 0.679, 1.58, 243, 776, 154, 1
15, 154, 2310, 10.267, 0.423, 0.704, 5.84, 976, 1626, 167, 1
7, 38, 266, 5.429, 0.327, 0.951, 1.38, 87, 253, 63, 1
8, 12, 96, 1.5, 0.438, 1.0, 2.0, 42, 96, 21, 1
8, 274, 2192, 34.25, 0.15, 0.583, 1.35, 329, 1277, 244, 1
6, 14, 84, 2.333, 0.321, 0.881, 1.8, 27, 74, 15, 1
11, 21, 231, 1.909, 0.316, 0.58, 4.29, 73, 134, 17, 1
8, 9, 72, 1.125, 0.319, 0.667, 2.3, 23, 48, 10, 1
15, 419, 6285, 27.933, 0.345, 0.526, 4.5, 2170, 3309, 482, 1
11, 34, 374, 3.091, 0.364, 0.642, 2.78, 136, 240, 49, 1
10, 121, 1210, 12.1, 0.415, 0.879, 2.61, 502, 1063, 192, 1
9, 135, 1215, 15.0, 0.249, 0.626, 1.56, 302, 761, 193, 1
9, 122, 1098, 13.556, 0.339, 0.947, 2.57, 372, 1040, 145, 1
8, 63, 504, 7.875, 0.333, 0.734, 1.58, 168, 370, 106, 1
12, 271, 3252, 22.583, 0.238, 0.571, 1.98, 773, 1857, 391, 1
11, 344, 3784, 31.273, 0.446, 0.712, 4.71, 1686, 2694, 358, 1
9, 59, 531, 6.556, 0.237, 0.802, 1.56, 126, 426, 81, 1
10, 413, 4130, 41.3, 0.315, 0.731, 2.47, 1302, 3018, 527, 1
24, 336, 8064, 14.0, 0.898, 0.958, 15.91, 7238, 7729, 455, 1
7, 45, 315, 6.429, 0.254, 0.813, 1.4, 80, 256, 57, 1
7, 16, 112, 2.286, 0.259, 0.705, 1.38, 29, 79, 21, 1
11, 8, 88, 0.727, 0.409, 0.477, 36.0, 36, 42, 1, 1
16, 112, 1792, 7.0, 0.305, 0.879, 2.72, 546, 1576, 201, 1
6, 18, 108, 3.0, 0.5, 0.991, 2.45, 54, 107, 22, 1
6, 181, 1086, 30.167, 0.298, 0.684, 1.69, 324, 743, 192, 1
11, 152, 1672, 13.818, 0.365, 0.764, 2.88, 610, 1278, 212, 1
8, 22, 176, 2.75, 0.324, 0.909, 1.78, 57, 160, 32, 1
5, 81, 405, 16.2, 0.311, 0.968, 1.3, 126, 392, 97, 1
22, 71, 1562, 3.227, 0.487, 0.834, 10.13, 760, 1302, 75, 1
15, 121, 1815, 8.067, 0.428, 0.761, 5.35, 776, 1381, 145, 1
28, 281, 7868, 10.036, 0.318, 0.551, 4.72, 2502, 4339, 530, 1
7, 58, 406, 8.286, 0.202, 0.751, 2.34, 82, 305, 35, 1
11, 272, 2992, 24.727, 0.168, 0.595, 1.43, 504, 1781, 352, 1
10, 154, 1540, 15.4, 0.342, 0.664, 2.55, 527, 1022, 207, 1
10, 330, 3300, 33.0, 0.225, 0.771, 1.44, 744, 2545, 518, 1
4, 137, 548, 34.25, 0.173, 0.622, 3.28, 95, 341, 29, 1
9, 536, 4824, 59.556, 0.189, 0.813, 1.38, 913, 3924, 662, 1
