@relation led7digit-0-2-4-5-6-7-8-9_vs_1
@attribute Led1 real [0.0, 1.0]
@attribute Led2 real [0.0, 1.0]
@attribute Led3 real [0.0, 1.0]
@attribute Led4 real [0.0, 1.0]
@attribute Led5 real [0.0, 1.0]
@attribute Led6 real [0.0, 1.0]
@attribute Led7 real [0.0, 1.0]
@attribute number {positive, negative}
@inputs Led1, Led2, Led3, Led4, Led5, Led6, Led7
@outputs number
@data
1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, negative
0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, negative
1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, negative
1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, negative
0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, negative
0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, negative
0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, negative
0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, negative
0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, negative
0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, negative
0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, negative
1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, negative
0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, negative
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, negative
1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, negative
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, negative
0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, negative
1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, negative
1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, negative
0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, negative
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, negative
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, positive
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, positive
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, positive
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, positive
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, positive
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, positive
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, positive
1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, positive
0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, positive
1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, positive
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, positive
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, positive
0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, positive
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, positive
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, positive
0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, positive
0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, positive
0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, positive
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, positive
0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, positive
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, positive
0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, positive
0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, positive
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, positive
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, positive
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, positive
0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, positive
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, positive
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, positive
1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, positive
