@relation  banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class {-1.0,1.0}


@data
-1.62, 0.468, -1.0
-0.791, -1.26, -1.0
1.0, -0.0347, -1.0
-0.108, -1.3, -1.0
0.969, 0.921, -1.0
-0.697, 1.35, -1.0
0.67, 1.15, -1.0
-0.00515, 1.75, -1.0
0.955, -0.0158, -1.0
0.041, -1.13, -1.0
0.206, 1.19, -1.0
-0.0908, -0.846, -1.0
-0.77, 0.637, -1.0
-0.772, -1.38, -1.0
0.844, 1.22, -1.0
0.752, 1.58, -1.0
-1.07, 1.3, -1.0
-0.267, -0.896, -1.0
-0.588, -1.35, -1.0
1.24, 0.608, -1.0
1.27, 0.0842, -1.0
0.659, 1.28, -1.0
0.215, -1.66, -1.0
-0.0127, -1.12, -1.0
-0.253, -0.809, -1.0
-1.06, -1.24, -1.0
-0.264, -1.14, -1.0
-0.337, -1.45, -1.0
0.527, 1.18, -1.0
0.685, 0.546, -1.0
-2.77, 0.0962, -1.0
0.434, 2.19, -1.0
1.68, -0.32, -1.0
1.24, 0.273, -1.0
-1.24, 0.788, -1.0
1.43, 0.57, -1.0
-1.53, 0.795, -1.0
-0.101, -0.765, -1.0
-0.0255, -1.3, -1.0
0.0786, 1.63, -1.0
0.387, -0.798, -1.0
0.16, -1.4, -1.0
-1.64, 0.572, -1.0
1.08, 0.925, -1.0
-0.271, 1.59, -1.0
-0.729, 1.5, -1.0
-1.58, 0.807, -1.0
-0.533, 1.22, -1.0
0.975, 1.48, -1.0
-1.1, 0.737, -1.0
0.247, -0.9, -1.0
0.301, -1.17, -1.0
1.04, 0.779, -1.0
-0.636, 1.72, -1.0
-0.901, -1.56, -1.0
1.56, -0.177, -1.0
0.354, -1.19, -1.0
1.74, 0.577, -1.0
0.495, 1.54, -1.0
1.16, 0.847, -1.0
1.21, 0.642, -1.0
0.0432, -1.39, -1.0
-0.0853, -1.12, -1.0
-0.134, -1.1, -1.0
1.19, 0.19, -1.0
0.55, 0.857, -1.0
0.548, -0.959, -1.0
1.88, -0.289, -1.0
-0.168, 1.32, -1.0
-0.891, 1.0, -1.0
-0.957, 1.0, -1.0
0.34, -1.34, -1.0
-0.967, 1.22, -1.0
1.3, -0.346, -1.0
-0.823, 0.729, -1.0
-0.234, -0.974, -1.0
-0.0939, 1.68, -1.0
0.912, -0.114, -1.0
-0.397, -1.1, -1.0
1.27, -0.519, -1.0
-1.02, 0.675, -1.0
0.0131, -0.969, -1.0
-0.636, 1.35, -1.0
0.753, 0.781, -1.0
-0.218, -1.05, -1.0
0.544, 1.22, -1.0
-0.0184, -1.13, -1.0
1.5, -0.38, -1.0
1.72, -0.448, -1.0
1.2, 0.286, -1.0
1.17, 0.446, -1.0
-0.456, 1.55, -1.0
0.0885, -1.22, -1.0
-0.122, -0.808, -1.0
0.125, 2.16, -1.0
-1.33, 0.878, -1.0
0.22, -0.867, -1.0
1.19, -0.404, -1.0
0.431, -1.56, -1.0
0.314, 1.84, -1.0
-0.0373, -1.32, -1.0
-0.121, -1.05, -1.0
-1.04, 1.13, -1.0
-0.967, 0.592, -1.0
1.19, 0.554, -1.0
0.614, -1.46, -1.0
1.87, -1.16, -1.0
-0.52, -1.17, -1.0
0.933, 1.21, -1.0
-0.116, 1.26, -1.0
-1.34, 0.717, -1.0
-1.38, 0.678, -1.0
-0.592, -1.17, -1.0
0.311, 1.76, -1.0
0.82, 1.83, -1.0
1.35, 0.657, -1.0
0.805, 1.21, -1.0
1.05, 0.472, -1.0
0.586, 1.15, -1.0
1.83, 0.452, -1.0
-0.777, -1.33, -1.0
-0.322, -1.12, -1.0
0.739, 0.673, -1.0
0.584, 0.679, -1.0
-0.514, -1.07, -1.0
-0.918, 1.13, -1.0
-0.609, -0.917, -1.0
1.45, 0.273, -1.0
1.05, 0.701, -1.0
-0.115, -0.719, -1.0
1.12, 0.862, -1.0
-1.08, 0.72, -1.0
-0.66, 1.41, -1.0
-1.49, 0.744, -1.0
-1.02, 0.849, -1.0
0.724, 0.706, -1.0
-0.496, 1.03, -1.0
-0.614, -1.22, -1.0
0.017, -1.26, -1.0
0.724, 0.989, -1.0
-0.19, -1.42, -1.0
-0.437, -0.789, -1.0
2.05, -0.105, -1.0
0.701, 0.564, -1.0
-0.0845, 1.15, -1.0
1.8, 0.0607, -1.0
-0.615, -1.36, -1.0
-0.309, 1.16, -1.0
-0.467, -0.945, -1.0
-1.43, 1.26, -1.0
-0.16, -1.36, -1.0
1.29, 0.153, -1.0
-0.223, -1.28, -1.0
0.552, 1.04, -1.0
1.54, -0.749, -1.0
-0.536, 1.05, -1.0
0.518, 1.7, -1.0
-0.834, -1.19, -1.0
1.12, 0.293, -1.0
-0.819, -0.943, -1.0
0.973, 0.457, -1.0
-0.261, -1.27, -1.0
0.849, 0.907, -1.0
0.415, 0.986, -1.0
-0.897, -1.04, -1.0
-0.697, -1.69, -1.0
0.672, 1.57, -1.0
-0.486, -1.62, -1.0
-0.698, -1.26, -1.0
-1.08, 1.01, -1.0
-0.566, 1.19, -1.0
-0.443, 1.02, -1.0
-0.00816, -1.38, -1.0
0.855, 0.959, -1.0
1.75, 0.016, -1.0
-1.04, -1.24, -1.0
-1.39, 1.09, -1.0
1.01, 0.257, -1.0
0.952, 0.427, -1.0
-1.16, 0.41, -1.0
1.44, 0.276, -1.0
0.88, 0.275, -1.0
0.0524, -0.853, -1.0
-1.74, 0.254, -1.0
-0.0203, -1.42, -1.0
-0.524, -1.09, -1.0
-0.531, -1.27, -1.0
-0.268, -1.52, -1.0
0.133, 2.05, -1.0
-0.23, -1.02, -1.0
0.57, 1.42, -1.0
-0.475, -1.02, -1.0
1.41, 0.258, -1.0
1.18, -0.277, -1.0
0.675, -1.53, -1.0
0.753, 1.84, -1.0
0.484, 1.04, -1.0
0.987, 0.258, -1.0
-0.943, -1.26, -1.0
-1.06, 0.917, -1.0
2.27, 0.284, -1.0
1.05, 1.07, -1.0
-0.146, -0.869, -1.0
0.0965, -1.1, -1.0
0.877, 0.161, -1.0
-0.598, -1.38, -1.0
-0.455, 0.868, -1.0
-0.765, -1.13, -1.0
0.463, 0.498, -1.0
0.921, 0.3, -1.0
-1.99, -0.912, 1.0
0.923, 0.166, 1.0
-1.12, 0.559, 1.0
-1.08, -0.612, 1.0
0.834, -0.584, 1.0
-0.268, 0.75, 1.0
-0.118, 1.7, 1.0
0.234, -0.413, 1.0
0.957, -0.572, 1.0
-0.744, -0.415, 1.0
-1.46, 0.0829, 1.0
0.295, -0.273, 1.0
-1.82, -0.899, 1.0
-0.0723, -0.428, 1.0
0.369, 0.49, 1.0
-1.54, -0.641, 1.0
1.37, 1.29, 1.0
0.961, -1.33, 1.0
0.464, -0.792, 1.0
-1.89, -1.7, 1.0
-0.863, 0.174, 1.0
0.402, -0.39, 1.0
0.221, 0.147, 1.0
-1.5, 0.282, 1.0
-0.124, 0.181, 1.0
-0.222, 0.156, 1.0
0.621, 1.48, 1.0
-0.529, -0.357, 1.0
-0.72, 0.189, 1.0
-1.51, -0.248, 1.0
-0.0253, 0.0742, 1.0
0.472, 0.289, 1.0
0.471, -0.445, 1.0
0.743, -1.01, 1.0
-0.0552, 0.882, 1.0
-1.39, -0.474, 1.0
0.913, -0.374, 1.0
0.305, 1.63, 1.0
-1.57, -0.401, 1.0
-0.249, 0.0234, 1.0
-1.33, -0.581, 1.0
0.713, 2.04, 1.0
1.26, -1.37, 1.0
1.22, -0.361, 1.0
0.625, 1.38, 1.0
-0.692, 0.759, 1.0
-0.328, 0.232, 1.0
0.884, -0.766, 1.0
0.073, -0.00169, 1.0
-0.178, -0.238, 1.0
-0.872, -0.461, 1.0
-0.428, -0.509, 1.0
0.168, 1.97, 1.0
-0.383, 0.671, 1.0
5.19E-4, 0.282, 1.0
0.643, -0.403, 1.0
0.552, -1.07, 1.0
-1.24, -0.352, 1.0
1.11, -0.476, 1.0
2.59, 1.16, 1.0
-0.748, -0.034, 1.0
0.96, -0.522, 1.0
0.811, 0.00911, 1.0
0.137, -0.247, 1.0
0.941, -0.254, 1.0
0.169, 1.86, 1.0
-1.69, -1.27, 1.0
-0.0615, 0.299, 1.0
-1.3, -0.811, 1.0
1.05, -1.05, 1.0
-0.779, 0.676, 1.0
-1.31, -0.498, 1.0
-1.2, 0.4, 1.0
0.688, -0.878, 1.0
0.235, 1.48, 1.0
-1.11, 0.00172, 1.0
-0.186, -0.0925, 1.0
-1.75, -1.92, 1.0
0.83, -0.939, 1.0
-1.19, -1.14, 1.0
-1.61, -0.451, 1.0
1.79, 1.5, 1.0
0.816, 0.306, 1.0
-0.114, -0.147, 1.0
1.08, 0.148, 1.0
-0.8, -0.282, 1.0
-1.14, 0.304, 1.0
1.78, 1.01, 1.0
0.712, 1.49, 1.0
-0.546, 0.442, 1.0
1.03, -0.382, 1.0
-1.79, -0.0728, 1.0
-1.13, -0.622, 1.0
1.94, 1.25, 1.0
0.613, -0.211, 1.0
-0.232, -0.364, 1.0
0.0828, -0.879, 1.0
-1.39, -0.118, 1.0
-0.334, 0.18, 1.0
-0.23, 2.0, 1.0
1.37, -0.331, 1.0
1.42, -0.32, 1.0
-0.353, 1.98, 1.0
-0.54, -0.601, 1.0
-0.5, -0.0595, 1.0
-0.197, 0.544, 1.0
0.329, -0.37, 1.0
2.42, 1.5, 1.0
0.427, 1.77, 1.0
0.458, -0.709, 1.0
-0.279, -0.0928, 1.0
-1.69, -0.542, 1.0
-0.184, -0.0314, 1.0
1.37, 1.45, 1.0
-0.658, 0.554, 1.0
1.8, 1.32, 1.0
1.71, 1.39, 1.0
-0.327, 0.612, 1.0
-1.29, -1.14, 1.0
-0.954, 0.687, 1.0
-1.55, -1.02, 1.0
0.258, 0.309, 1.0
0.603, 0.145, 1.0
-1.64, -1.16, 1.0
1.18, -0.917, 1.0
0.689, -0.506, 1.0
-0.739, 0.578, 1.0
-1.54, 0.516, 1.0
1.19, -1.25, 1.0
0.472, 0.0979, 1.0
-1.84, -1.23, 1.0
-0.515, 0.625, 1.0
0.578, -0.622, 1.0
0.764, -0.804, 1.0
0.546, -0.195, 1.0
-1.18, 0.0302, 1.0
-0.077, 1.87, 1.0
-1.31, -0.32, 1.0
-1.17, 0.222, 1.0
-1.78, -0.607, 1.0
-0.76, -0.698, 1.0
-0.673, 0.313, 1.0
1.93, 1.41, 1.0
-0.208, -0.646, 1.0
0.642, 1.65, 1.0
-0.364, -0.0828, 1.0
0.298, 0.509, 1.0
-0.0307, 0.678, 1.0
-0.262, 1.71, 1.0
1.23, -0.785, 1.0
0.808, -0.831, 1.0
0.304, -0.00393, 1.0
0.604, -0.709, 1.0
0.315, -0.182, 1.0
0.842, -1.41, 1.0
-0.238, 0.126, 1.0
-1.43, -0.546, 1.0
0.424, 0.547, 1.0
0.838, -0.115, 1.0
0.425, 0.0454, 1.0
-0.88, 0.407, 1.0
0.409, 0.212, 1.0
1.29, -1.19, 1.0
-0.0839, 1.0, 1.0
-1.53, -1.17, 1.0
1.33, 1.43, 1.0
0.622, -0.546, 1.0
-1.22, -0.107, 1.0
-1.59, -1.36, 1.0
0.74, 0.203, 1.0
1.25, -1.62, 1.0
-1.41, -0.357, 1.0
-0.714, -0.161, 1.0
-1.07, -0.456, 1.0
1.34, -1.07, 1.0
2.37, 1.14, 1.0
-1.77, -0.828, 1.0
0.297, -1.11, 1.0
-0.971, -0.906, 1.0
1.38, -1.74, 1.0
1.15, -1.52, 1.0
-1.57, -0.561, 1.0
-1.45, -0.0461, 1.0
2.51, 0.901, 1.0
0.358, -0.887, 1.0
0.298, -0.829, 1.0
-1.87, -1.0, 1.0
0.171, 2.11, 1.0
-0.688, 0.709, 1.0
0.154, 0.629, 1.0
-1.0, 0.078, 1.0
0.112, 0.0285, 1.0
1.15, -1.69, 1.0
-0.55, 0.236, 1.0
-0.959, 0.41, 1.0
-2.17, -0.523, 1.0
0.0984, 0.629, 1.0
1.08, 1.37, 1.0
-0.992, -0.0156, 1.0
-0.0677, -0.394, 1.0
1.43, -0.816, 1.0
0.73, -0.99, 1.0
0.741, -1.2, 1.0
0.526, 1.36, 1.0
-1.94, -0.761, 1.0
-0.468, 0.245, 1.0
1.05, -1.11, 1.0
-0.255, 0.387, 1.0
-0.44, 0.298, 1.0
-0.529, 0.365, 1.0
-0.39, -0.209, 1.0
-1.2, -0.826, 1.0
1.17, -0.567, 1.0
-0.249, 0.505, 1.0
1.52, -1.12, 1.0
0.208, -0.427, 1.0
-1.28, -1.12, 1.0
0.0256, 0.228, 1.0
-0.815, -0.682, 1.0
-1.28, -0.259, 1.0
0.524, -0.648, 1.0
1.09, -0.643, 1.0
2.07, 1.21, 1.0
-1.51, -0.193, 1.0
-1.3, -1.08, 1.0
1.09, 1.49, 1.0
0.325, 0.213, 1.0
-1.76, -1.58, 1.0
-0.747, -0.509, 1.0
-0.322, 0.535, 1.0
-0.209, 0.345, 1.0
0.939, -0.351, 1.0
-1.3, -0.829, 1.0
1.01, 1.82, 1.0
1.61, 1.4, 1.0
-0.269, 0.961, 1.0
-0.14, -0.694, 1.0
2.29, 1.22, 1.0
-1.45, -0.701, 1.0
-2.05, -1.93, 1.0
-1.88, -0.454, 1.0
2.51, 1.3, 1.0
-0.636, -0.988, 1.0
0.271, 0.0595, 1.0
-0.0208, 1.76, 1.0
0.344, 1.38, 1.0
-1.31, 0.239, 1.0
-1.06, 0.181, 1.0
2.32, 1.32, 1.0
-0.452, 0.524, 1.0
0.0734, -0.162, 1.0
0.996, 1.46, 1.0
-1.68, -0.472, 1.0
0.326, 0.00626, 1.0
-1.17, 0.564, 1.0
-1.02, -0.305, 1.0
-1.45, -1.14, 1.0
1.42, -1.1, 1.0
-0.629, -0.118, 1.0
-1.58, -1.61, 1.0
1.01, -0.935, 1.0
1.87, 1.19, 1.0
-0.252, 0.623, 1.0
-1.07, -0.306, 1.0
1.67, -1.77, 1.0
-1.26, -0.457, 1.0
-1.02, -0.146, 1.0
1.06, -0.69, 1.0
-2.08, -1.78, 1.0
0.903, -1.17, 1.0
0.309, -0.175, 1.0
0.242, 0.347, 1.0
1.28, 1.35, 1.0
-0.742, 0.36, 1.0
-0.158, 0.358, 1.0
1.26, -0.181, 1.0
0.15, -0.256, 1.0
1.46, 1.69, 1.0
-0.364, 1.7, 1.0
0.899, 1.4, 1.0
-1.41, -0.214, 1.0
-1.62, -1.85, 1.0
-0.995, -0.507, 1.0
1.35, 1.1, 1.0
-0.891, -0.617, 1.0
0.0914, 0.493, 1.0
2.41, 1.26, 1.0
-0.618, -0.506, 1.0
-0.296, 0.255, 1.0
0.614, -0.157, 1.0
-1.76, -1.33, 1.0
0.812, -0.15, 1.0
1.54, 1.24, 1.0
1.02, -0.261, 1.0
-0.845, -0.377, 1.0
-1.87, -1.1, 1.0
-0.988, -0.191, 1.0
-1.85, -0.347, 1.0
-1.55, -0.744, 1.0
0.451, -0.00833, 1.0
0.271, -0.591, 1.0
0.742, 1.56, 1.0
-0.163, -0.398, 1.0
-1.53, 0.0251, 1.0
0.605, 1.86, 1.0
-0.66, -0.0708, 1.0
0.0219, -0.388, 1.0
-1.33, -0.276, 1.0
0.491, 0.194, 1.0
0.271, 0.38, 1.0
-0.845, -0.00258, 1.0
-0.956, -0.818, 1.0
1.09, -1.37, 1.0
0.409, -0.0572, 1.0
-2.1, -1.06, 1.0
-1.66, -0.792, 1.0
1.02, -0.351, 1.0
0.845, 0.00714, 1.0
0.974, -0.951, 1.0
-0.479, 0.0719, 1.0
1.51, 1.52, 1.0
-1.67, -0.00451, 1.0
-0.462, -0.187, 1.0
2.2, 1.14, 1.0
-2.11, -1.51, 1.0
0.923, -1.02, 1.0
0.27, 0.696, 1.0
1.2, 1.54, 1.0
0.757, -0.208, 1.0
0.737, -0.183, 1.0
-1.39, -0.282, 1.0
2.17, 0.926, 1.0
-1.67, -1.26, 1.0
-1.6, -1.32, 1.0
-0.862, -0.0613, 1.0
-0.877, 0.263, 1.0
0.173, -0.428, 1.0
-0.628, -0.267, 1.0
-1.03, -0.357, 1.0
0.31, 0.57, 1.0
-1.31, 0.118, 1.0
-0.814, 0.23, 1.0
2.36, 1.33, 1.0
0.332, -0.527, 1.0
-0.815, 0.334, 1.0
-1.45, -1.22, 1.0
1.34, -1.8, 1.0
0.592, 0.235, 1.0
-0.0367, -0.144, 1.0
0.613, -0.0651, 1.0
1.24, -0.687, 1.0
-0.211, -0.492, 1.0
0.247, 1.65, 1.0
0.74, 1.2, 1.0
-1.18, -0.898, 1.0
-1.58, -0.842, 1.0
-1.01, -0.363, 1.0
-1.67, -0.212, 1.0
-0.176, -0.207, 1.0
-1.21, -0.733, 1.0
-0.966, -0.628, 1.0
0.32, 0.282, 1.0
0.71, 1.7, 1.0
